condition,axe,mesure,ratio_inter,ratio_intra
humains vague 1,gender,entropie,1.0000,1.0000
humains vague 1,gender,gini_simpson,1.0000,1.0000
humains vague 1,gender,variance_ordinale,1.0000,1.0000
humains vague 1,race,entropie,1.0000,1.0000
humains vague 1,race,gini_simpson,1.0000,1.0000
humains vague 1,race,variance_ordinale,1.0000,1.0000
humains vague 1,political_ideology,entropie,1.0000,1.0000
humains vague 1,political_ideology,gini_simpson,1.0000,1.0000
humains vague 1,political_ideology,variance_ordinale,1.0000,1.0000
humains vague 1,age,entropie,1.0000,1.0000
humains vague 1,age,gini_simpson,1.0000,1.0000
humains vague 1,age,variance_ordinale,1.0000,1.0000
humains vague 1,education,entropie,1.0000,1.0000
humains vague 1,education,gini_simpson,1.0000,1.0000
humains vague 1,education,variance_ordinale,1.0000,1.0000
humains vague 1,profil croise,entropie,1.0000,1.0000
humains vague 1,profil croise,gini_simpson,1.0000,1.0000
humains vague 1,profil croise,variance_ordinale,1.0000,1.0000
humains vague 2,gender,entropie,0.9690,1.0045
humains vague 2,gender,gini_simpson,0.9782,1.0033
humains vague 2,gender,variance_ordinale,0.9827,0.9904
humains vague 2,race,entropie,1.0303,1.0042
humains vague 2,race,gini_simpson,1.0616,1.0029
humains vague 2,race,variance_ordinale,1.0763,0.9897
humains vague 2,political_ideology,entropie,1.0128,1.0038
humains vague 2,political_ideology,gini_simpson,1.0152,1.0025
humains vague 2,political_ideology,variance_ordinale,1.0304,0.9864
humains vague 2,age,entropie,0.9772,1.0049
humains vague 2,age,gini_simpson,0.9666,1.0040
humains vague 2,age,variance_ordinale,0.8926,0.9925
humains vague 2,education,entropie,1.0076,1.0042
humains vague 2,education,gini_simpson,1.0237,1.0029
humains vague 2,education,variance_ordinale,1.0062,0.9900
humains vague 2,profil croise,entropie,1.0062,1.0044
humains vague 2,profil croise,gini_simpson,1.0196,1.0025
humains vague 2,profil croise,variance_ordinale,1.0241,0.9870
agents composite,gender,entropie,1.2623,0.9026
agents composite,gender,gini_simpson,1.4067,0.9151
