item,panel,variables_gss,vagues_trouvees,colonnes
natspac/y,2006-2010,natspac+natspacy,3,natspac_1|natspacy_1;natspac_2|natspacy_2;natspac_3|natspacy_3
natenvir/y,2006-2010,natenvir+natenviry,3,natenvir_1;natenvir_2;natenvir_3
natheal/y,2006-2010,natheal+nathealy,3,natheal_1|nathealy_1;natheal_2|nathealy_2;natheal_3|nathealy_3
natcity/y,2006-2010,natcity+natcityy,3,natcity_1|natcityy_1;natcity_2|natcityy_2;natcity_3|natcityy_3
natdrug/y,2006-2010,natdrug+natdrugy,3,natdrug_1|natdrugy_1;natdrug_2|natdrugy_2;natdrug_3|natdrugy_3
nateduc/y,2006-2010,nateduc+nateducy,3,nateduc_1|nateducy_1;nateduc_2|nateducy_2;nateduc_3|nateducy_3
natrace/y,2006-2010,natrace+natracey,3,natrace_1|natracey_1;natrace_2|natracey_2;natrace_3|natracey_3
natarms/y,2006-2010,natarms+natarmsy,3,natarms_1|natarmsy_1;natarms_2|natarmsy_2;natarms_3|natarmsy_3
nataid/y,2006-2010,nataid+nataidy,3,nataid_1|nataidy_1;nataid_2|nataidy_2;nataid_3|nataidy_3
natfare/y,2006-2010,natfare+natfarey,3,natfare_1|natfarey_1;natfare_2|natfarey_2;natfare_3|natfarey_3
natroad,2006-2010,natroad,3,natroad_1;natroad_2;natroad_3
natsoc,2006-2010,natsoc,3,natsoc_1;natsoc_2;natsoc_3
natmass,2006-2010,natmass,3,natmass_1;natmass_2;natmass_3
natpark,2006-2010,natpark,3,natpark_1;natpark_2;natpark_3
natchld,2006-2010,natchld,3,natchld_1;natchld_2;natchld_3
natsci,2006-2010,natsci,3,natsci_1;natsci_2;natsci_3
natenrgy,2006-2010,natenrgy,0,;;
uswary,2006-2010,uswary,3,uswary_1;uswary_2;uswary_3
prayer,2006-2010,prayer,3,prayer_1;prayer_2;prayer_3
courts,2006-2010,courts,3,courts_1;courts_2;courts_3
discaffw,2006-2010,discaffw,3,discaffw_1;discaffw_2;discaffw_3
discaffm,2006-2010,discaffm,3,discaffm_1;discaffm_2;discaffm_3
fehire,2006-2010,fehire,3,fehire_1;fehire_2;fehire_3
fechld,2006-2010,fechld,3,fechld_1;fechld_2;fechld_3
fepresch,2006-2010,fepresch,3,fepresch_1;fepresch_2;fepresch_3
