panel,paire,ecart_annees,n_personnes,moyenne,ecart_type,min,p10,p25,mediane,p75,p90,max,part_sous_70pc
Stanford (archive OSF),vague1-vague2,0.038461538461538464,1052,0.795002169086687,0.08668304798156422,0.2550335570469799,0.697986577181208,0.7583892617449665,0.8120805369127517,0.8523489932885906,0.8859060402684564,0.9731543624161074,0.10646387832699619
2006-2010,2006-2008,2.0,1536,0.6903417929595705,0.08354840997251062,0.36470588235294116,0.581081081081081,0.6395348837209303,0.6976744186046512,0.7471580143993937,0.7914377289377289,0.9186046511627907,0.5084635416666666
2006-2010,2008-2010,2.0,1276,0.7053558945700524,0.08226590433253554,0.3246753246753247,0.6,0.65625,0.712704817803864,0.7613636363636364,0.8021978021978022,0.9333333333333333,0.4318181818181818
2006-2010,2006-2010,4.0,1276,0.6715324888486989,0.08289904855548816,0.29333333333333333,0.5609756097560976,0.6236242884250475,0.6777777777777778,0.7282944176060118,0.7709588353413654,0.9111111111111111,0.6081504702194357
2008-2012,2008-2010,2.0,1581,0.6930977647041205,0.08037099169775248,0.30120481927710846,0.5930232558139535,0.6447368421052632,0.6976744186046512,0.7472527472527473,0.7931034482758621,0.8936170212765957,0.5060088551549652
2008-2012,2010-2012,2.0,1294,0.7095680696383416,0.08159114862926085,0.37777777777777777,0.6030054283066332,0.6556451612903226,0.7176470588235294,0.7673622172666454,0.8093632958801499,0.8961038961038961,0.4142194744976816
2008-2012,2008-2012,4.0,1294,0.682878037533945,0.08073497615173673,0.313953488372093,0.5814403010605542,0.631578947368421,0.6881720430107527,0.7385010822510822,0.7815014367816092,0.8977272727272727,0.5540958268933539
2010-2014,2010-2012,2.0,1551,0.6949079865298037,0.07857964065705118,0.3333333333333333,0.5930232558139535,0.6470588235294118,0.6966292134831461,0.75,0.7922077922077922,0.8888888888888888,0.5151515151515151
2010-2014,2012-2014,2.0,1304,0.7093756368020145,0.07749181989728936,0.3372093023255814,0.6058585555888523,0.6627556738582235,0.7127659574468085,0.7654320987654321,0.8045977011494253,0.898876404494382,0.4302147239263804
2010-2014,2010-2014,4.0,1304,0.680689246248327,0.07906266180342048,0.34065934065934067,0.5764705882352941,0.632032667876588,0.6847826086956522,0.7362637362637363,0.7790330477356181,0.8902439024390244,0.5690184049079755
2016-2020,2018-2020,2.0,1014,0.6936780044820411,0.08200102653452089,0.40217391304347827,0.587536231884058,0.6413043478260869,0.7,0.75,0.7934782608695652,0.9381443298969072,0.49506903353057197
2016-2020,2016-2020,4.0,809,0.6785508125508788,0.07754795871244055,0.4329896907216495,0.5768325791855203,0.6282051282051282,0.6875,0.7311827956989247,0.7708333333333334,0.8631578947368421,0.5760197775030902
