variante,panel,paire,ecart_annees,n_personnes,consistance
DK traite en manquant,2006-2010,2006-2008,2,1536.0,0.6903417929595705
DK traite en manquant,2006-2010,2008-2010,2,1276.0,0.7053558945700524
DK traite en manquant,2006-2010,2006-2010,4,1276.0,0.6715324888486989
DK traite en manquant,2008-2012,2008-2010,2,1581.0,0.6930977647041205
DK traite en manquant,2008-2012,2010-2012,2,1294.0,0.7095680696383416
DK traite en manquant,2008-2012,2008-2012,4,1294.0,0.682878037533945
DK traite en manquant,2010-2014,2010-2012,2,1551.0,0.6949079865298037
DK traite en manquant,2010-2014,2012-2014,2,1304.0,0.7093756368020145
DK traite en manquant,2010-2014,2010-2014,4,1304.0,0.680689246248327
DK traite en manquant,2016-2020,2018-2020,2,1014.0,0.6936780044820411
DK traite en manquant,2016-2020,2016-2020,4,809.0,0.6785508125508788
DK compte comme modalite,2006-2010,2006-2008,2,1536.0,0.6636804871523139
DK compte comme modalite,2006-2010,2008-2010,2,1276.0,0.6828027161417473
DK compte comme modalite,2006-2010,2006-2010,4,1276.0,0.6464798163032176
DK compte comme modalite,2008-2012,2008-2010,2,1581.0,0.6665366246112371
DK compte comme modalite,2008-2012,2010-2012,2,1295.0,0.6855233966894104
DK compte comme modalite,2008-2012,2008-2012,4,1295.0,0.6572197449487012
DK compte comme modalite,2010-2014,2010-2012,2,1551.0,0.6686412845491355
DK compte comme modalite,2010-2014,2012-2014,2,1304.0,0.6866215702131734
DK compte comme modalite,2010-2014,2010-2014,4,1304.0,0.6555745456884889
DK compte comme modalite,2016-2020,2018-2020,2,1014.0,0.6684411667931249
DK compte comme modalite,2016-2020,2016-2020,4,809.0,0.6588348465711225
DK compte comme modalite,mise en commun,-,2,9557.0,0.6741062257306574
DK compte comme modalite,mise en commun,-,4,4684.0,0.6541149474306791
DK traite en manquant,mise en commun,-,2,9556.0,0.6990985116794536
DK traite en manquant,mise en commun,-,4,4683.0,0.6784296435621062
