denominateur,ecart_annees,source,n_personnes,consistance
"deux semaines (Stanford, 149 items)",0.038461538461538464,archive OSF t6g7k,1052,0.795002169086687
"2 ans (panels GSS, mise en commun)",2.0,2006-2010+2008-2012+2010-2014+2016-2020,9556,0.6990985116794536
"4 ans (panels GSS, mise en commun)",4.0,2006-2010+2008-2012+2010-2014+2016-2020,4683,0.6784296435621063
2006-2010 2006-2008,2.0,2006-2010,1536,0.6903417929595705
2006-2010 2008-2010,2.0,2006-2010,1276,0.7053558945700524
2006-2010 2006-2010,4.0,2006-2010,1276,0.6715324888486989
2008-2012 2008-2010,2.0,2008-2012,1581,0.6930977647041205
2008-2012 2010-2012,2.0,2008-2012,1294,0.7095680696383416
2008-2012 2008-2012,4.0,2008-2012,1294,0.682878037533945
2010-2014 2010-2012,2.0,2010-2014,1551,0.6949079865298037
2010-2014 2012-2014,2.0,2010-2014,1304,0.7093756368020145
2010-2014 2010-2014,4.0,2010-2014,1304,0.680689246248327
2016-2020 2018-2020,2.0,2016-2020,1014,0.6936780044820411
2016-2020 2016-2020,4.0,2016-2020,809,0.6785508125508788
