condition,mesure,ratio_inter,inter_ic_bas,inter_ic_haut,part_tirages_inter_sup_humain,ratio_intra,intra_ic_bas,intra_ic_haut,produit,ratio_total
humains vague 1,entropie,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000
humains vague 2,entropie,1.0457,0.9118,1.2370,0.7370,0.9975,0.9880,1.0079,1.0431,0.9986
C2 argmax,entropie,4.7689,3.2337,8.6434,1.0000,0.5563,0.5269,0.5836,2.6531,0.6533
C3 argmax,entropie,0.6066,0.3423,0.8188,0.0000,0.6723,0.6570,0.6873,0.4078,0.6708
agents composite,entropie,1.6469,1.2963,2.3613,1.0000,0.8719,0.8585,0.8850,1.4359,0.8897
agents entretien (v3),entropie,2.0762,1.5597,3.2037,1.0000,0.8312,0.8136,0.8473,1.7258,0.8599
agents enquete,entropie,1.7421,1.3149,2.6400,1.0000,0.8305,0.8136,0.8469,1.4469,0.8515
agents demographiques (v6),entropie,0.8906,0.6123,1.3594,0.2740,0.6200,0.5966,0.6426,0.5522,0.6262
agents v7,entropie,0.4727,0.0654,0.8676,0.0080,0.6358,0.5949,0.6756,0.3006,0.6320
agents v8,entropie,5.4807,3.6708,9.7327,1.0000,0.6742,0.6482,0.6968,3.6950,0.7848
C2 distribution,entropie,4.5792,3.0848,8.3272,1.0000,0.5754,0.5442,0.6043,2.6350,0.6675
C3 distribution,entropie,0.6299,0.4041,0.8850,0.0040,0.6928,0.6778,0.7078,0.4364,0.6913
humains vague 1,gini_simpson,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000
humains vague 2,gini_simpson,0.9831,0.8564,1.1169,0.3820,0.9989,0.9898,1.0094,0.9821,0.9986
C2 argmax,gini_simpson,4.3289,2.9939,7.1881,1.0000,0.5680,0.5357,0.5988,2.4590,0.6612
C3 argmax,gini_simpson,0.5658,0.3347,0.7394,0.0000,0.6849,0.6683,0.7011,0.3875,0.6820
agents composite,gini_simpson,1.6065,1.2906,2.1448,1.0000,0.8892,0.8750,0.9032,1.4284,0.9069
agents entretien (v3),gini_simpson,1.9517,1.4909,2.8287,1.0000,0.8341,0.8143,0.8530,1.6279,0.8618
agents enquete,gini_simpson,1.7161,1.3230,2.3610,1.0000,0.8531,0.8340,0.8718,1.4640,0.8745
agents demographiques (v6),gini_simpson,0.8153,0.5704,1.1929,0.1460,0.6263,0.5999,0.6521,0.5106,0.6309
agents v7,gini_simpson,0.3468,0.0395,0.5970,0.0000,0.6275,0.5877,0.6671,0.2176,0.6206
agents v8,gini_simpson,5.1940,3.6046,8.5018,1.0000,0.6892,0.6581,0.7146,3.5796,0.8008
C2 distribution,gini_simpson,4.1993,2.8929,6.9870,1.0000,0.5843,0.5508,0.6159,2.4536,0.6738
C3 distribution,gini_simpson,0.5781,0.3739,0.7577,0.0000,0.7022,0.6863,0.7177,0.4059,0.6991
