condition,axe,mesure,inter_humain_vague1,ratio_inter,ratio_intra
humains vague 1,gender,entropie,1.6981,1.0000,1.0000
humains vague 1,gender,gini_simpson,0.5670,1.0000,1.0000
humains vague 1,race,entropie,0.8383,1.0000,1.0000
humains vague 1,race,gini_simpson,0.4697,1.0000,1.0000
humains vague 1,political_ideology,entropie,7.1233,1.0000,1.0000
humains vague 1,political_ideology,gini_simpson,3.4325,1.0000,1.0000
humains vague 1,age,entropie,4.5011,1.0000,1.0000
humains vague 1,age,gini_simpson,1.9355,1.0000,1.0000
humains vague 1,education,entropie,1.9591,1.0000,1.0000
humains vague 1,education,gini_simpson,0.7041,1.0000,1.0000
humains vague 1,profil croise,entropie,9.2185,1.0000,1.0000
humains vague 1,profil croise,gini_simpson,4.1424,1.0000,1.0000
humains vague 2,gender,entropie,1.6981,0.8319,1.0002
humains vague 2,gender,gini_simpson,0.5670,0.7771,1.0002
humains vague 2,race,entropie,0.8383,1.4575,0.9966
humains vague 2,race,gini_simpson,0.4697,1.2720,0.9970
humains vague 2,political_ideology,entropie,7.1233,1.1118,0.9947
humains vague 2,political_ideology,gini_simpson,3.4325,1.0118,0.9987
humains vague 2,age,entropie,4.5011,1.0970,0.9964
humains vague 2,age,gini_simpson,1.9355,1.0232,0.9981
humains vague 2,education,entropie,1.9591,1.0628,0.9979
humains vague 2,education,gini_simpson,0.7041,1.1677,0.9972
humains vague 2,profil croise,entropie,9.2185,0.9680,0.9990
humains vague 2,profil croise,gini_simpson,4.1424,0.9048,1.0027
C2 argmax,gender,entropie,1.6981,0.0746,0.6588
C2 argmax,gender,gini_simpson,0.5670,0.0834,0.6654
C2 argmax,race,entropie,0.8383,4.8381,0.6353
C2 argmax,race,gini_simpson,0.4697,3.3144,0.6451
C2 argmax,political_ideology,entropie,7.1233,8.1616,0.3520
C2 argmax,political_ideology,gini_simpson,3.4325,6.9286,0.3645
C2 argmax,age,entropie,4.5011,1.8675,0.6238
C2 argmax,age,gini_simpson,1.9355,1.3984,0.6423
C2 argmax,education,entropie,1.9591,2.5985,0.6329
C2 argmax,education,gini_simpson,0.7041,2.2103,0.6474
C2 argmax,profil croise,entropie,9.2185,4.8838,0.4127
C2 argmax,profil croise,gini_simpson,4.1424,4.6002,0.4308
C3 argmax,gender,entropie,1.6981,0.6642,0.6727
C3 argmax,gender,gini_simpson,0.5670,0.5181,0.6831
C3 argmax,race,entropie,0.8383,-0.0866,0.6757
C3 argmax,race,gini_simpson,0.4697,-0.0040,0.6866
C3 argmax,political_ideology,entropie,7.1233,0.7329,0.6675
C3 argmax,political_ideology,gini_simpson,3.4325,0.7225,0.6801
C3 argmax,age,entropie,4.5011,0.4345,0.6758
C3 argmax,age,gini_simpson,1.9355,0.4327,0.6885
C3 argmax,education,entropie,1.9591,0.9663,0.6680
C3 argmax,education,gini_simpson,0.7041,0.9705,0.6792
C3 argmax,profil croise,entropie,9.2185,0.5690,0.6743
C3 argmax,profil croise,gini_simpson,4.1424,0.5005,0.6924
agents composite,gender,entropie,1.6981,0.9543,0.8889
agents composite,gender,gini_simpson,0.5670,1.1551,0.9047
agents composite,race,entropie,0.8383,1.4863,0.8875
agents composite,race,gini_simpson,0.4697,1.3436,0.9046
agents composite,political_ideology,entropie,7.1233,2.2040,0.8369
agents composite,political_ideology,gini_simpson,3.4325,2.0350,0.8539
agents composite,age,entropie,4.5011,1.2601,0.8806
agents composite,age,gini_simpson,1.9355,1.1692,0.9006
agents composite,education,entropie,1.9591,1.2786,0.8845
agents composite,education,gini_simpson,0.7041,1.3433,0.9022
agents composite,profil croise,entropie,9.2185,1.6257,0.8492
agents composite,profil croise,gini_simpson,4.1424,1.5920,0.8669
agents entretien (v3),gender,entropie,1.6981,0.8535,0.8605
agents entretien (v3),gender,gini_simpson,0.5670,0.9800,0.8605
agents entretien (v3),race,entropie,0.8383,1.9801,0.8560
agents entretien (v3),race,gini_simpson,0.4697,1.2680,0.8596
agents entretien (v3),political_ideology,entropie,7.1233,2.9156,0.7769
agents entretien (v3),political_ideology,gini_simpson,3.4325,2.6594,0.7768
agents entretien (v3),age,entropie,4.5011,1.3619,0.8477
agents entretien (v3),age,gini_simpson,1.9355,1.1150,0.8562
agents entretien (v3),education,entropie,1.9591,1.5454,0.8522
agents entretien (v3),education,gini_simpson,0.7041,1.5624,0.8546
