condition,ideologie_dans_l_invite,exactitude_argmax,ic_bas,ic_haut,exactitude_esperee,ratio_inter_ideologie,ratio_inter_genre,ratio_intra,ratio_total,diversite_conservee,accord_par_paires
humains vague 2,sans objet,0.7914,0.7760,0.8057,0.7914,1.1118,0.8319,0.9975,0.9986,0.9988,0.4926
C2,"oui, dans l'invite",0.5274,0.5163,0.5377,0.5267,8.1616,0.0746,0.5563,0.6533,0.6542,0.6639
C2 (version distributionnelle),"oui, dans l'invite",,,,,7.8757,0.1156,0.5754,0.6675,,
agents v8,"oui, dans l'invite",0.5661,0.5523,0.5794,0.5661,8.9529,0.1285,0.6742,0.7848,0.7848,0.5930
C3,"non, a reconstruire",0.5825,0.5726,0.5922,0.5821,0.7329,0.6642,0.6723,0.6708,0.6729,0.6535
C3 (version distributionnelle),"non, a reconstruire",,,,,0.7449,0.6974,0.6928,0.6913,,
agents composite,"non, a reconstruire",0.6832,0.6717,0.6944,0.6832,2.2040,0.9543,0.8719,0.8897,0.8908,0.5392
agents enquete,"non, a reconstruire",0.6473,0.6353,0.6579,0.6473,2.4343,0.8911,0.8305,0.8515,0.8528,0.5556
agents entretien (v3),"non, a reconstruire",0.6564,0.6450,0.6668,0.6564,2.9156,0.8535,0.8312,0.8599,0.8615,0.5621
agents demographiques (v6),non,0.5902,0.5786,0.6015,0.5902,0.2431,0.9056,0.6200,0.6262,0.6284,0.6795
agents v7,inconnu,0.5692,0.5552,0.5828,0.5692,0.3592,0.4252,0.6358,0.6320,0.6385,0.6843
plafond humain test retest,sans objet,0.7914,0.7760,0.8057,,,,,,,
