variante,n_items,methode,exactitude,ic_bas,ic_haut
A 149 items,149,B1 argmax,0.6209,0.6169,0.6250
A 148 items (score seul),148,B1 argmax,0.6216,0.6176,0.6257
A 149 items,149,B2 argmax,0.6717,0.6675,0.6756
A 148 items (score seul),148,B2 argmax,0.6728,0.6686,0.6767
A 149 items,149,B0 mode,0.5934,0.5890,0.5976
A 148 items (score seul),148,B0 mode,0.5939,0.5895,0.5981
A 149 items,149,retest humain,0.7950,0.7897,0.7999
A 148 items (score seul),148,retest humain,0.7961,0.7908,0.8010
A 149 items,149,agents composite,0.6839,0.6799,0.6879
A 148 items (score seul),148,agents composite,0.6857,0.6816,0.6897
A 149 items,149,agents entretien (v3),0.6565,0.6527,0.6604
A 148 items (score seul),148,agents entretien (v3),0.6581,0.6544,0.6620
A 149 items,149,agents enquete,0.6510,0.6471,0.6548
A 148 items (score seul),148,agents enquete,0.6533,0.6494,0.6571
A 149 items,149,agents demographiques (v6),0.5818,0.5774,0.5859
A 148 items (score seul),148,agents demographiques (v6),0.5790,0.5746,0.5831
A 149 items,149,agents v7,0.5640,0.5589,0.5691
A 148 items (score seul),148,agents v7,0.5650,0.5599,0.5700
A 149 items,149,agents v8,0.5591,0.5542,0.5644
A 148 items (score seul),148,agents v8,0.5599,0.5549,0.5652
B 148 items (rejoue),148,B1 argmax,0.6216,0.6176,0.6257
B 148 items (rejoue),148,B2 argmax,0.6719,0.6679,0.6757
B 148 items (rejoue),148,B0 mode,0.5939,0.5895,0.5981
