item,ecarte_par_a1,ecarte_par_stanford,modalite_majoritaire_pct,humains vague 2,agents composite,agents entretien (v3),agents enquete,agents persona (v7),agents demographiques (v6),agents demographiques (v8)
reg16,True,True,0.1873,0.7852,0.6663,0.6673,0.1464,0.2766,0.1445,0.1293
famdif16,False,True,0.6198,0.9154,0.8859,0.8859,0.5808,0.6008,0.5000,0.5542
paeduc*,False,True,0.8375,0.9011,0.8802,0.8593,0.7510,0.7158,0.7928,0.7681
padeg*,False,True,0.4648,0.8764,0.8118,0.7928,0.4610,0.4192,0.4344,0.4278
maeduc*,False,True,0.8517,0.9287,0.9154,0.9087,0.8584,0.7519,0.8175,0.7833
madeg*,False,True,0.4724,0.8660,0.8527,0.8441,0.5722,0.4202,0.4468,0.4259
mawrkgrw,False,True,0.7785,0.9202,0.9677,0.9677,0.6283,0.7101,0.7700,0.6226
marital,False,True,0.4202,0.9525,0.9743,0.9677,0.9116,0.5998,0.9990,0.4610
widowed,False,True,0.9306,0.9848,0.9810,0.9800,0.9306,0.9144,1.0000,0.8365
martype*,False,True,0.4962,0.8726,0.8460,0.8394,0.8403,0.6625,0.9895,0.6055
vetyears,False,True,0.9335,0.9753,0.9753,0.9705,0.9325,0.9411,0.9335,0.8707
speduc*,False,True,0.5057,0.8631,0.8679,0.8413,0.8688,0.6492,0.8451,0.5475
spwrksta,False,True,0.5371,0.8375,0.7643,0.7367,0.6911,0.5342,0.6949,0.3631
race*,True,True,0.7595,0.9791,0.9335,0.9259,0.6863,0.8042,0.9981,0.9990
polviews,True,False,0.2880,0.8327,0.5390,0.5542,0.3489,0.2167,0.1996,0.9610
partyid,True,True,0.2196,0.8203,0.7557,0.7414,0.2909,0.1835,0.1654,0.9943
relig*,False,True,0.4049,0.8869,0.7909,0.7576,0.5599,0.4420,0.9943,0.4297
relpersn,False,True,0.4449,0.7975,0.6825,0.6255,0.6473,0.3650,0.5675,0.3251
sprtprsn,False,True,0.2785,0.7205,0.5580,0.5532,0.5238,0.3175,0.3641,0.3137
born,False,True,0.9563,0.9895,0.9924,0.9905,0.6901,0.9078,0.7852,0.9259
educ*,True,True,0.9430,0.9563,0.9411,0.9411,0.9392,0.9344,0.9981,0.9392
degree*,True,True,0.3888,0.9135,0.8945,0.8916,0.4487,0.4192,0.9981,0.2671
income,True,False,0.5162,0.6340,0.4221,0.4154,0.3118,0.4125,0.9943,0.4544
visitors,False,True,0.9230,0.9202,0.8907,0.8603,0.8945,0.2804,0.9030,0.3470
rvisitor,False,True,0.9829,0.9848,0.9848,0.9810,0.9829,0.9753,0.9829,0.9791
dwelown,False,True,0.5760,0.9382,0.9430,0.9430,0.6540,0.5732,0.5057,0.6027
zodiac,False,True,0.0922,0.9753,0.8831,0.8954,0.0627,0.0808,0.9990,0.0618
sex*,True,True,0.5637,0.9876,0.9876,0.9848,0.5608,0.8317,0.9990,0.9981
hispanic,False,True,0.8650,0.9743,0.9810,0.9800,0.8650,0.8945,0.9990,0.8631
