condition,axe_transport,variante,jeu_items,mesure,lambda_median,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_total,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee,un_dans_ic_inter
humains vague 2,aucun,aucune,149 items,entropie,1.00,1.0169,0.9819,1.0533,1.0037,0.9988,1.0084,1.0043,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000,oui
humains vague 2,aucun,aucune,149 items,gini_simpson,1.00,1.0192,0.9824,1.0567,1.0025,0.9983,1.0072,1.0034,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000,oui
humains vague 2,aucun,aucune,70 items ordinaux,entropie,1.00,1.0246,0.9807,1.0765,1.0002,0.9947,1.0054,1.0013,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000,oui
humains vague 2,aucun,aucune,70 items ordinaux,gini_simpson,1.00,1.0329,0.9861,1.0866,0.9993,0.9946,1.0038,1.0007,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000,oui
humains vague 2,aucun,aucune,70 items ordinaux,variance_ordinale,1.00,1.0387,0.9931,1.0828,0.9884,0.9768,0.9999,0.9929,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000,oui
humains vague 2,aucun,aucune,149 items,entropie,1.00,1.0102,0.9748,1.0421,1.0039,0.9989,1.0083,1.0043,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000,oui
humains vague 2,aucun,aucune,149 items,gini_simpson,1.00,1.0253,0.9903,1.0589,1.0021,0.9973,1.0065,1.0034,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000,oui
humains vague 2,aucun,aucune,70 items ordinaux,entropie,1.00,1.0096,0.9651,1.0555,1.0008,0.9948,1.0062,1.0013,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000,oui
humains vague 2,aucun,aucune,70 items ordinaux,gini_simpson,1.00,1.0315,0.9841,1.0816,0.9993,0.9944,1.0043,1.0007,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000,oui
humains vague 2,aucun,aucune,70 items ordinaux,variance_ordinale,1.00,1.0292,0.9801,1.0813,0.9891,0.9774,1.0010,0.9929,0.7950,0.7896,0.7999,0.0000,0.0000,0.0000,1.0043,0.4909,0.0000,oui
agents composite,aucun,aucune,149 items,entropie,1.00,2.1309,2.0415,2.2189,0.8336,0.8264,0.8408,0.8933,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000,non
agents composite,aucun,aucune,149 items,gini_simpson,1.00,2.1543,2.0611,2.2548,0.8432,0.8359,0.8504,0.9087,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000,non
agents composite,aucun,aucune,70 items ordinaux,entropie,1.00,2.4865,2.3642,2.6221,0.8187,0.8100,0.8267,0.8919,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000,non
agents composite,aucun,aucune,70 items ordinaux,gini_simpson,1.00,2.5707,2.4277,2.7238,0.8347,0.8255,0.8422,0.9106,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000,non
agents composite,aucun,aucune,70 items ordinaux,variance_ordinale,1.00,2.3597,2.2193,2.5022,0.7545,0.7385,0.7697,0.8969,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000,non
agents composite,aucun,aucune,149 items,entropie,1.00,1.9528,1.8726,2.0268,0.8352,0.8284,0.8423,0.8933,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000,non
agents composite,aucun,aucune,149 items,gini_simpson,1.00,1.9933,1.9086,2.0812,0.8466,0.8387,0.8540,0.9087,0.6840,0.6800,0.6880,0.0000,0.0000,0.0000,0.8932,0.5390,0.0000,non
