condition,axe_transport,mesure_de_calibration,bloc,lambda_retenu,inter_calibration_avant,inter_calibration_apres
agents composite,political_ideology,gini_simpson,0,0.7,2.1993,1.0757
agents composite,political_ideology,gini_simpson,1,0.7,2.1054,1.0298
agents composite,political_ideology,gini_simpson,2,0.7,2.1529,1.0522
agents composite,political_ideology,gini_simpson,3,0.7,2.1729,1.0617
agents composite,political_ideology,gini_simpson,4,0.7,2.1394,1.0458
agents composite,profil croise,gini_simpson,0,0.7,2.0031,1.0348
agents composite,profil croise,gini_simpson,1,0.7,1.9586,1.0199
agents composite,profil croise,gini_simpson,2,0.7,1.9907,1.0356
agents composite,profil croise,gini_simpson,3,0.7,2.0326,1.0566
agents composite,profil croise,gini_simpson,4,0.7,1.9803,1.0277
agents enquete,political_ideology,gini_simpson,0,0.6,2.5915,0.9342
agents enquete,political_ideology,gini_simpson,1,0.6,2.3705,0.8555
agents enquete,political_ideology,gini_simpson,2,0.6,2.5119,0.9070
agents enquete,political_ideology,gini_simpson,3,0.6,2.5233,0.9103
agents enquete,political_ideology,gini_simpson,4,0.6,2.5912,0.9348
agents enquete,profil croise,gini_simpson,0,0.6,2.2320,0.8955
agents enquete,profil croise,gini_simpson,1,0.7,2.0614,1.0742
agents enquete,profil croise,gini_simpson,2,0.7,2.1471,1.1212
agents enquete,profil croise,gini_simpson,3,0.6,2.2031,0.8812
agents enquete,profil croise,gini_simpson,4,0.6,2.2184,0.8828
agents entretien (v3),political_ideology,gini_simpson,0,0.6,2.8848,1.0379
agents entretien (v3),political_ideology,gini_simpson,1,0.6,2.7504,0.9906
agents entretien (v3),political_ideology,gini_simpson,2,0.6,2.9165,1.0501
agents entretien (v3),political_ideology,gini_simpson,3,0.6,2.7098,0.9762
agents entretien (v3),political_ideology,gini_simpson,4,0.6,2.8490,1.0247
agents entretien (v3),profil croise,gini_simpson,0,0.6,2.6573,1.0306
agents entretien (v3),profil croise,gini_simpson,1,0.6,2.5917,1.0116
agents entretien (v3),profil croise,gini_simpson,2,0.6,2.6622,1.0342
agents entretien (v3),profil croise,gini_simpson,3,0.6,2.5223,0.9799
agents entretien (v3),profil croise,gini_simpson,4,0.6,2.6426,1.0279
agents demographiques (v8),political_ideology,gini_simpson,0,0.3,8.1287,0.7303
agents demographiques (v8),political_ideology,gini_simpson,1,0.4,7.7773,1.2433
agents demographiques (v8),political_ideology,gini_simpson,2,0.3,8.4284,0.7575
agents demographiques (v8),political_ideology,gini_simpson,3,0.4,7.6656,1.2238
