condition,axe_transport,variante,verite,n_change,n_reparation,n_casse,net,taux_reparation,spearman_avant,spearman_apres
agents composite,political_ideology,naive,vague1,4101,731,2322,-1591,0.1782,0.5312,0.4806
agents composite,political_ideology,naive,vague2,4101,723,2323,-1600,0.1763,0.5312,0.4806
agents composite,political_ideology,informee,vague1,4101,1050,1902,-852,0.2560,0.5312,0.4861
agents composite,political_ideology,informee,vague2,4101,1085,1897,-812,0.2646,0.5312,0.4861
agents composite,profil croise,naive,vague1,4441,823,2472,-1649,0.1853,0.5312,0.4820
agents composite,profil croise,naive,vague2,4441,777,2516,-1739,0.1750,0.5312,0.4820
agents composite,profil croise,informee,vague1,4441,1134,2082,-948,0.2553,0.5312,0.4844
agents composite,profil croise,informee,vague2,4441,1153,2054,-901,0.2596,0.5312,0.4844
agents enquete,political_ideology,naive,vague1,5248,1033,2747,-1714,0.1968,0.5794,0.5315
agents enquete,political_ideology,naive,vague2,5248,1024,2746,-1722,0.1951,0.5794,0.5315
agents enquete,political_ideology,informee,vague1,5248,1512,2177,-665,0.2881,0.5794,0.5472
agents enquete,political_ideology,informee,vague2,5248,1482,2214,-732,0.2824,0.5794,0.5472
agents enquete,profil croise,naive,vague1,4835,968,2498,-1530,0.2002,0.5794,0.5451
agents enquete,profil croise,naive,vague2,4835,976,2433,-1457,0.2019,0.5794,0.5451
agents enquete,profil croise,informee,vague1,4835,1421,1969,-548,0.2939,0.5794,0.5499
agents enquete,profil croise,informee,vague2,4835,1351,2001,-650,0.2794,0.5794,0.5499
agents entretien (v3),political_ideology,naive,vague1,6040,1151,3252,-2101,0.1906,0.4369,0.3697
agents entretien (v3),political_ideology,naive,vague2,6040,1163,3180,-2017,0.1925,0.4369,0.3697
agents entretien (v3),political_ideology,informee,vague1,6040,1431,2806,-1375,0.2369,0.4369,0.3724
agents entretien (v3),political_ideology,informee,vague2,6040,1487,2744,-1257,0.2462,0.4369,0.3724
agents entretien (v3),profil croise,naive,vague1,6709,1263,3602,-2339,0.1883,0.4369,0.3644
agents entretien (v3),profil croise,naive,vague2,6709,1271,3526,-2255,0.1894,0.4369,0.3644
agents entretien (v3),profil croise,informee,vague1,6709,1637,3101,-1464,0.2440,0.4369,0.3717
agents entretien (v3),profil croise,informee,vague2,6709,1620,3043,-1423,0.2415,0.4369,0.3717
agents demographiques (v8),political_ideology,naive,vague1,16546,4263,7190,-2927,0.2576,0.3020,0.1994
agents demographiques (v8),political_ideology,naive,vague2,16546,4309,7211,-2902,0.2604,0.3020,0.1994
agents demographiques (v8),political_ideology,informee,vague1,16546,4397,7069,-2672,0.2657,0.3020,0.1685
agents demographiques (v8),political_ideology,informee,vague2,16546,4377,7145,-2768,0.2645,0.3020,0.1685
agents demographiques (v8),profil croise,naive,vague1,16423,4078,7275,-3197,0.2483,0.3020,0.1695
agents demographiques (v8),profil croise,naive,vague2,16423,4028,7265,-3237,0.2453,0.3020,0.1695
agents demographiques (v8),profil croise,informee,vague1,16423,4331,6985,-2654,0.2637,0.3020,0.1502
agents demographiques (v8),profil croise,informee,vague2,16423,4331,6973,-2642,0.2637,0.3020,0.1502
