condition,axe_transport,variante,axe_mesure,mesure,ratio_inter_avant,ratio_inter_apres
agents composite,political_ideology,naive,gender,gini_simpson,1.4331,1.1773
agents composite,political_ideology,naive,race,gini_simpson,1.6280,1.3893
agents composite,political_ideology,naive,political_ideology,gini_simpson,2.1548,1.0532
agents composite,political_ideology,naive,age,gini_simpson,1.2020,0.9738
agents composite,political_ideology,naive,education,gini_simpson,1.3861,1.2712
agents composite,political_ideology,naive,profil croise,gini_simpson,1.9943,1.0760
agents composite,political_ideology,informee,gender,gini_simpson,1.4331,1.3047
agents composite,political_ideology,informee,race,gini_simpson,1.6280,1.4551
agents composite,political_ideology,informee,political_ideology,gini_simpson,2.1548,1.0532
agents composite,political_ideology,informee,age,gini_simpson,1.2020,1.1920
agents composite,political_ideology,informee,education,gini_simpson,1.3861,1.4333
agents composite,political_ideology,informee,profil croise,gini_simpson,1.9943,1.1322
agents composite,political_ideology,dilatation,gender,gini_simpson,1.4331,1.4235
agents composite,political_ideology,dilatation,race,gini_simpson,1.6280,1.6087
agents composite,political_ideology,dilatation,political_ideology,gini_simpson,2.1548,1.3291
agents composite,political_ideology,dilatation,age,gini_simpson,1.2020,1.3138
agents composite,political_ideology,dilatation,education,gini_simpson,1.3861,1.5025
agents composite,political_ideology,dilatation,profil croise,gini_simpson,1.9943,1.4077
agents composite,profil croise,naive,gender,gini_simpson,1.4331,0.6948
agents composite,profil croise,naive,race,gini_simpson,1.6280,0.7365
agents composite,profil croise,naive,political_ideology,gini_simpson,2.1548,1.1809
agents composite,profil croise,naive,age,gini_simpson,1.2020,0.9627
agents composite,profil croise,naive,education,gini_simpson,1.3861,1.1925
agents composite,profil croise,naive,profil croise,gini_simpson,1.9943,1.0351
agents composite,profil croise,informee,gender,gini_simpson,1.4331,0.6997
agents composite,profil croise,informee,race,gini_simpson,1.6280,0.7349
agents composite,profil croise,informee,political_ideology,gini_simpson,2.1548,1.3262
agents composite,profil croise,informee,age,gini_simpson,1.2020,1.1468
agents composite,profil croise,informee,education,gini_simpson,1.3861,1.3529
agents composite,profil croise,informee,profil croise,gini_simpson,1.9943,1.0351
agents composite,profil croise,dilatation,gender,gini_simpson,1.4331,0.8954
agents composite,profil croise,dilatation,race,gini_simpson,1.6280,0.9740
agents composite,profil croise,dilatation,political_ideology,gini_simpson,2.1548,1.5753
agents composite,profil croise,dilatation,age,gini_simpson,1.2020,1.2689
agents composite,profil croise,dilatation,education,gini_simpson,1.3861,1.4299
agents composite,profil croise,dilatation,profil croise,gini_simpson,1.9943,1.2161
agents enquete,political_ideology,naive,gender,gini_simpson,1.0477,0.8376
agents enquete,political_ideology,naive,race,gini_simpson,1.3575,1.0439
agents enquete,political_ideology,naive,political_ideology,gini_simpson,2.5148,0.9076
agents enquete,political_ideology,naive,age,gini_simpson,0.8630,0.6384
agents enquete,political_ideology,naive,education,gini_simpson,1.0911,0.9363
agents enquete,political_ideology,naive,profil croise,gini_simpson,2.1681,0.8578
agents enquete,political_ideology,informee,gender,gini_simpson,1.0477,0.9364
agents enquete,political_ideology,informee,race,gini_simpson,1.3575,0.9855
agents enquete,political_ideology,informee,political_ideology,gini_simpson,2.5148,0.9076
agents enquete,political_ideology,informee,age,gini_simpson,0.8630,0.7780
agents enquete,political_ideology,informee,education,gini_simpson,1.0911,1.0936
