condition,axe_transport,jeu_items,mesure,w,T,plafond_intra_a_inter_nul,intra_mesure_a_lambda_0,plafond_au_dessus_de_1
agents composite,political_ideology,149 items,entropie,0.0460,0.8933,0.9364,0.9356,non
agents composite,political_ideology,149 items,gini_simpson,0.0499,0.9087,0.9564,0.9562,non
agents composite,political_ideology,70 items ordinaux,entropie,0.0439,0.8919,0.9328,0.9320,non
agents composite,political_ideology,70 items ordinaux,gini_simpson,0.0437,0.9106,0.9522,0.9519,non
agents composite,political_ideology,70 items ordinaux,variance_ordinale,0.0887,0.8969,0.9842,0.9840,non
agents composite,profil croise,149 items,entropie,0.0520,0.8933,0.9423,0.9402,non
agents composite,profil croise,149 items,gini_simpson,0.0542,0.9087,0.9607,0.9604,non
agents composite,profil croise,70 items ordinaux,entropie,0.0466,0.8919,0.9354,0.9330,non
agents composite,profil croise,70 items ordinaux,gini_simpson,0.0442,0.9106,0.9526,0.9515,non
agents composite,profil croise,70 items ordinaux,variance_ordinale,0.0949,0.8969,0.9909,0.9895,non
agents enquete,political_ideology,149 items,entropie,0.0460,0.8583,0.8997,0.8989,non
agents enquete,political_ideology,149 items,gini_simpson,0.0499,0.8783,0.9244,0.9241,non
agents enquete,political_ideology,70 items ordinaux,entropie,0.0439,0.8575,0.8969,0.8960,non
agents enquete,political_ideology,70 items ordinaux,gini_simpson,0.0437,0.8761,0.9161,0.9156,non
agents enquete,political_ideology,70 items ordinaux,variance_ordinale,0.0887,0.8782,0.9637,0.9631,non
agents enquete,profil croise,149 items,entropie,0.0520,0.8583,0.9053,0.9029,non
agents enquete,profil croise,149 items,gini_simpson,0.0542,0.8783,0.9286,0.9274,non
agents enquete,profil croise,70 items ordinaux,entropie,0.0466,0.8575,0.8994,0.8962,non
agents enquete,profil croise,70 items ordinaux,gini_simpson,0.0442,0.8761,0.9166,0.9143,non
agents enquete,profil croise,70 items ordinaux,variance_ordinale,0.0949,0.8783,0.9703,0.9661,non
agents entretien (v3),political_ideology,149 items,entropie,0.0460,0.8649,0.9066,0.9060,non
agents entretien (v3),political_ideology,149 items,gini_simpson,0.0499,0.8669,0.9124,0.9123,non
agents entretien (v3),political_ideology,70 items ordinaux,entropie,0.0439,0.8898,0.9306,0.9306,non
agents entretien (v3),political_ideology,70 items ordinaux,gini_simpson,0.0437,0.9004,0.9415,0.9416,non
agents entretien (v3),political_ideology,70 items ordinaux,variance_ordinale,0.0887,0.9513,1.0439,1.0447,oui
agents entretien (v3),profil croise,149 items,entropie,0.0520,0.8649,0.9123,0.9091,non
agents entretien (v3),profil croise,149 items,gini_simpson,0.0542,0.8669,0.9165,0.9152,non
agents entretien (v3),profil croise,70 items ordinaux,entropie,0.0466,0.8898,0.9332,0.9296,non
agents entretien (v3),profil croise,70 items ordinaux,gini_simpson,0.0442,0.9004,0.9420,0.9395,non
agents entretien (v3),profil croise,70 items ordinaux,variance_ordinale,0.0949,0.9513,1.0510,1.0432,oui
agents demographiques (v8),political_ideology,149 items,entropie,0.0460,0.8022,0.8409,0.8401,non
agents demographiques (v8),political_ideology,149 items,gini_simpson,0.0499,0.8256,0.8690,0.8686,non
agents demographiques (v8),political_ideology,70 items ordinaux,entropie,0.0439,0.8304,0.8686,0.8683,non
agents demographiques (v8),political_ideology,70 items ordinaux,gini_simpson,0.0437,0.8485,0.8873,0.8872,non
agents demographiques (v8),political_ideology,70 items ordinaux,variance_ordinale,0.0887,0.9535,1.0462,1.0472,oui
agents demographiques (v8),profil croise,149 items,entropie,0.0520,0.8022,0.8461,0.8296,non
agents demographiques (v8),profil croise,149 items,gini_simpson,0.0542,0.8256,0.8729,0.8576,non
agents demographiques (v8),profil croise,70 items ordinaux,entropie,0.0466,0.8304,0.8710,0.8524,non
agents demographiques (v8),profil croise,70 items ordinaux,gini_simpson,0.0442,0.8485,0.8877,0.8709,non
agents demographiques (v8),profil croise,70 items ordinaux,variance_ordinale,0.0949,0.9535,1.0534,1.0193,oui
