condition,axe_transport,lambda,jeu_items,mesure,inter_brut,inter_nulA,inter_nulB,ratio_intra_brut,ratio_intra_corrige,ratio_total
agents composite,political_ideology,1.0,149 items,entropie,2.1295,2.1309,2.1309,0.8331,0.8336,0.8933
agents composite,political_ideology,1.0,149 items,gini_simpson,2.1563,2.1543,2.1543,0.8432,0.8432,0.9087
agents composite,political_ideology,1.0,70 items ordinaux,entropie,2.4827,2.4865,2.4865,0.8183,0.8187,0.8919
agents composite,political_ideology,1.0,70 items ordinaux,gini_simpson,2.5710,2.5707,2.5707,0.8348,0.8347,0.9106
agents composite,political_ideology,1.0,70 items ordinaux,variance_ordinale,2.3593,2.3597,2.3597,0.7546,0.7545,0.8969
agents composite,political_ideology,0.9,149 items,entropie,1.6642,1.6615,1.6801,0.8555,0.8550,0.8930
agents composite,political_ideology,0.9,149 items,gini_simpson,1.7294,1.7281,1.7450,0.8654,0.8645,0.9084
agents composite,political_ideology,0.9,70 items ordinaux,entropie,1.9348,1.9346,1.9542,0.8434,0.8429,0.8916
agents composite,political_ideology,0.9,70 items ordinaux,gini_simpson,2.0627,2.0630,2.0822,0.8579,0.8569,0.9104
agents composite,political_ideology,0.9,70 items ordinaux,variance_ordinale,1.9018,1.9025,1.9113,0.7988,0.7979,0.8966
agents composite,political_ideology,0.8,149 items,entropie,1.2644,1.2574,1.3051,0.8751,0.8733,0.8932
agents composite,political_ideology,0.8,149 items,gini_simpson,1.3455,1.3444,1.3812,0.8858,0.8839,0.9087
agents composite,political_ideology,0.8,70 items ordinaux,entropie,1.4720,1.4670,1.5185,0.8650,0.8630,0.8918
agents composite,political_ideology,0.8,70 items ordinaux,gini_simpson,1.6067,1.6064,1.6488,0.8789,0.8769,0.9106
agents composite,political_ideology,0.8,70 items ordinaux,variance_ordinale,1.4942,1.4941,1.5149,0.8390,0.8370,0.8971
agents composite,political_ideology,0.7,149 items,entropie,0.9242,0.9142,0.9871,0.8915,0.8885,0.8930
agents composite,political_ideology,0.7,149 items,gini_simpson,1.0013,1.0006,1.0532,0.9036,0.9009,0.9085
agents composite,political_ideology,0.7,70 items ordinaux,entropie,1.0779,1.0704,1.1480,0.8831,0.8800,0.8917
agents composite,political_ideology,0.7,70 items ordinaux,gini_simpson,1.1961,1.1969,1.2565,0.8975,0.8947,0.9105
agents composite,political_ideology,0.7,70 items ordinaux,variance_ordinale,1.1246,1.1251,1.1539,0.8745,0.8717,0.8967
agents composite,political_ideology,0.6,149 items,entropie,0.6400,0.6272,0.7226,0.9052,0.9011,0.8928
agents composite,political_ideology,0.6,149 items,gini_simpson,0.7095,0.7090,0.7753,0.9189,0.9155,0.9085
agents composite,political_ideology,0.6,70 items ordinaux,entropie,0.7503,0.7392,0.8414,0.8979,0.8936,0.8913
