item,n,C2,C3,C3F,humains vague 2,agents composite,agents entretien (v3),agents enquete,agents demographiques (v6),agents v7,agents v8,B0 mode,B0 tirage,B1 argmax,B2 argmax,famille
natspac/y,150,0.373333,0.220000,0.200000,0.626667,0.440000,0.300000,0.413333,0.286667,0.360000,0.346667,0.520000,0.433333,0.453333,0.560000,depenses publiques (nat*)
natenvir/y,150,0.433333,0.653333,0.700000,0.806667,0.606667,0.573333,0.673333,0.440000,0.593333,0.580000,0.640000,0.553333,0.693333,0.680000,depenses publiques (nat*)
natheal/y,150,0.320000,0.680000,0.500000,0.733333,0.666667,0.653333,0.646667,0.666667,0.626667,0.546667,0.673333,0.526667,0.633333,0.673333,depenses publiques (nat*)
natcity/y,150,0.506667,0.306667,0.400000,0.640000,0.400000,0.506667,0.460000,0.333333,0.333333,0.380000,0.553333,0.393333,0.506667,0.546667,depenses publiques (nat*)
natdrug/y,150,0.440000,0.593333,0.700000,0.726667,0.586667,0.580000,0.600000,0.540000,0.560000,0.513333,0.573333,0.460000,0.493333,0.606667,depenses publiques (nat*)
nateduc/y,150,0.400000,0.666667,0.700000,0.800000,0.653333,0.653333,0.720000,0.653333,0.640000,0.533333,0.673333,0.553333,0.673333,0.706667,depenses publiques (nat*)
natrace/y,150,0.460000,0.480000,0.300000,0.740000,0.593333,0.586667,0.566667,0.413333,0.433333,0.533333,0.426667,0.346667,0.560000,0.546667,depenses publiques (nat*)
natarms/y,150,0.480000,0.413333,0.500000,0.760000,0.553333,0.593333,0.560000,0.506667,0.446667,0.540000,0.273333,0.393333,0.560000,0.580000,depenses publiques (nat*)
nataid/y,150,0.366667,0.133333,0.400000,0.766667,0.640000,0.673333,0.560000,0.700000,0.433333,0.466667,0.686667,0.473333,0.666667,0.653333,depenses publiques (nat*)
natfare/y,150,0.293333,0.726667,0.600000,0.766667,0.660000,0.653333,0.646667,0.620000,0.586667,0.446667,0.700000,0.546667,0.733333,0.700000,depenses publiques (nat*)
natroad,150,0.420000,0.546667,0.400000,0.766667,0.513333,0.420000,0.520000,0.440000,0.453333,0.420000,0.533333,0.420000,0.500000,0.586667,depenses publiques (nat*)
natsoc,150,0.240000,0.600000,0.100000,0.680000,0.546667,0.560000,0.546667,0.560000,0.506667,0.433333,0.666667,0.580000,0.653333,0.693333,depenses publiques (nat*)
natmass,150,0.526667,0.493333,0.500000,0.793333,0.560000,0.573333,0.580000,0.440000,0.466667,0.486667,0.480000,0.380000,0.573333,0.693333,depenses publiques (nat*)
natpark,150,0.606667,0.373333,0.500000,0.713333,0.573333,0.520000,0.533333,0.453333,0.413333,0.420000,0.620000,0.526667,0.626667,0.666667,depenses publiques (nat*)
natchld,150,0.506667,0.606667,0.600000,0.713333,0.620000,0.573333,0.700000,0.553333,0.573333,0.480000,0.573333,0.500000,0.566667,0.653333,depenses publiques (nat*)
natsci,150,0.520000,0.320000,0.100000,0.646667,0.546667,0.473333,0.506667,0.440000,0.406667,0.453333,0.586667,0.466667,0.573333,0.606667,depenses publiques (nat*)
natenrgy,150,0.533333,0.466667,0.600000,0.746667,0.620000,0.580000,0.586667,0.453333,0.466667,0.560000,0.466667,0.386667,0.566667,0.613333,depenses publiques (nat*)
uswary,150,0.473333,0.473333,,0.833333,0.513333,0.520000,0.493333,0.473333,0.493333,0.500000,0.526667,0.473333,0.573333,0.533333,hors famille
prayer,150,0.673333,0.673333,,0.800000,0.773333,0.773333,0.746667,0.660000,0.686667,0.673333,0.673333,0.546667,0.673333,0.760000,hors famille
courts,150,0.400000,0.393333,,0.740000,0.560000,0.553333,0.466667,0.380000,0.366667,0.440000,0.453333,0.346667,0.546667,0.553333,hors famille
discaffw,150,0.440000,0.213333,,0.626667,0.426667,0.466667,0.453333,0.473333,0.440000,0.446667,0.440000,0.313333,0.413333,0.453333,hors famille
discaffm,150,0.233333,0.486667,,0.586667,0.466667,0.386667,0.426667,0.406667,0.406667,0.326667,0.406667,0.346667,0.413333,0.453333,hors famille
fehire,150,0.260000,0.293333,0.111111,0.620000,0.353333,0.326667,0.333333,0.226667,0.266667,0.280000,0.280000,0.173333,0.286667,0.373333,roles de genre (fe*)
fechld,150,0.373333,0.540000,0.555556,0.613333,0.506667,0.460000,0.440000,0.486667,0.440000,0.426667,0.486667,0.340000,0.473333,0.546667,roles de genre (fe*)
fepresch,150,0.360000,0.426667,0.222222,0.580000,0.513333,0.380000,0.480000,0.466667,0.413333,0.446667,0.440000,0.293333,0.453333,0.466667,roles de genre (fe*)
fefam,150,0.353333,0.466667,0.555556,0.693333,0.453333,0.340000,0.380000,0.346667,0.320000,0.366667,0.413333,0.286667,0.333333,0.466667,roles de genre (fe*)
fepol,150,0.766667,0.760000,0.666667,0.846667,0.780000,0.800000,0.793333,0.760000,0.786667,0.806667,0.773333,0.653333,0.773333,0.773333,roles de genre (fe*)
mobile16,150,0.306667,0.266667,,0.853333,0.760000,0.800000,0.360000,0.306667,0.360000,0.320000,0.393333,0.273333,0.473333,0.440000,hors famille
incom16,150,0.333333,0.400000,,0.720000,0.513333,0.520000,0.406667,0.413333,0.493333,0.440000,0.520000,0.360000,0.480000,0.493333,hors famille
dwelown16,150,0.240000,0.053333,,0.933333,0.780000,0.773333,0.660000,0.660000,0.653333,0.720000,0.733333,0.553333,0.760000,0.733333,hors famille
divorced,150,0.700000,0.700000,,0.966667,0.973333,0.953333,0.886667,0.993333,0.706667,0.686667,0.700000,0.540000,0.726667,0.720000,hors famille
posslq/y,150,0.433333,0.606667,,0.940000,0.953333,0.940000,0.760000,0.993333,0.620000,0.420000,0.460000,0.406667,0.553333,0.666667,hors famille
wrkstat,150,0.533333,0.606667,,0.853333,0.786667,0.746667,0.573333,0.306667,0.453333,0.460000,0.406667,0.266667,0.480000,0.646667,hors famille
evwork,150,0.893333,0.626667,,0.946667,0.940000,0.940000,0.893333,0.893333,0.866667,0.900000,0.893333,0.800000,0.900000,0.893333,hors famille
wrkgovt1,150,0.833333,0.840000,,0.906667,0.873333,0.873333,0.840000,0.840000,0.840000,0.840000,0.840000,0.673333,0.853333,0.840000,hors famille
wrkgovt2,150,0.613333,0.520000,,0.866667,0.706667,0.740000,0.693333,0.686667,0.666667,0.686667,0.686667,0.553333,0.706667,0.706667,hors famille
partfull,150,0.560000,0.786667,,0.813333,0.780000,0.766667,0.813333,0.533333,0.533333,0.613333,0.520000,0.360000,0.593333,0.726667,hors famille
wksub1,150,0.540000,0.573333,,0.773333,0.746667,0.753333,0.740000,0.420000,0.506667,0.500000,0.480000,0.380000,0.553333,0.760000,hors famille
wksup1,150,0.486667,0.613333,,0.826667,0.833333,0.813333,0.760000,0.440000,0.473333,0.473333,0.440000,0.413333,0.600000,0.793333,hors famille
conarmy,150,0.453333,0.346667,0.500000,0.760000,0.566667,0.533333,0.546667,0.500000,0.506667,0.473333,0.466667,0.426667,0.560000,0.620000,confiance dans les institutions (con*)
conbus,150,0.593333,0.626667,0.600000,0.693333,0.660000,0.613333,0.680000,0.586667,0.573333,0.526667,0.586667,0.433333,0.620000,0.640000,confiance dans les institutions (con*)
conclerg,150,0.340000,0.613333,0.900000,0.726667,0.666667,0.620000,0.633333,0.593333,0.460000,0.400000,0.520000,0.393333,0.500000,0.593333,confiance dans les institutions (con*)
coneduc,150,0.540000,0.606667,0.300000,0.686667,0.573333,0.500000,0.566667,0.533333,0.500000,0.486667,0.540000,0.453333,0.493333,0.593333,confiance dans les institutions (con*)
confed,150,0.513333,0.593333,0.600000,0.693333,0.533333,0.466667,0.460000,0.466667,0.493333,0.493333,0.500000,0.406667,0.540000,0.633333,confiance dans les institutions (con*)
confinan,150,0.600000,0.573333,0.400000,0.746667,0.653333,0.593333,0.613333,0.533333,0.606667,0.593333,0.593333,0.440000,0.600000,0.680000,confiance dans les institutions (con*)
conjudge,150,0.453333,0.540000,0.600000,0.673333,0.513333,0.480000,0.493333,0.446667,0.446667,0.473333,0.446667,0.400000,0.480000,0.466667,confiance dans les institutions (con*)
conlabor,150,0.520000,0.433333,0.000000,0.733333,0.573333,0.540000,0.526667,0.566667,0.566667,0.560000,0.580000,0.393333,0.566667,0.620000,confiance dans les institutions (con*)
conlegis,150,0.406667,0.600000,0.700000,0.733333,0.586667,0.553333,0.586667,0.473333,0.513333,0.440000,0.493333,0.426667,0.473333,0.546667,confiance dans les institutions (con*)
conmedic,150,0.426667,0.520000,0.400000,0.733333,0.593333,0.620000,0.573333,0.453333,0.400000,0.453333,0.466667,0.406667,0.613333,0.566667,confiance dans les institutions (con*)
conpress,150,0.500000,0.553333,0.400000,0.693333,0.620000,0.580000,0.580000,0.520000,0.466667,0.580000,0.480000,0.460000,0.466667,0.593333,confiance dans les institutions (con*)
consci,150,0.466667,0.526667,0.300000,0.766667,0.666667,0.660000,0.586667,0.506667,0.433333,0.593333,0.506667,0.400000,0.633333,0.640000,confiance dans les institutions (con*)
contv,150,0.480000,0.586667,0.700000,0.626667,0.593333,0.546667,0.620000,0.460000,0.553333,0.493333,0.533333,0.406667,0.580000,0.546667,confiance dans les institutions (con*)
joblose,150,0.146667,0.520000,,0.706667,0.713333,0.686667,0.640000,0.340000,0.433333,0.426667,0.386667,0.313333,0.513333,0.726667,hors famille
jobfind,150,0.246667,0.673333,,0.666667,0.633333,0.566667,0.633333,0.360000,0.433333,0.413333,0.373333,0.280000,0.500000,0.666667,hors famille
happy,150,0.513333,0.680000,,0.746667,0.726667,0.706667,0.633333,0.560000,0.553333,0.573333,0.573333,0.426667,0.546667,0.606667,hors famille
hapmar,150,0.326667,0.700000,,0.886667,0.846667,0.813333,0.806667,0.813333,0.686667,0.460000,0.653333,0.406667,0.580000,0.700000,hors famille
satjob,150,0.266667,0.586667,,0.620000,0.680000,0.646667,0.620000,0.433333,0.433333,0.460000,0.373333,0.306667,0.486667,0.666667,hors famille
spdeg*,150,0.320000,0.626667,,0.833333,0.746667,0.620000,0.700000,0.686667,0.520000,0.253333,0.586667,0.353333,0.546667,0.620000,hors famille
spjew,150,0.713333,0.726667,,0.846667,0.713333,0.713333,0.726667,0.746667,0.713333,0.713333,0.713333,0.520000,0.706667,0.713333,hors famille
spfund,150,0.340000,0.746667,,0.820000,0.820000,0.826667,0.833333,0.853333,0.600000,0.360000,0.740000,0.573333,0.693333,0.740000,hors famille
unemp,150,0.580000,0.586667,,0.800000,0.726667,0.726667,0.686667,0.513333,0.646667,0.573333,0.580000,0.506667,0.566667,0.660000,hors famille
union1,150,0.880000,0.926667,,0.960000,0.986667,0.980000,0.946667,0.940000,0.913333,0.893333,0.953333,0.846667,0.946667,0.953333,hors famille
spkath/y,150,0.773333,0.900000,0.800000,0.833333,0.853333,0.786667,0.866667,0.766667,0.726667,0.666667,0.773333,0.726667,0.766667,0.780000,libertes civiles (spk/col/lib)
colath,150,0.720000,0.846667,0.800000,0.806667,0.786667,0.646667,0.820000,0.646667,0.700000,0.633333,0.733333,0.613333,0.713333,0.800000,libertes civiles (spk/col/lib)
spkrac/y,150,0.560000,0.653333,0.500000,0.793333,0.673333,0.560000,0.733333,0.566667,0.546667,0.560000,0.560000,0.546667,0.540000,0.666667,libertes civiles (spk/col/lib)
colrac,150,0.746667,0.746667,0.800000,0.793333,0.700000,0.760000,0.706667,0.700000,0.720000,0.706667,0.746667,0.566667,0.726667,0.773333,libertes civiles (spk/col/lib)
librac/y,150,0.566667,0.500000,0.600000,0.726667,0.626667,0.533333,0.606667,0.453333,0.466667,0.526667,0.566667,0.480000,0.566667,0.560000,libertes civiles (spk/col/lib)
spkcom/y,150,0.706667,0.860000,0.800000,0.813333,0.833333,0.720000,0.786667,0.720000,0.666667,0.613333,0.706667,0.533333,0.706667,0.813333,libertes civiles (spk/col/lib)
