perimetre,condition,metrique,groupe,n_items_groupe,n_items_temoin,moyenne_groupe,moyenne_temoin,difference,ic_items_bas,ic_items_haut,p_permutation
150,B0 mode,distance,sensible,12,65,0.264074,0.284026,-0.019952,-0.087018,0.045250,0.637000
150,B0 mode,distance,investiguer,13,65,0.327094,0.284026,0.043068,-0.037778,0.128445,0.305600
150,B0 mode,distance,sensible+investiguer,25,65,0.296844,0.284026,0.012819,-0.044929,0.072735,0.682300
150,B0 mode,ecart_desirabilite,sensible,10,45,0.046889,0.067840,-0.020951,-0.168152,0.126926,0.774700
150,B0 mode,ecart_desirabilite,investiguer,7,45,-0.172296,0.067840,-0.240136,-0.439448,-0.015742,0.010100
150,B0 mode,ecart_desirabilite,sensible+investiguer,17,45,-0.043364,0.067840,-0.111203,-0.254309,0.023376,0.084900
150,B0 mode,exactitude,sensible,12,65,0.562222,0.583282,-0.021060,-0.095958,0.068904,0.671500
150,B0 mode,exactitude,investiguer,13,65,0.531795,0.583282,-0.051487,-0.146154,0.052826,0.308200
150,B0 mode,exactitude,sensible+investiguer,25,65,0.546400,0.583282,-0.036882,-0.105663,0.035798,0.329000
150,B0 tirage,distance,sensible,12,65,0.038356,0.045479,-0.007122,-0.022015,0.009080,0.484600
150,B0 tirage,distance,investiguer,13,65,0.022248,0.045479,-0.023231,-0.035556,-0.010504,0.014300
150,B0 tirage,distance,sensible+investiguer,25,65,0.029980,0.045479,-0.015499,-0.027253,-0.003470,0.031200
150,B0 tirage,ecart_desirabilite,sensible,10,46,-0.006750,0.005250,-0.012000,-0.033609,0.010446,0.433900
150,B0 tirage,ecart_desirabilite,investiguer,7,46,-0.006592,0.005250,-0.011842,-0.033661,0.011543,0.497400
150,B0 tirage,ecart_desirabilite,sensible+investiguer,17,46,-0.006685,0.005250,-0.011935,-0.029898,0.006540,0.310500
150,B0 tirage,exactitude,sensible,12,65,0.477778,0.486564,-0.008786,-0.094026,0.090710,0.856200
150,B0 tirage,exactitude,investiguer,13,65,0.423077,0.486564,-0.063487,-0.161846,0.037749,0.197100
150,B0 tirage,exactitude,sensible+investiguer,25,65,0.449333,0.486564,-0.037231,-0.112211,0.039406,0.325600
150,B1 argmax,distance,sensible,12,65,0.114699,0.104308,0.010391,-0.028062,0.055603,0.532500
150,B1 argmax,distance,investiguer,13,65,0.085197,0.104308,-0.019111,-0.042437,0.006573,0.189600
150,B1 argmax,distance,sensible+investiguer,25,65,0.099358,0.104308,-0.004950,-0.029620,0.022329,0.687500
150,B1 argmax,ecart_desirabilite,sensible,10,46,0.020139,0.027610,-0.007471,-0.078506,0.052903,0.827300
150,B1 argmax,ecart_desirabilite,investiguer,7,46,-0.031312,0.027610,-0.058922,-0.120684,0.003510,0.120000
150,B1 argmax,ecart_desirabilite,sensible+investiguer,17,46,-0.001047,0.027610,-0.028657,-0.081958,0.020818,0.287100
150,B1 argmax,exactitude,sensible,12,65,0.583333,0.630359,-0.047026,-0.122770,0.042026,0.292200
150,B1 argmax,exactitude,investiguer,13,65,0.586154,0.630359,-0.044205,-0.152721,0.066154,0.336500
150,B1 argmax,exactitude,sensible+investiguer,25,65,0.584800,0.630359,-0.045559,-0.117746,0.028330,0.200400
150,B2 argmax,distance,sensible,12,65,0.149421,0.135744,0.013678,-0.037316,0.071907,0.588900
150,B2 argmax,distance,investiguer,13,65,0.125530,0.135744,-0.010214,-0.045291,0.025189,0.633200
150,B2 argmax,distance,sensible+investiguer,25,65,0.136998,0.135744,0.001254,-0.032325,0.037510,0.943600
150,B2 argmax,ecart_desirabilite,sensible,10,46,0.063139,0.033481,0.029658,-0.057948,0.118666,0.503500
150,B2 argmax,ecart_desirabilite,investiguer,7,46,-0.048747,0.033481,-0.082228,-0.178844,0.018693,0.104200
150,B2 argmax,ecart_desirabilite,sensible+investiguer,17,46,0.017068,0.033481,-0.016413,-0.091834,0.057727,0.660500
150,B2 argmax,exactitude,sensible,12,65,0.621111,0.670667,-0.049555,-0.110547,0.024652,0.214000
150,B2 argmax,exactitude,investiguer,13,65,0.658974,0.670667,-0.011692,-0.108923,0.088415,0.781500
150,B2 argmax,exactitude,sensible+investiguer,25,65,0.640800,0.670667,-0.029867,-0.094154,0.037870,0.360700
150,C2,distance,sensible,12,65,0.246227,0.210103,0.036124,-0.053139,0.130840,0.461500
150,C2,distance,investiguer,13,65,0.149436,0.210103,-0.060667,-0.122026,0.002565,0.177900
150,C2,distance,sensible+investiguer,25,65,0.195896,0.210103,-0.014207,-0.075984,0.051170,0.683600
150,C2,ecart_desirabilite,sensible,10,46,-0.155472,0.051767,-0.207239,-0.332046,-0.093259,0.004800
150,C2,ecart_desirabilite,investiguer,7,46,-0.075028,0.051767,-0.126795,-0.238737,-0.013951,0.120400
150,C2,ecart_desirabilite,sensible+investiguer,17,46,-0.122348,0.051767,-0.174115,-0.272683,-0.080498,0.002600
