perimetre,condition,item,classe_norc,type,n_cellules,exactitude,distance,desirabilite_simulee,desirabilite_humaine,ecart_desirabilite,masse_sans_score_simulee
1052,humains vague 2,natspac/y,mixte,ordinal,1052,0.729087,0.009030,0.467681,0.458650,0.009030,0.000000
1052,humains vague 2,natenvir/y,temoin,ordinal,1052,0.813688,0.009506,0.778042,0.773289,0.004753,-0.000000
1052,humains vague 2,natheal/y,mixte,ordinal,1052,0.773764,0.011407,0.839829,0.828422,0.011407,0.000000
1052,humains vague 2,natcity/y,mixte,ordinal,1052,0.636882,0.011882,0.479087,0.467205,0.011882,0.000000
1052,humains vague 2,natdrug/y,temoin,ordinal,1052,0.720532,0.002376,0.747624,0.750000,-0.002376,0.000000
1052,humains vague 2,nateduc/y,temoin,ordinal,1052,0.808935,0.002376,0.811787,0.809411,0.002376,-0.000000
1052,humains vague 2,natrace/y,sensible,ordinal,1052,0.761407,0.017110,0.564163,0.568916,-0.004753,0.000000
1052,humains vague 2,natarms/y,temoin,ordinal,1052,0.749049,0.010456,0.435361,0.424905,0.010456,-0.000000
1052,humains vague 2,nataid/y,temoin,ordinal,1052,0.816540,0.007129,0.189164,0.182034,0.007129,-0.000000
1052,humains vague 2,natfare/y,mixte,ordinal,1052,0.804183,0.006179,0.814639,0.808460,0.006179,-0.000000
1052,humains vague 2,natroad,sensible,ordinal,1052,0.722433,0.004753,0.721483,0.719582,0.001901,-0.000000
1052,humains vague 2,natsoc,temoin,ordinal,1052,0.777567,0.001426,0.819867,0.820342,-0.000475,-0.000000
1052,humains vague 2,natmass,temoin,ordinal,1052,0.728137,0.011882,0.669677,0.657795,0.011882,0.000000
1052,humains vague 2,natpark,temoin,ordinal,1052,0.717681,0.014734,0.619297,0.604563,0.014734,0.000000
1052,humains vague 2,natchld,sensible,ordinal,1052,0.743346,0.008555,0.741445,0.732890,0.008555,-0.000000
1052,humains vague 2,natsci,temoin,ordinal,1052,0.703422,0.009981,0.621198,0.618821,0.002376,0.000000
1052,humains vague 2,natenrgy,temoin,ordinal,1052,0.689164,0.001901,0.677757,0.679658,-0.001901,-0.000000
1052,humains vague 2,uswary,non teste,nominal,1052,0.816540,0.006654,,,,1.000000
1052,humains vague 2,prayer,non teste,nominal,1052,0.815589,0.005703,,,,1.000000
1052,humains vague 2,courts,non teste,ordinal,1052,0.759506,0.008080,,,,1.000000
1052,humains vague 2,discaffw,non teste,ordinal,1052,0.611217,0.007288,,,,1.000000
1052,humains vague 2,discaffm,non teste,ordinal,1052,0.584601,0.023447,,,,1.000000
1052,humains vague 2,fehire,non teste,ordinal,1052,0.574144,0.012120,,,,1.000000
1052,humains vague 2,fechld,temoin,ordinal,1052,0.640684,0.019011,0.731305,0.726869,0.004436,0.000000
1052,humains vague 2,fepresch,investiguer,ordinal,1052,0.673954,0.006337,0.653676,0.655577,-0.001901,-0.000000
1052,humains vague 2,fefam,investiguer,ordinal,1052,0.664449,0.013625,0.627060,0.640684,-0.013625,-0.000000
