perimetre,condition,score,metrique,rho_spearman,ic_items_bas,ic_items_haut,n_items,p_permutation
150,B0 mode,S1 NORC ordinal,distance,0.061090,-0.144831,0.262958,90,0.559222
150,B0 mode,S1 NORC ordinal,ratio_entropie,0.187329,-0.087385,0.427439,90,
150,B0 mode,S2 ampleur publiee,distance,-0.055447,-0.333848,0.212828,60,
150,B0 mode,S2 ampleur publiee,ratio_entropie,0.167870,-0.142286,0.411826,60,
150,B0 mode,S3 composite,distance,0.101110,-0.254163,0.410298,40,
150,B0 mode,S3 composite,ratio_entropie,0.308253,0.126161,0.500283,40,
150,B0 tirage,S1 NORC ordinal,distance,-0.202244,-0.384633,0.015184,90,0.054597
150,B0 tirage,S1 NORC ordinal,ratio_entropie,-0.034104,-0.244547,0.182762,90,
150,B0 tirage,S2 ampleur publiee,distance,0.055806,-0.230607,0.319204,60,
150,B0 tirage,S2 ampleur publiee,ratio_entropie,-0.024950,-0.305314,0.237821,60,
150,B0 tirage,S3 composite,distance,0.096531,-0.208155,0.409422,40,
150,B0 tirage,S3 composite,ratio_entropie,-0.002735,-0.332736,0.328314,40,
150,B1 argmax,S1 NORC ordinal,distance,-0.070271,-0.280376,0.149359,90,0.514574
150,B1 argmax,S1 NORC ordinal,ratio_entropie,0.094126,-0.120052,0.312051,90,
150,B1 argmax,S2 ampleur publiee,distance,-0.196924,-0.452373,0.100527,60,
150,B1 argmax,S2 ampleur publiee,ratio_entropie,0.051095,-0.220527,0.316730,60,
150,B1 argmax,S3 composite,distance,-0.099412,-0.416221,0.226140,40,
150,B1 argmax,S3 composite,ratio_entropie,0.178992,-0.172627,0.491577,40,
150,B2 argmax,S1 NORC ordinal,distance,0.006084,-0.211640,0.222435,90,0.954352
150,B2 argmax,S1 NORC ordinal,ratio_entropie,0.109349,-0.103538,0.316806,90,
150,B2 argmax,S2 ampleur publiee,distance,-0.292379,-0.557085,0.005446,60,
150,B2 argmax,S2 ampleur publiee,ratio_entropie,0.030349,-0.228902,0.284688,60,
150,B2 argmax,S3 composite,distance,-0.141619,-0.468055,0.194078,40,
150,B2 argmax,S3 composite,ratio_entropie,0.165789,-0.197418,0.477721,40,
150,B3 foret,S1 NORC ordinal,distance,-0.016011,-0.226475,0.205880,90,0.878056
150,B3 foret,S1 NORC ordinal,ratio_entropie,0.103891,-0.110648,0.305943,90,
150,B3 foret,S2 ampleur publiee,distance,-0.225186,-0.492532,0.036352,60,
150,B3 foret,S2 ampleur publiee,ratio_entropie,0.107223,-0.172406,0.367923,60,
150,B3 foret,S3 composite,distance,0.057482,-0.280660,0.406369,40,
150,B3 foret,S3 composite,ratio_entropie,0.134889,-0.200952,0.440922,40,
150,C2,S1 NORC ordinal,distance,0.012718,-0.182892,0.209963,90,0.908555
150,C2,S1 NORC ordinal,ratio_entropie,0.062774,-0.133116,0.250315,90,
150,C2,S2 ampleur publiee,distance,0.164963,-0.094842,0.420852,60,
150,C2,S2 ampleur publiee,ratio_entropie,-0.317100,-0.519972,-0.078185,60,
150,C2,S3 composite,distance,0.080210,-0.274930,0.418907,40,
