perimetre,hypothese,condition,metrique,moyenne_groupe,moyenne_temoin,n_groupe,n_temoin,difference,ic_items_bas,ic_items_haut,p_permutation,p_holm_famille_complete,p_bh_famille_complete,p_holm_sous_famille,p_bh_sous_famille
150,H1 distance,B0 mode,distance,0.264074,0.284026,12,65,-0.019952,-0.087017,0.045250,0.639447,1.000000,0.852596,1.000000,0.692734
150,H2 dispersion,B0 mode,ratio_entropie,0.085001,0.018466,12,65,0.066535,-0.029595,0.191559,0.078958,1.000000,0.380290,0.789584,0.233839
150,H4 desirabilite,B0 mode,ecart_desirabilite,0.046889,0.067840,10,45,-0.020951,-0.169063,0.126383,0.774705,1.000000,0.954352,1.000000,0.951061
150,descriptif investiguer,B0 mode,distance,0.327094,0.284026,13,65,0.043068,-0.036539,0.125496,0.312694,,,,
150,H1 distance,B0 tirage,distance,0.038356,0.045479,12,65,-0.007122,-0.022171,0.009337,0.479650,1.000000,0.810844,1.000000,0.686079
150,H2 dispersion,B0 tirage,ratio_entropie,0.966926,0.982040,12,65,-0.015114,-0.062001,0.035134,0.637807,1.000000,0.852596,1.000000,0.829149
150,H4 desirabilite,B0 tirage,ecart_desirabilite,-0.006750,0.005250,10,46,-0.012000,-0.033672,0.010360,0.424652,1.000000,0.794358,1.000000,0.921347
150,descriptif investiguer,B0 tirage,distance,0.022248,0.045479,13,65,-0.023231,-0.035615,-0.010572,0.015320,,,,
150,H1 distance,B1 argmax,distance,0.114699,0.104308,12,65,0.010391,-0.028022,0.057589,0.536109,1.000000,0.819932,1.000000,0.686079
150,H2 dispersion,B1 argmax,ratio_entropie,0.672458,0.689480,12,65,-0.017022,-0.193346,0.140625,0.831363,1.000000,0.954352,1.000000,0.929261
150,H4 desirabilite,B1 argmax,ecart_desirabilite,0.020139,0.027610,10,46,-0.007471,-0.078640,0.053523,0.820044,1.000000,0.954352,1.000000,0.951061
150,descriptif investiguer,B1 argmax,distance,0.085197,0.104308,13,65,-0.019111,-0.043009,0.006616,0.191296,,,,
150,H1 distance,B2 argmax,distance,0.149421,0.135744,12,65,0.013678,-0.036124,0.073791,0.580528,1.000000,0.838541,1.000000,0.686079
150,H2 dispersion,B2 argmax,ratio_entropie,0.556673,0.564591,12,65,-0.007917,-0.188817,0.165366,0.929261,1.000000,0.954352,1.000000,0.929261
150,H4 desirabilite,B2 argmax,ecart_desirabilite,0.063139,0.033481,10,46,0.029658,-0.056162,0.119338,0.496110,1.000000,0.810844,1.000000,0.921347
150,descriptif investiguer,B2 argmax,distance,0.125530,0.135744,13,65,-0.010214,-0.045316,0.025394,0.647107,,,,
