hypothese,condition,p,statistique,p_holm_famille_complete,p_bh_famille_complete,p_holm_sous_famille,p_bh_sous_famille
H1 distance,B0 mode,0.639447,-0.019952,1.000000,0.852596,1.000000,0.692734
H2 dispersion,B0 mode,0.078958,0.066535,1.000000,0.380290,0.789584,0.233839
H4 desirabilite,B0 mode,0.774705,-0.020951,1.000000,0.954352,1.000000,0.951061
H1 distance,B0 tirage,0.479650,-0.007122,1.000000,0.810844,1.000000,0.686079
H2 dispersion,B0 tirage,0.637807,-0.015114,1.000000,0.852596,1.000000,0.829149
H4 desirabilite,B0 tirage,0.424652,-0.012000,1.000000,0.794358,1.000000,0.921347
H1 distance,B1 argmax,0.536109,0.010391,1.000000,0.819932,1.000000,0.686079
H2 dispersion,B1 argmax,0.831363,-0.017022,1.000000,0.954352,1.000000,0.929261
H4 desirabilite,B1 argmax,0.820044,-0.007471,1.000000,0.954352,1.000000,0.951061
H1 distance,B2 argmax,0.580528,0.013678,1.000000,0.838541,1.000000,0.686079
H2 dispersion,B2 argmax,0.929261,-0.007917,1.000000,0.954352,1.000000,0.929261
H4 desirabilite,B2 argmax,0.496110,0.029658,1.000000,0.810844,1.000000,0.921347
H1 distance,B3 foret,0.913922,0.002728,1.000000,0.954352,1.000000,0.913922
H2 dispersion,B3 foret,0.621088,0.049497,1.000000,0.852596,1.000000,0.829149
H4 desirabilite,B3 foret,0.946361,-0.003024,1.000000,0.954352,1.000000,0.951061
H1 distance,C2,0.458331,0.036124,1.000000,0.810844,1.000000,0.686079
H2 dispersion,C2,0.232335,0.165541,1.000000,0.549156,1.000000,0.431480
H4 desirabilite,C2,0.004260,-0.207239,0.208736,0.055379,0.055379,0.055379
H1 distance,C3,0.399292,0.044530,1.000000,0.794358,1.000000,0.686079
H2 dispersion,C3,0.304394,0.143689,1.000000,0.659520,1.000000,0.494640
H4 desirabilite,C3,0.132857,-0.130876,1.000000,0.449908,1.000000,0.507835
H1 distance,agents composite,0.011240,0.055321,0.528269,0.097411,0.134877,0.072192
H2 dispersion,agents composite,0.882442,0.009967,1.000000,0.954352,1.000000,0.929261
H4 desirabilite,agents composite,0.427731,-0.021718,1.000000,0.794358,1.000000,0.921347
H1 distance,agents demographiques (v6),0.169997,0.045043,1.000000,0.449908,1.000000,0.413478
H2 dispersion,agents demographiques (v6),0.154557,-0.146922,1.000000,0.449908,1.000000,0.334873
H4 desirabilite,agents demographiques (v6),0.660187,-0.022465,1.000000,0.858243,1.000000,0.951061
H1 distance,agents enquete,0.016660,0.049962,0.766345,0.123758,0.183256,0.072192
H2 dispersion,agents enquete,0.004080,-0.232058,0.203996,0.055379,0.048959,0.026519
H4 desirabilite,agents enquete,0.727705,-0.011610,1.000000,0.922943,1.000000,0.951061
H1 distance,agents entretien (v3),0.002820,0.074271,0.143817,0.055379,0.036659,0.036659
H2 dispersion,agents entretien (v3),0.001040,-0.278700,0.054079,0.054079,0.013520,0.013520
H4 desirabilite,agents entretien (v3),0.951061,0.002159,1.000000,0.954352,1.000000,0.951061
H1 distance,agents v7,0.190836,0.038430,1.000000,0.472547,1.000000,0.413478
H2 dispersion,agents v7,0.089938,-0.139506,1.000000,0.389732,0.809444,0.233839
H4 desirabilite,agents v7,0.122078,-0.072496,1.000000,0.449908,1.000000,0.507835
H1 distance,agents v8,0.051719,0.058923,1.000000,0.315451,0.517190,0.168087
H2 dispersion,agents v8,0.010900,-0.272733,0.523190,0.097411,0.119898,0.047232
H4 desirabilite,agents v8,0.156257,-0.054223,1.000000,0.449908,1.000000,0.507835
H3 continu,B0 mode,0.559222,0.061090,1.000000,0.830844,1.000000,0.726989
H3 continu,B0 tirage,0.054597,-0.202244,1.000000,0.315451,0.709765,0.449908
H3 continu,B1 argmax,0.514574,-0.070271,1.000000,0.810844,1.000000,0.726989
H3 continu,B2 argmax,0.954352,0.006084,1.000000,0.954352,1.000000,0.954352
H3 continu,B3 foret,0.878056,-0.016011,1.000000,0.954352,1.000000,0.954352
H3 continu,C2,0.908555,0.012718,1.000000,0.954352,1.000000,0.954352
H3 continu,C3,0.276936,0.117381,1.000000,0.626117,1.000000,0.600028
H3 continu,agents composite,0.137993,0.159139,1.000000,0.449908,1.000000,0.449908
H3 continu,agents demographiques (v6),0.499975,0.071164,1.000000,0.810844,1.000000,0.726989
H3 continu,agents enquete,0.080446,0.186275,1.000000,0.380290,0.965352,0.449908
H3 continu,agents entretien (v3),0.151542,0.152186,1.000000,0.449908,1.000000,0.449908
H3 continu,agents v7,0.173041,0.144186,1.000000,0.449908,1.000000,0.449908
H3 continu,agents v8,0.358182,0.097485,1.000000,0.745019,1.000000,0.665195
