retrait,condition,metrique,moyenne_groupe,moyenne_temoin,n_groupe,n_temoin,difference,ic_items_bas,ic_items_haut,p_permutation
aucun,B0 mode,distance,0.264074,0.284026,12,65,-0.019952,-0.082970,0.044281,0.639236
aucun,B0 mode,ratio_entropie,0.085001,0.018466,12,65,0.066535,-0.029352,0.192783,0.078392
aucun,B0 tirage,distance,0.038356,0.045479,12,65,-0.007122,-0.022095,0.009404,0.483452
aucun,B0 tirage,ratio_entropie,0.966926,0.982040,12,65,-0.015114,-0.062501,0.036330,0.633737
aucun,B1 argmax,distance,0.114699,0.104308,12,65,0.010391,-0.028433,0.056945,0.539146
aucun,B1 argmax,ratio_entropie,0.672458,0.689480,12,65,-0.017022,-0.187482,0.137562,0.825117
aucun,B2 argmax,distance,0.149421,0.135744,12,65,0.013678,-0.035584,0.072548,0.579742
aucun,B2 argmax,ratio_entropie,0.556673,0.564591,12,65,-0.007917,-0.189096,0.162030,0.931207
aucun,B3 foret,distance,0.161574,0.158846,12,65,0.002728,-0.049936,0.059593,0.914509
aucun,B3 foret,ratio_entropie,0.505304,0.455807,12,65,0.049497,-0.151052,0.241729,0.612239
aucun,C2,distance,0.246227,0.210103,12,65,0.036124,-0.050076,0.133559,0.452955
aucun,C2,ratio_entropie,0.818609,0.653068,12,65,0.165541,-0.181129,0.649190,0.235976
aucun,C3,distance,0.254838,0.210308,12,65,0.044530,-0.048837,0.149735,0.407159
aucun,C3,ratio_entropie,0.836695,0.693007,12,65,0.143689,-0.149068,0.541504,0.298370
aucun,agents composite,distance,0.129882,0.074561,12,65,0.055321,0.002560,0.118790,0.010599
aucun,agents composite,ratio_entropie,0.928324,0.918357,12,65,0.009967,-0.208370,0.288001,0.879012
aucun,agents demographiques (v6),distance,0.196320,0.151278,12,65,0.045043,-0.023234,0.120547,0.166683
aucun,agents demographiques (v6),ratio_entropie,0.447540,0.594463,12,65,-0.146922,-0.341934,0.042719,0.147385
aucun,agents enquete,distance,0.144769,0.094807,12,65,0.049962,0.001715,0.110523,0.017198
aucun,agents enquete,ratio_entropie,0.654734,0.886792,12,65,-0.232058,-0.402623,-0.090657,0.004100
aucun,agents entretien (v3),distance,0.165337,0.091066,12,65,0.074271,0.011747,0.147046,0.004300
aucun,agents entretien (v3),ratio_entropie,0.606185,0.884885,12,65,-0.278700,-0.495169,-0.067258,0.001000
aucun,agents v7,distance,0.203748,0.165317,12,65,0.038430,-0.027446,0.109793,0.187281
aucun,agents v7,ratio_entropie,0.468193,0.607700,12,65,-0.139506,-0.301430,0.014736,0.090791
aucun,agents v8,distance,0.176385,0.117462,12,65,0.058923,-0.007778,0.137461,0.050095
aucun,agents v8,ratio_entropie,0.547159,0.819892,12,65,-0.272733,-0.503162,-0.044934,0.010999
aucun,humains vague 2,distance,0.022106,0.026735,12,65,-0.004629,-0.013777,0.006147,0.417058
aucun,humains vague 2,ratio_entropie,0.980810,1.003578,12,65,-0.022769,-0.051987,0.006173,0.287071
spkrac/y,B0 mode,distance,0.248081,0.284026,11,65,-0.035945,-0.098549,0.024631,0.408759
spkrac/y,B0 mode,ratio_entropie,0.092728,0.018466,11,65,0.074262,-0.029595,0.210652,0.060194
spkrac/y,B0 tirage,distance,0.038207,0.045479,11,65,-0.007272,-0.023184,0.010693,0.486151
spkrac/y,B0 tirage,ratio_entropie,0.963073,0.982040,11,65,-0.018967,-0.068620,0.035167,0.552745
spkrac/y,B1 argmax,distance,0.119672,0.104308,11,65,0.015364,-0.025740,0.063980,0.386761
spkrac/y,B1 argmax,ratio_entropie,0.645565,0.689480,11,65,-0.043915,-0.221246,0.115146,0.593441
spkrac/y,B2 argmax,distance,0.152096,0.135744,11,65,0.016352,-0.037702,0.079971,0.531847
spkrac/y,B2 argmax,ratio_entropie,0.524161,0.564591,11,65,-0.040430,-0.223497,0.136386,0.661934
spkrac/y,B3 foret,distance,0.158081,0.158846,11,65,-0.000765,-0.055394,0.060544,0.977002
spkrac/y,B3 foret,ratio_entropie,0.478118,0.455807,11,65,0.022310,-0.183004,0.224230,0.825017
spkrac/y,C2,distance,0.228611,0.210103,11,65,0.018509,-0.068494,0.118324,0.717128
spkrac/y,C2,ratio_entropie,0.893028,0.653068,11,65,0.239960,-0.100869,0.726867,0.103990
spkrac/y,C3,distance,0.263460,0.210308,11,65,0.053152,-0.046333,0.165182,0.336366
spkrac/y,C3,ratio_entropie,0.823553,0.693007,11,65,0.130546,-0.175430,0.577469,0.370563
spkrac/y,agents composite,distance,0.141083,0.074561,11,65,0.066523,0.014202,0.132067,0.004300
spkrac/y,agents composite,ratio_entropie,0.921608,0.918357,11,65,0.003251,-0.233877,0.302490,0.961104
spkrac/y,agents demographiques (v6),distance,0.174774,0.151278,11,65,0.023496,-0.036734,0.092182,0.476052
