perimetre,condition,rho_spearman,ic_items_bas,ic_items_haut,n_items
150,B0 mode,0.039495,-0.086618,0.167433,146
150,B0 tirage,0.121205,-0.059920,0.297063,146
150,B1 argmax,0.068443,-0.095957,0.231372,146
150,B2 argmax,0.332952,0.169304,0.480322,146
150,B3 foret,0.246870,0.095998,0.390686,146
150,C2,0.030549,-0.133558,0.198914,146
150,C3,0.080020,-0.093699,0.240307,146
150,agents composite,0.023697,-0.155701,0.197323,146
150,agents demographiques (v6),0.144775,-0.025011,0.309422,146
150,agents enquete,0.115349,-0.055047,0.279693,146
150,agents entretien (v3),0.027753,-0.145106,0.191757,146
150,agents v7,-0.055663,-0.224248,0.138695,146
150,agents v8,-0.042640,-0.191720,0.110904,146
150,humains vague 2,-0.207824,-0.371399,-0.035893,146
1052,B0 mode,0.114246,-0.037783,0.254250,144
1052,B0 tirage,0.573507,0.418196,0.695316,144
1052,B1 argmax,-0.100647,-0.260006,0.056214,144
1052,B2 argmax,0.134515,-0.035259,0.307839,144
1052,B3 foret,0.032763,-0.135303,0.185380,144
1052,agents composite,0.026698,-0.136083,0.179426,144
1052,agents demographiques (v6),0.123650,-0.051873,0.281227,144
1052,agents enquete,0.084282,-0.077982,0.235182,144
1052,agents entretien (v3),-0.095784,-0.261213,0.065764,144
1052,agents v7,0.038759,-0.134965,0.208133,144
1052,agents v8,0.004144,-0.173325,0.172367,144
1052,humains vague 2,0.074801,-0.091656,0.238338,144
