axe,condition,item,n_cellules,gs_intra_humain,gs_total_humain,part_expliquee_humaine,nmi_humaine,gs_intra_methode,ratio_intra,item_retenu,perimetre
gender,agents composite,natspac/y,150,0.606532,0.617718,0.018109,0.023608,0.587534,0.968678,True,150
gender,agents composite,natenvir/y,150,0.513315,0.514004,0.001342,0.011804,0.624143,1.215908,True,150
gender,agents composite,natheal/y,150,0.466405,0.469172,0.005899,0.002036,0.383276,0.821767,True,150
gender,agents composite,natcity/y,150,0.593856,0.598031,0.006982,0.011667,0.658071,1.108132,True,150
gender,agents composite,natdrug/y,150,0.549358,0.555168,0.010465,0.015559,0.446334,0.812465,True,150
gender,agents composite,nateduc/y,150,0.472470,0.475078,0.005491,0.003569,0.451035,0.954633,True,150
gender,agents composite,natrace/y,149,0.632618,0.635078,0.003874,0.004806,0.609585,0.963591,True,150
gender,agents composite,natarms/y,150,0.643754,0.639911,-0.006006,-0.005566,0.607491,0.943669,True,150
gender,agents composite,nataid/y,150,0.463019,0.463803,0.001691,-0.001807,0.469071,1.013072,True,150
gender,agents composite,natfare/y,150,0.443163,0.454139,0.024167,0.029917,0.552470,1.246650,True,150
gender,agents composite,natroad,150,0.541432,0.540582,-0.001573,-0.004395,0.527597,0.974447,True,150
gender,agents composite,natsoc,150,0.468132,0.467562,-0.001221,-0.003033,0.508268,1.085736,True,150
gender,agents composite,natmass,150,0.548607,0.563400,0.026258,0.014791,0.577782,1.053180,True,150
gender,agents composite,natpark,150,0.516743,0.519642,0.005580,0.024447,0.555621,1.075237,True,150
gender,agents composite,natchld,150,0.528079,0.548367,0.036997,0.024918,0.526641,0.997276,True,150
gender,agents composite,natsci,150,0.560870,0.559105,-0.003156,-0.004102,0.625525,1.115276,True,150
gender,agents composite,natenrgy,150,0.621188,0.618434,-0.004452,-0.003503,0.516861,0.832054,True,150
gender,agents composite,uswary,150,0.504751,0.501924,-0.005633,-0.003995,0.192722,0.381815,True,150
gender,agents composite,prayer,150,0.443420,0.442864,-0.001258,-0.000993,0.297606,0.671161,True,150
gender,agents composite,courts,150,0.639231,0.640447,0.001899,0.002483,0.638596,0.999006,True,150
gender,agents composite,discaffw,150,0.677897,0.699866,0.031390,0.059142,0.535753,0.790316,True,150
gender,agents composite,discaffm,150,0.695607,0.699329,0.005322,0.012773,0.585085,0.841114,True,150
gender,agents composite,fehire,150,0.746165,0.771991,0.033454,0.046930,0.712885,0.955398,True,150
gender,agents composite,fechld,150,0.611974,0.631051,0.030231,0.027039,0.596780,0.975172,True,150
gender,agents composite,fepresch,150,0.671271,0.677494,0.009186,0.018297,0.660770,0.984356,True,150
gender,agents composite,fefam,150,0.691070,0.698613,0.010798,0.009424,0.671222,0.971279,True,150
gender,agents composite,fepol,150,0.337359,0.352931,0.044120,0.041133,0.312722,0.926969,True,150
gender,agents composite,mobile16,150,0.662067,0.662998,0.001403,0.001438,0.661786,0.999574,True,150
gender,agents composite,incom16,150,0.645783,0.645280,-0.000780,0.009058,0.588313,0.911007,True,150
gender,agents composite,dwelown16,150,0.414023,0.411991,-0.004932,-0.007202,0.511086,1.234438,True,150
gender,agents composite,divorced,150,0.408643,0.422819,0.033528,0.027807,0.401574,0.982703,True,150
gender,agents composite,posslq/y,150,0.644948,0.663535,0.028012,0.025238,0.650088,1.007971,True,150
gender,agents composite,wrkstat,150,0.749094,0.767517,0.024004,0.027258,0.779438,1.040508,True,150
gender,agents composite,evwork,150,0.191560,0.191857,0.001547,0.002108,0.181440,0.947168,True,150
gender,agents composite,wrkgovt1,150,0.272376,0.270604,-0.006547,-0.007232,0.298763,1.096879,True,150
gender,agents composite,wrkgovt2,150,0.435067,0.433199,-0.004312,-0.003433,0.389761,0.895864,True,150
gender,agents composite,partfull,150,0.590270,0.611275,0.034363,0.025507,0.635606,1.076805,True,150
gender,agents composite,wksub1,150,0.616986,0.631409,0.022843,0.020704,0.644547,1.044671,True,150
gender,agents composite,wksup1,150,0.611119,0.630604,0.030899,0.038004,0.595223,0.973988,True,150
gender,agents composite,conarmy,150,0.564720,0.563758,-0.001706,-0.001466,0.505461,0.895063,True,150
gender,agents composite,conbus,150,0.561095,0.568501,0.013028,0.024425,0.403888,0.719820,True,150
gender,agents composite,conclerg,150,0.592994,0.589530,-0.005875,-0.005655,0.645758,1.088981,True,150
gender,agents composite,coneduc,150,0.601218,0.600179,-0.001732,-0.002431,0.206334,0.343194,True,150
gender,agents composite,confed,150,0.608885,0.610380,0.002450,0.004998,0.497040,0.816313,True,150
gender,agents composite,confinan,150,0.560887,0.560984,0.000173,0.002939,0.444036,0.791667,True,150
gender,agents composite,conjudge,150,0.629047,0.646711,0.027315,0.028775,0.416435,0.662010,True,150
gender,agents composite,conlabor,150,0.577013,0.579060,0.003535,0.002816,0.420127,0.728107,True,150
gender,agents composite,conlegis,150,0.576741,0.580940,0.007227,0.015149,0.395710,0.686113,True,150
gender,agents composite,conmedic,150,0.561686,0.578166,0.028504,0.016893,0.473621,0.843214,True,150
gender,agents composite,conpress,150,0.578768,0.591320,0.021227,0.028527,0.505910,0.874116,True,150
gender,agents composite,consci,150,0.577424,0.574228,-0.005565,-0.005955,0.525158,0.909485,True,150
gender,agents composite,contv,150,0.556940,0.554810,-0.003840,-0.002043,0.489873,0.879580,True,150
gender,agents composite,joblose,145,0.658820,0.670872,0.017966,0.021715,0.588162,0.892751,True,150
gender,agents composite,jobfind,149,0.687921,0.703714,0.022442,0.016480,0.626637,0.910914,True,150
gender,agents composite,happy,150,0.580110,0.581924,0.003117,0.004217,0.380846,0.656507,True,150
gender,agents composite,hapmar,150,0.520912,0.528591,0.014527,0.014221,0.518932,0.996200,True,150
gender,agents composite,satjob,150,0.704489,0.707919,0.004845,0.000895,0.679963,0.965186,True,150
gender,agents composite,spdeg*,150,0.605113,0.613870,0.014265,0.014179,0.542127,0.895909,True,150
gender,agents composite,spjew,150,0.445914,0.454049,0.017917,0.027826,0.000000,0.000000,True,150
gender,agents composite,spfund,150,0.411744,0.415213,0.008353,0.007774,0.353176,0.857757,True,150
gender,agents composite,unemp,150,0.491060,0.490470,-0.001203,-0.000857,0.393871,0.802084,True,150
gender,agents composite,union1,150,0.089891,0.090470,0.006402,0.012806,0.089730,0.998213,True,150
gender,agents composite,spkath/y,150,0.354946,0.352931,-0.005710,-0.005159,0.381573,1.075017,True,150
gender,agents composite,colath,150,0.396347,0.393736,-0.006632,-0.005589,0.394340,0.994937,True,150
gender,agents composite,spkrac/y,150,0.496272,0.496107,-0.000332,-0.000185,0.500154,1.007824,True,150
gender,agents composite,colrac,150,0.379561,0.380850,0.003384,0.003108,0.467888,1.232706,True,150
gender,agents composite,librac/y,150,0.495261,0.494407,-0.001727,-0.001228,0.422759,0.853609,True,150
gender,agents composite,spkcom/y,150,0.420043,0.417360,-0.006429,-0.005186,0.347766,0.827930,True,150
gender,agents composite,colcom/y,150,0.395428,0.393736,-0.004297,-0.003681,0.290353,0.734275,True,150
gender,agents composite,libcom/y,150,0.347074,0.345503,-0.004547,-0.004124,0.323188,0.931178,True,150
gender,agents composite,spkhomo/y,150,0.148172,0.148188,0.000109,0.000927,0.181766,1.226724,True,150
gender,agents composite,colhomo,150,0.125252,0.125280,0.000222,0.001402,0.363497,2.902131,True,150
gender,agents composite,libhomo/y,150,0.241357,0.242416,0.004370,0.005704,0.309667,1.283026,True,150
gender,agents composite,cappun,150,0.504912,0.502550,-0.004699,-0.003325,0.490924,0.972296,True,150
gender,agents composite,polhitok/y,150,0.464220,0.467562,0.007147,0.005414,0.439404,0.946544,True,150
gender,agents composite,polabuse/y,150,0.111063,0.113557,0.021960,0.051314,0.312175,2.810788,True,150
gender,agents composite,polattak/y,150,0.485566,0.483221,-0.004851,-0.003508,0.302898,0.623804,True,150
gender,agents composite,grass,150,0.395428,0.393736,-0.004297,-0.003681,0.454759,1.150044,True,150
gender,agents composite,gunlaw,150,0.434069,0.451812,0.039272,0.030465,0.487320,1.122681,True,150
gender,agents composite,owngun,150,0.345651,0.345503,-0.000427,-0.000225,0.354983,1.026999,True,150
gender,agents composite,hunt1,150,0.148814,0.151678,0.018879,0.161014,0.013333,0.089597,True,150
gender,agents composite,class,150,0.644402,0.652796,0.012860,0.018848,0.605880,0.940220,True,150
gender,agents composite,satfin,150,0.650523,0.653333,0.004301,0.005889,0.650335,0.999711,True,150
gender,agents composite,finalter,150,0.650064,0.665145,0.022674,0.023110,0.552887,0.850512,True,150
gender,agents composite,finrela,150,0.714019,0.719105,0.007073,0.024195,0.729107,1.021131,True,150
gender,agents composite,racdif1,150,0.493746,0.496107,0.004760,0.003492,0.481777,0.975759,True,150
gender,agents composite,racdif2,150,0.112882,0.113557,0.005942,0.014380,0.101600,0.900055,True,150
gender,agents composite,racdif3,150,0.495847,0.503266,0.014743,0.010600,0.486085,0.980312,True,150
gender,agents composite,racdif4,150,0.381548,0.393736,0.030954,0.026573,0.286389,0.750596,True,150
gender,agents composite,wlthwhts,150,0.603344,0.601342,-0.003328,0.002652,0.321305,0.532540,True,150
gender,agents composite,wlthblks,148,0.601394,0.612975,0.018894,0.037551,0.624258,1.038019,True,150
gender,agents composite,wlthhsps,150,0.628550,0.627651,-0.001432,0.007373,0.615019,0.978473,True,150
gender,agents composite,racwork,150,0.745065,0.748725,0.004888,0.007262,0.712336,0.956072,True,150
gender,agents composite,letin1a,150,0.732026,0.743535,0.015478,0.009828,0.631147,0.862193,True,150
gender,agents composite,getahead,150,0.551597,0.558300,0.012005,0.006609,0.443638,0.804279,True,150
gender,agents composite,aged,150,0.507964,0.506219,-0.003447,-0.005430,0.553999,1.090627,True,150
gender,agents composite,parsol,150,0.786756,0.786130,-0.000796,0.002520,0.731653,0.929962,True,150
gender,agents composite,kidssol,150,0.782725,0.791409,0.010974,0.010741,0.645618,0.824833,True,150
gender,agents composite,spanking,150,0.739944,0.745324,0.007218,0.007881,0.642914,0.868868,True,150
gender,agents composite,divlaw,150,0.602071,0.600716,-0.002256,-0.001567,0.530511,0.881143,True,150
gender,agents composite,sexeduc,150,0.249767,0.251991,0.008826,0.010837,0.253099,1.013338,True,150
gender,agents composite,pillok,150,0.699173,0.707204,0.011355,0.008293,0.726433,1.038989,True,150
gender,agents composite,xmarsex,150,0.623862,0.621387,-0.003982,0.004374,0.251435,0.403031,True,150
gender,agents composite,homosex,150,0.606922,0.606085,-0.001382,-0.004621,0.478737,0.788795,True,150
gender,agents composite,marhomo,150,0.680942,0.683400,0.003598,0.001083,0.714244,1.048906,True,150
gender,agents composite,discaff,150,0.574838,0.577092,0.003905,0.003979,0.542003,0.942879,True,150
gender,agents composite,abdefect,150,0.295718,0.297181,0.004923,0.005419,0.252609,0.854223,True,150
gender,agents composite,abnomore,150,0.452505,0.451812,-0.001535,-0.001096,0.460562,1.017805,True,150
gender,agents composite,abhlth,150,0.168685,0.170380,0.009953,0.016674,0.192850,1.143259,True,150
gender,agents composite,abpoor,150,0.435638,0.438121,0.005667,0.004576,0.460562,1.057213,True,150
gender,agents composite,abrape,150,0.192850,0.191857,-0.005178,-0.007195,0.223306,1.157922,True,150
gender,agents composite,absingle,150,0.465221,0.463893,-0.002863,-0.002091,0.428253,0.920538,True,150
gender,agents composite,abany,150,0.465221,0.463893,-0.002863,-0.002091,0.487320,1.047503,True,150
gender,agents composite,letdie1,150,0.332305,0.330112,-0.006644,-0.006361,0.381573,1.148261,True,150
gender,agents composite,suicide1,150,0.375624,0.374139,-0.003971,-0.003386,0.381536,1.015738,True,150
gender,agents composite,suicide2,150,0.395428,0.393736,-0.004297,-0.003681,0.148542,0.375650,True,150
gender,agents composite,suicide3,150,0.383219,0.380850,-0.006220,-0.005420,0.347766,0.907487,True,150
gender,agents composite,suicide4,150,0.457782,0.456018,-0.003868,-0.002961,0.480643,1.049938,True,150
gender,agents composite,pornlaw,149,0.494011,0.501924,0.015766,0.022172,0.139181,0.281737,True,150
gender,agents composite,fair,150,0.653492,0.661208,0.011670,0.010549,0.600863,0.919465,True,150
gender,agents composite,helpful,150,0.663095,0.666040,0.004421,0.003334,0.604231,0.911228,True,150
gender,agents composite,trust,150,0.618993,0.619329,0.000542,0.002229,0.597170,0.964745,True,150
gender,agents composite,tax,150,0.493032,0.489933,-0.006325,-0.006265,0.517281,1.049185,True,150
gender,agents composite,vote16,150,0.507154,0.527159,0.037949,0.031615,0.533600,1.052147,True,150
gender,agents composite,pres16,150,0.687708,0.697271,0.013714,0.011093,0.667228,0.970219,True,150
gender,agents composite,if16who,150,0.628120,0.630604,0.003939,0.001521,0.588421,0.936798,True,150
gender,agents composite,news,150,0.722867,0.739239,0.022148,0.025017,0.634546,0.877818,True,150
gender,agents composite,jew,150,0.465053,0.463445,-0.003469,0.000290,0.039036,0.083939,True,150
gender,agents composite,relig16*,150,0.748671,0.747293,-0.001844,0.001924,0.694317,0.927399,True,150
gender,agents composite,jew16*,150,0.433065,0.431499,-0.003630,0.008685,0.052691,0.121669,True,150
gender,agents composite,attend,150,0.749724,0.749172,-0.000736,0.012192,0.668884,0.892173,True,150
gender,agents composite,pray,150,0.784759,0.783893,-0.001105,-0.002423,0.768546,0.979341,True,150
gender,agents composite,postlife,150,0.417681,0.417360,-0.000768,-0.000514,0.441582,1.057223,True,150
gender,agents composite,bible,149,0.658207,0.654765,-0.005257,-0.004976,0.540142,0.820627,True,150
gender,agents composite,reborn,150,0.668194,0.665503,-0.004043,-0.003607,0.661180,0.989503,True,150
gender,agents composite,savesoul,150,0.450071,0.447427,-0.005909,-0.004574,0.474066,1.053314,True,150
gender,agents composite,granborn,150,0.624287,0.622371,-0.003077,0.003514,0.413296,0.662030,True,150
gender,agents composite,uscitzn*,150,0.026345,0.026488,0.005373,0.105223,0.026345,,False,150
gender,agents composite,fucitzn,150,0.052851,0.052707,-0.002741,0.028303,0.026506,0.501520,True,150
gender,agents composite,mnthsusa,149,0.026345,0.026488,0.005373,0.105223,0.211748,,False,150
gender,agents composite,income,150,0.734821,0.740492,0.007658,0.009624,0.627712,0.854238,True,150
gender,agents composite,othlang,150,0.388802,0.387383,-0.003664,-0.003040,0.334660,0.860748,True,150
gender,agents composite,health,150,0.646228,0.645817,-0.000637,-0.002410,0.631508,0.977222,True,150
gender,agents composite,compuse*,150,0.052602,0.052260,-0.006550,-0.024821,0.013333,0.253477,True,150
gender,agents composite,webmob,150,0.076787,0.077315,0.006833,0.021584,0.013333,0.173640,True,150
gender,agents composite,xmovie,150,0.465634,0.480447,0.030833,0.022886,0.347074,0.745381,True,150
gender,agents composite,usewww*,150,0.026345,0.026488,0.005373,0.105223,0.000000,,False,150
gender,agents composite,life,150,0.496287,0.513020,0.032618,0.022940,0.343597,0.692336,True,150
gender,agents composite,richwork,150,0.496064,0.496107,0.000087,0.000086,0.408494,0.823471,True,150
gender,agents entretien (v3),natspac/y,150,0.606532,0.617718,0.018109,0.023608,0.172822,0.284934,True,150
gender,agents entretien (v3),natenvir/y,150,0.513315,0.514004,0.001342,0.011804,0.630572,1.228430,True,150
gender,agents entretien (v3),natheal/y,150,0.466405,0.469172,0.005899,0.002036,0.456099,0.977904,True,150
gender,agents entretien (v3),natcity/y,150,0.593856,0.598031,0.006982,0.011667,0.644750,1.085701,True,150
gender,agents entretien (v3),natdrug/y,150,0.549358,0.555168,0.010465,0.015559,0.539381,0.981839,True,150
gender,agents entretien (v3),nateduc/y,150,0.472470,0.475078,0.005491,0.003569,0.417977,0.884665,True,150
gender,agents entretien (v3),natrace/y,150,0.632618,0.635078,0.003874,0.004806,0.624042,0.986444,True,150
gender,agents entretien (v3),natarms/y,150,0.643754,0.639911,-0.006006,-0.005566,0.586674,0.911333,True,150
gender,agents entretien (v3),nataid/y,150,0.463019,0.463803,0.001691,-0.001807,0.294394,0.635813,True,150
gender,agents entretien (v3),natfare/y,150,0.443163,0.454139,0.024167,0.029917,0.508958,1.148465,True,150
gender,agents entretien (v3),natroad,150,0.541432,0.540582,-0.001573,-0.004395,0.367409,0.678588,True,150
gender,agents entretien (v3),natsoc,150,0.468132,0.467562,-0.001221,-0.003033,0.520082,1.110972,True,150
gender,agents entretien (v3),natmass,150,0.548607,0.563400,0.026258,0.014791,0.630707,1.149653,True,150
gender,agents entretien (v3),natpark,150,0.516743,0.519642,0.005580,0.024447,0.558141,1.080115,True,150
gender,agents entretien (v3),natchld,150,0.528079,0.548367,0.036997,0.024918,0.594511,1.125799,True,150
gender,agents entretien (v3),natsci,150,0.560870,0.559105,-0.003156,-0.004102,0.655849,1.169343,True,150
gender,agents entretien (v3),natenrgy,150,0.621188,0.618434,-0.004452,-0.003503,0.621452,1.000426,True,150
gender,agents entretien (v3),uswary,150,0.504751,0.501924,-0.005633,-0.003995,0.159306,0.315612,True,150
gender,agents entretien (v3),prayer,150,0.443420,0.442864,-0.001258,-0.000993,0.414505,0.934790,True,150
gender,agents entretien (v3),courts,150,0.639231,0.640447,0.001899,0.002483,0.654305,1.023580,True,150
gender,agents entretien (v3),discaffw,150,0.677897,0.699866,0.031390,0.059142,0.542460,0.800211,True,150
gender,agents entretien (v3),discaffm,150,0.695607,0.699329,0.005322,0.012773,0.663661,0.954075,True,150
gender,agents entretien (v3),fehire,150,0.746165,0.771991,0.033454,0.046930,0.743362,0.996244,True,150
gender,agents entretien (v3),fechld,150,0.611974,0.631051,0.030231,0.027039,0.602625,0.984723,True,150
gender,agents entretien (v3),fepresch,150,0.671271,0.677494,0.009186,0.018297,0.667010,0.993653,True,150
gender,agents entretien (v3),fefam,150,0.691070,0.698613,0.010798,0.009424,0.685024,0.991253,True,150
gender,agents entretien (v3),fepol,150,0.337359,0.352931,0.044120,0.041133,0.159268,0.472103,True,150
gender,agents entretien (v3),mobile16,150,0.662067,0.662998,0.001403,0.001438,0.651487,0.984020,True,150
gender,agents entretien (v3),incom16,150,0.645783,0.645280,-0.000780,0.009058,0.635084,0.983433,True,150
gender,agents entretien (v3),dwelown16,149,0.414023,0.411991,-0.004932,-0.007202,0.463342,1.119121,True,150
gender,agents entretien (v3),divorced,149,0.408643,0.422819,0.033528,0.027807,0.391334,0.957643,True,150
gender,agents entretien (v3),posslq/y,149,0.644948,0.663535,0.028012,0.025238,0.661953,1.026367,True,150
gender,agents entretien (v3),wrkstat,149,0.749094,0.767517,0.024004,0.027258,0.767827,1.025008,True,150
gender,agents entretien (v3),evwork,150,0.191560,0.191857,0.001547,0.002108,0.136440,0.712256,True,150
gender,agents entretien (v3),wrkgovt1,150,0.272376,0.270604,-0.006547,-0.007232,0.299188,1.098439,True,150
gender,agents entretien (v3),wrkgovt2,150,0.435067,0.433199,-0.004312,-0.003433,0.269959,0.620499,True,150
gender,agents entretien (v3),partfull,150,0.590270,0.611275,0.034363,0.025507,0.624707,1.058341,True,150
gender,agents entretien (v3),wksub1,150,0.616986,0.631409,0.022843,0.020704,0.647921,1.050139,True,150
gender,agents entretien (v3),wksup1,150,0.611119,0.630604,0.030899,0.038004,0.584299,0.956113,True,150
gender,agents entretien (v3),conarmy,150,0.564720,0.563758,-0.001706,-0.001466,0.553463,0.980066,True,150
gender,agents entretien (v3),conbus,150,0.561095,0.568501,0.013028,0.024425,0.440032,0.784238,True,150
gender,agents entretien (v3),conclerg,150,0.592994,0.589530,-0.005875,-0.005655,0.660019,1.113028,True,150
gender,agents entretien (v3),coneduc,150,0.601218,0.600179,-0.001732,-0.002431,0.268513,0.446614,True,150
gender,agents entretien (v3),confed,150,0.608885,0.610380,0.002450,0.004998,0.353285,0.580217,True,150
gender,agents entretien (v3),confinan,150,0.560887,0.560984,0.000173,0.002939,0.460444,0.820920,True,150
gender,agents entretien (v3),conjudge,150,0.629047,0.646711,0.027315,0.028775,0.570177,0.906415,True,150
gender,agents entretien (v3),conlabor,150,0.577013,0.579060,0.003535,0.002816,0.477103,0.826850,True,150
gender,agents entretien (v3),conlegis,150,0.576741,0.580940,0.007227,0.015149,0.272376,0.472267,True,150
gender,agents entretien (v3),conmedic,150,0.561686,0.578166,0.028504,0.016893,0.540646,0.962543,True,150
gender,agents entretien (v3),conpress,150,0.578768,0.591320,0.021227,0.028527,0.512751,0.885936,True,150
gender,agents entretien (v3),consci,149,0.577424,0.574228,-0.005565,-0.005955,0.546513,0.946468,True,150
gender,agents entretien (v3),contv,149,0.556940,0.554810,-0.003840,-0.002043,0.487543,0.875395,True,150
gender,agents entretien (v3),joblose,145,0.658820,0.670872,0.017966,0.021715,0.587652,0.891976,True,150
