perimetre,axe,condition,mesure_x,rho_spearman,ic_items_bas,ic_items_haut,n_items,p_permutation,ratio_intra_median,ratio_intra_moyen,p_holm,p_bh
1052,age,B0 mode,part expliquee Gini Simpson,0.071748,-0.094836,0.210249,143,0.395560,0.000000,0.031942,,
1052,age,B0 mode,information mutuelle normalisee,0.085514,-0.068401,0.206468,143,0.313169,0.000000,0.031942,,
1052,age,B0 tirage,part expliquee Gini Simpson,0.572158,0.411875,0.701747,143,0.000100,1.016822,1.020293,,
1052,age,B0 tirage,information mutuelle normalisee,0.547084,0.395595,0.675840,143,0.000100,1.016822,1.020293,,
1052,age,B1 argmax,part expliquee Gini Simpson,0.148179,-0.023260,0.313347,143,0.076492,0.698137,0.645556,,
1052,age,B1 argmax,information mutuelle normalisee,0.091480,-0.071837,0.249134,143,0.275972,0.698137,0.645556,,
1052,age,B2 argmax,part expliquee Gini Simpson,0.185567,0.032843,0.342497,143,0.027297,0.628124,0.542616,,
1052,age,B2 argmax,information mutuelle normalisee,0.101612,-0.057579,0.256084,143,0.228377,0.628124,0.542616,,
1052,age,B3 foret,part expliquee Gini Simpson,0.200216,0.046992,0.357496,143,0.016498,0.451033,0.429607,,
1052,age,B3 foret,information mutuelle normalisee,0.138664,-0.031716,0.287656,143,0.101390,0.451033,0.429607,,
1052,age,agents composite,part expliquee Gini Simpson,-0.027237,-0.188037,0.142529,143,0.742526,0.948131,0.925558,,
1052,age,agents composite,information mutuelle normalisee,-0.026659,-0.181492,0.126704,143,0.754225,0.948131,0.925558,,
1052,age,agents demographiques (v6),part expliquee Gini Simpson,0.146130,-0.012457,0.320496,143,0.076192,0.673451,0.604016,,
1052,age,agents demographiques (v6),information mutuelle normalisee,0.119647,-0.048984,0.289085,143,0.151385,0.673451,0.604016,,
1052,age,agents enquete,part expliquee Gini Simpson,-0.030960,-0.203847,0.134840,143,0.717928,0.899950,0.878755,,
1052,age,agents enquete,information mutuelle normalisee,-0.080621,-0.237565,0.082856,143,0.338966,0.899950,0.878755,,
1052,age,agents entretien (v3),part expliquee Gini Simpson,0.028095,-0.131869,0.194194,143,0.739726,0.934641,0.845522,,
1052,age,agents entretien (v3),information mutuelle normalisee,0.025973,-0.137687,0.184493,143,0.756024,0.934641,0.845522,,
1052,age,agents v7,part expliquee Gini Simpson,0.315498,0.162546,0.456275,143,0.000300,0.600058,0.591700,,
1052,age,agents v7,information mutuelle normalisee,0.331815,0.183927,0.469041,143,0.000100,0.600058,0.591700,,
1052,age,agents v8,part expliquee Gini Simpson,-0.178827,-0.332765,-0.015776,143,0.034597,0.880937,0.799874,,
1052,age,agents v8,information mutuelle normalisee,-0.167000,-0.335352,0.004903,143,0.048295,0.880937,0.799874,,
1052,age,humains vague 2,part expliquee Gini Simpson,0.008918,-0.160159,0.179665,143,0.915908,1.001667,1.007433,,
1052,age,humains vague 2,information mutuelle normalisee,0.056970,-0.111446,0.213488,143,0.494751,1.001667,1.007433,,
1052,education,B0 mode,part expliquee Gini Simpson,-0.054849,-0.201414,0.103311,143,0.516148,0.000000,0.031412,,
1052,education,B0 mode,information mutuelle normalisee,-0.065493,-0.219354,0.108362,143,0.443056,0.000000,0.031412,,
1052,education,B0 tirage,part expliquee Gini Simpson,0.559001,0.426008,0.672349,143,0.000100,1.007140,1.007767,,
1052,education,B0 tirage,information mutuelle normalisee,0.538860,0.397140,0.654434,143,0.000100,1.007140,1.007767,,
1052,education,B1 argmax,part expliquee Gini Simpson,0.081942,-0.074509,0.247127,143,0.326667,0.741716,0.662785,,
1052,education,B1 argmax,information mutuelle normalisee,0.049205,-0.120499,0.219224,143,0.549245,0.741716,0.662785,,
1052,education,B2 argmax,part expliquee Gini Simpson,0.036500,-0.135778,0.219122,143,0.667933,0.632153,0.546566,,
1052,education,B2 argmax,information mutuelle normalisee,-0.003419,-0.182727,0.173822,143,0.968103,0.632153,0.546566,,
1052,education,B3 foret,part expliquee Gini Simpson,0.101510,-0.062212,0.267575,143,0.222478,0.486350,0.438878,,
1052,education,B3 foret,information mutuelle normalisee,0.068361,-0.097756,0.226358,143,0.422058,0.486350,0.438878,,
1052,education,agents composite,part expliquee Gini Simpson,-0.042245,-0.198457,0.119640,143,0.618038,0.948404,0.927387,,
1052,education,agents composite,information mutuelle normalisee,-0.038581,-0.191433,0.121632,143,0.655034,0.948404,0.927387,,
1052,education,agents demographiques (v6),part expliquee Gini Simpson,0.100379,-0.064499,0.268367,143,0.232277,0.624335,0.585650,,
1052,education,agents demographiques (v6),information mutuelle normalisee,0.107097,-0.059023,0.269464,143,0.198980,0.624335,0.585650,,
1052,education,agents enquete,part expliquee Gini Simpson,-0.088036,-0.243308,0.075248,143,0.298170,0.900248,0.876800,,
1052,education,agents enquete,information mutuelle normalisee,-0.080104,-0.243164,0.090229,143,0.340166,0.900248,0.876800,,
1052,education,agents entretien (v3),part expliquee Gini Simpson,0.037358,-0.123317,0.212127,143,0.653635,0.942784,0.849114,,
1052,education,agents entretien (v3),information mutuelle normalisee,0.037276,-0.122423,0.200893,143,0.653135,0.942784,0.849114,,
1052,education,agents v7,part expliquee Gini Simpson,0.317774,0.163955,0.453423,143,0.000100,0.605392,0.591171,,
1052,education,agents v7,information mutuelle normalisee,0.303256,0.149269,0.446311,143,0.000300,0.605392,0.591171,,
1052,education,agents v8,part expliquee Gini Simpson,-0.293375,-0.450890,-0.143180,143,0.000700,0.916061,0.850491,,
1052,education,agents v8,information mutuelle normalisee,-0.319377,-0.469263,-0.161679,143,0.000200,0.916061,0.850491,,
1052,education,humains vague 2,part expliquee Gini Simpson,-0.032700,-0.196232,0.132286,143,0.700830,1.002345,1.006721,,
1052,education,humains vague 2,information mutuelle normalisee,-0.047137,-0.212745,0.119755,143,0.577342,1.002345,1.006721,,
1052,gender,B0 mode,part expliquee Gini Simpson,0.108111,-0.010187,0.220902,143,0.202280,0.000000,0.031379,,
1052,gender,B0 mode,information mutuelle normalisee,0.059609,-0.087920,0.199437,143,0.486151,0.000000,0.031379,,
1052,gender,B0 tirage,part expliquee Gini Simpson,0.352248,0.181356,0.505205,143,0.000100,1.003162,1.003301,,
1052,gender,B0 tirage,information mutuelle normalisee,0.343548,0.165645,0.505581,143,0.000100,1.003162,1.003301,,
1052,gender,B1 argmax,part expliquee Gini Simpson,0.228537,0.064888,0.383105,143,0.006599,0.765595,0.673545,,
1052,gender,B1 argmax,information mutuelle normalisee,0.161516,-0.008304,0.323428,143,0.051795,0.765595,0.673545,,
1052,gender,B2 argmax,part expliquee Gini Simpson,0.162029,0.000178,0.321206,143,0.050595,0.630305,0.548528,,
1052,gender,B2 argmax,information mutuelle normalisee,0.094585,-0.061855,0.260032,143,0.256774,0.630305,0.548528,,
1052,gender,B3 foret,part expliquee Gini Simpson,0.191322,0.040955,0.347218,143,0.022998,0.495445,0.446214,,
1052,gender,B3 foret,information mutuelle normalisee,0.117266,-0.047978,0.277819,143,0.163684,0.495445,0.446214,,
