condition,seuil,cellules,cellules_minoritaires,rappel_minoritaire,precision_minoritaire,masse_minoritaire_predite,masse_minoritaire_humaine,perimetre
agents composite,0.100000,22350,747,0.254351,0.255376,0.033289,0.033423,150
agents composite,0.200000,22350,2414,0.352113,0.398874,0.095347,0.108009,150
agents entretien (v3),0.100000,22350,747,0.255689,0.233211,0.036644,0.033423,150
agents entretien (v3),0.200000,22350,2414,0.345070,0.350294,0.106398,0.108009,150
agents enquete,0.100000,22350,747,0.191432,0.179198,0.035705,0.033423,150
agents enquete,0.200000,22350,2414,0.259321,0.295841,0.094676,0.108009,150
agents demographiques (v6),0.100000,22350,747,0.136546,0.280220,0.016286,0.033423,150
agents demographiques (v6),0.200000,22350,2414,0.172742,0.285421,0.065369,0.108009,150
agents v7,0.100000,22350,747,0.058902,0.095861,0.020537,0.033423,150
agents v7,0.200000,22350,2414,0.121375,0.201098,0.065190,0.108009,150
agents v8,0.100000,22350,747,0.141901,0.118436,0.040045,0.033423,150
agents v8,0.200000,22350,2414,0.196769,0.195152,0.108904,0.108009,150
C2,0.100000,22350,747,0.128514,0.099379,0.043221,0.033423,150
C2,0.200000,22350,2414,0.203811,0.178520,0.123311,0.108009,150
C3,0.100000,22350,747,0.219545,0.131516,0.055794,0.033423,150
C3,0.200000,22350,2414,0.277962,0.229795,0.130649,0.108009,150
B0 mode,0.100000,22350,747,0.000000,,0.000000,0.033423,150
B0 mode,0.200000,22350,2414,0.000000,,0.000000,0.108009,150
B0 tirage,0.100000,22350,747,0.081660,0.073494,0.037136,0.033423,150
B0 tirage,0.200000,22350,2414,0.114747,0.111649,0.111007,0.108009,150
B1 argmax,0.100000,22350,747,0.045515,0.158140,0.009620,0.033423,150
B1 argmax,0.200000,22350,2414,0.131317,0.299622,0.047338,0.108009,150
B2 argmax,0.100000,22350,747,0.026774,0.454545,0.001969,0.033423,150
B2 argmax,0.200000,22350,2414,0.100249,0.511628,0.021163,0.108009,150
B3 foret,0.100000,22350,747,0.008032,0.206897,0.001298,0.033423,150
B3 foret,0.200000,22350,2414,0.054267,0.404321,0.014497,0.108009,150
humains vague 2,0.100000,22350,747,0.473896,0.448101,0.035347,0.033423,150
humains vague 2,0.200000,22350,2414,0.582436,0.589271,0.106756,0.108009,150
agents composite,0.100000,156748,5709,0.306884,0.323247,0.034578,0.036422,1052
agents composite,0.200000,156748,18411,0.355440,0.407777,0.102381,0.117456,1052
agents entretien (v3),0.100000,156748,5709,0.295323,0.290289,0.037053,0.036422,1052
agents entretien (v3),0.200000,156748,18411,0.353213,0.362992,0.114292,0.117456,1052
agents enquete,0.100000,156748,5709,0.230513,0.233333,0.035981,0.036422,1052
agents enquete,0.200000,156748,18411,0.280484,0.302253,0.108997,0.117456,1052
agents demographiques (v6),0.100000,156748,5709,0.162375,0.359163,0.016466,0.036422,1052
agents demographiques (v6),0.200000,156748,18411,0.186519,0.301996,0.072543,0.117456,1052
agents v7,0.100000,156748,5709,0.067262,0.130657,0.018750,0.036422,1052
agents v7,0.200000,156748,18411,0.133127,0.207413,0.075389,0.117456,1052
agents v8,0.100000,156748,5709,0.171659,0.148283,0.042163,0.036422,1052
agents v8,0.200000,156748,18411,0.223073,0.201679,0.129916,0.117456,1052
B0 mode,0.100000,156748,5709,0.000000,,0.000000,0.036422,1052
B0 mode,0.200000,156748,18411,0.000000,,0.000000,0.117456,1052
B0 tirage,0.100000,156748,5709,0.061657,0.061765,0.036358,0.036422,1052
B0 tirage,0.200000,156748,18411,0.125251,0.124662,0.118011,0.117456,1052
B1 argmax,0.100000,156748,5709,0.057979,0.221257,0.009544,0.036422,1052
B1 argmax,0.200000,156748,18411,0.129868,0.300377,0.050782,0.117456,1052
B2 argmax,0.100000,156748,5709,0.035733,0.489209,0.002660,0.036422,1052
B2 argmax,0.200000,156748,18411,0.094020,0.477254,0.023139,0.117456,1052
B3 foret,0.100000,156748,5709,0.014363,0.396135,0.001321,0.036422,1052
B3 foret,0.200000,156748,18411,0.049481,0.395056,0.014712,0.117456,1052
humains vague 2,0.100000,156748,5709,0.548257,0.530598,0.037634,0.036422,1052
humains vague 2,0.200000,156748,18411,0.605779,0.602279,0.118139,0.117456,1052
