axe,condition,cellules_separantes,erreurs,erreurs_vers_stereotype,erreurs_vers_moyenne,erreurs_ailleurs,part_stereotype,ic_bas,ic_haut,part_erreurs_expliquees,exactitude_sur_cellules_separantes,perimetre,h7_difference,h7_ic_bas,h7_ic_haut,h7_p,h7_p_holm,h7_p_bh
political_ideology,agents composite,4314,1693,686,509,498,0.574059,0.541874,0.605659,0.705848,0.607557,150,0.474141,0.438544,0.507727,0.000200,0.001800,0.000200
political_ideology,agents entretien (v3),4301,1841,760,532,549,0.588235,0.550772,0.624607,0.701793,0.571960,150,0.488318,0.444137,0.529555,0.000200,0.001800,0.000200
political_ideology,agents enquete,4308,1867,755,569,543,0.570242,0.538341,0.602135,0.709159,0.566620,150,0.470324,0.434471,0.505678,0.000200,0.001800,0.000200
political_ideology,agents demographiques (v6),4308,2342,667,1132,543,0.370762,0.340179,0.401802,0.768147,0.456360,150,0.270844,0.242640,0.298576,0.000200,0.001800,0.000200
political_ideology,agents v7,4307,2384,754,1075,555,0.412247,0.372361,0.453134,0.767198,0.446482,150,0.312329,0.274851,0.351541,0.000200,0.001800,0.000200
political_ideology,agents v8,4314,2340,1208,481,651,0.715216,0.683393,0.744924,0.721795,0.457580,150,0.615298,0.577838,0.649625,0.000200,0.001800,0.000200
political_ideology,C2,4317,2488,1052,672,764,0.610209,0.581673,0.638795,0.692926,0.423674,150,0.510291,0.482293,0.538810,0.000200,0.001800,0.000200
political_ideology,C3,4317,2158,672,724,762,0.481375,0.452126,0.511243,0.646895,0.500116,150,0.381458,0.354119,0.409130,0.000200,0.001800,0.000200
political_ideology,B0 mode,4317,2540,243,2189,108,0.099918,0.086025,0.115512,0.957480,0.411628,150,,,,,,
political_ideology,B0 tirage,4317,2744,737,1237,770,0.373354,0.347939,0.399187,0.719388,0.364373,150,0.273436,0.248998,0.296501,0.000200,,
political_ideology,B1 argmax,4317,2064,945,768,351,0.551664,0.518130,0.584710,0.829942,0.521890,150,0.451746,0.415886,0.486488,0.000200,,
political_ideology,B2 argmax,4317,1816,692,847,277,0.449643,0.413388,0.486558,0.847467,0.579338,150,0.349725,0.311378,0.388467,0.000200,,
political_ideology,B3 foret,4317,2028,852,975,201,0.466338,0.432571,0.499432,0.900888,0.530229,150,0.366420,0.333215,0.398796,0.000200,,
political_ideology,humains vague 2,4317,1078,403,348,327,0.536618,0.497907,0.576023,0.696660,0.750290,150,,,,,,
gender,agents composite,2297,918,333,298,287,0.527734,0.485038,0.569142,0.687364,0.600348,150,,,,,,
gender,agents entretien (v3),2292,973,331,309,333,0.517188,0.471097,0.563865,0.657760,0.575480,150,,,,,,
gender,agents enquete,2295,1017,418,310,289,0.574176,0.537587,0.610374,0.715831,0.556863,150,,,,,,
gender,agents demographiques (v6),2296,1266,444,540,282,0.451220,0.417454,0.484820,0.777251,0.448606,150,,,,,,
gender,agents v7,2292,1284,510,455,319,0.528497,0.487629,0.568256,0.751558,0.439791,150,,,,,,
gender,agents v8,2299,1254,503,391,360,0.562640,0.520619,0.604779,0.712919,0.454545,150,,,,,,
gender,C2,2299,1367,525,300,542,0.636364,0.604728,0.668258,0.603511,0.405394,150,,,,,,
gender,C3,2299,1182,340,305,537,0.527132,0.494751,0.559141,0.545685,0.485863,150,,,,,,
gender,B0 mode,2299,1286,231,1009,46,0.186290,0.161825,0.209249,0.964230,0.440626,150,,,,,,
gender,B0 tirage,2299,1512,505,567,440,0.471082,0.441772,0.498633,0.708995,0.342323,150,,,,,,
gender,B1 argmax,2299,1138,434,449,255,0.491506,0.454945,0.528621,0.775923,0.505002,150,,,,,,
gender,B2 argmax,2299,969,347,492,130,0.413588,0.382009,0.443223,0.865841,0.578512,150,,,,,,
gender,B3 foret,2299,1094,423,538,133,0.440166,0.401700,0.478831,0.878428,0.524141,150,,,,,,
gender,humains vague 2,2299,619,225,174,220,0.563910,0.512821,0.613835,0.644588,0.730753,150,,,,,,
age,agents composite,4042,1607,588,579,440,0.503856,0.471697,0.536319,0.726198,0.602425,150,,,,,,
age,agents entretien (v3),4033,1683,590,589,504,0.500424,0.468571,0.532469,0.700535,0.582693,150,,,,,,
age,agents enquete,4038,1741,627,591,523,0.514778,0.487313,0.542955,0.699598,0.568846,150,,,,,,
age,agents demographiques (v6),4032,2154,741,956,457,0.436653,0.409679,0.463734,0.787837,0.465774,150,,,,,,
age,agents v7,4038,2200,841,905,454,0.481672,0.454715,0.508871,0.793636,0.455176,150,,,,,,
age,agents v8,4044,2112,877,677,558,0.564350,0.535939,0.591965,0.735795,0.477745,150,,,,,,
age,C2,4045,2370,902,725,743,0.554395,0.528802,0.580087,0.686498,0.414091,150,,,,,,
age,C3,4045,2124,650,753,721,0.463293,0.435392,0.490512,0.660546,0.474907,150,,,,,,
age,B0 mode,4045,2267,301,1918,48,0.135647,0.118674,0.152642,0.978827,0.439555,150,,,,,,
age,B0 tirage,4045,2549,805,1026,718,0.439650,0.412298,0.465385,0.718321,0.369839,150,,,,,,
age,B1 argmax,4045,1956,780,827,349,0.485376,0.456937,0.512606,0.821575,0.516440,150,,,,,,
age,B2 argmax,4045,1752,598,929,225,0.391618,0.363967,0.419562,0.871575,0.566873,150,,,,,,
age,B3 foret,4045,1901,654,1060,187,0.381564,0.350588,0.412178,0.901631,0.530037,150,,,,,,
age,humains vague 2,4045,1053,392,337,324,0.537723,0.506531,0.568336,0.692308,0.739679,150,,,,,,
education,agents composite,2572,988,431,306,251,0.584803,0.550684,0.619114,0.745951,0.615863,150,,,,,,
education,agents entretien (v3),2563,1044,424,312,308,0.576087,0.538050,0.614743,0.704981,0.592665,150,,,,,,
education,agents enquete,2571,1080,479,337,264,0.587010,0.547213,0.625469,0.755556,0.579930,150,,,,,,
education,agents demographiques (v6),2572,1413,672,508,233,0.569492,0.533276,0.607938,0.835103,0.450622,150,,,,,,
education,agents v7,2571,1383,595,511,277,0.537975,0.499538,0.576021,0.799711,0.462077,150,,,,,,
education,agents v8,2575,1334,554,474,306,0.538911,0.500473,0.578947,0.770615,0.481942,150,,,,,,
education,C2,2576,1518,688,368,462,0.651515,0.621223,0.680570,0.695652,0.410714,150,,,,,,
education,C3,2576,1285,473,377,435,0.556471,0.517774,0.595823,0.661479,0.501165,150,,,,,,
education,B0 mode,2576,1503,295,1144,64,0.205003,0.183957,0.229334,0.957418,0.416537,150,,,,,,
education,B0 tirage,2576,1649,520,650,479,0.444444,0.414429,0.474503,0.709521,0.359860,150,,,,,,
education,B1 argmax,2576,1246,540,478,228,0.530452,0.494240,0.566923,0.817014,0.516304,150,,,,,,
education,B2 argmax,2576,1075,376,550,149,0.406048,0.367237,0.445690,0.861395,0.582686,150,,,,,,
education,B3 foret,2576,1205,505,592,108,0.460346,0.425908,0.497742,0.910373,0.532220,150,,,,,,
education,humains vague 2,2576,625,247,192,186,0.562642,0.508926,0.616337,0.702400,0.757376,150,,,,,,
profil croise,agents composite,5668,2220,806,779,635,0.508517,0.476051,0.542653,0.713964,0.608327,150,,,,,,
profil croise,agents entretien (v3),5655,2434,872,832,730,0.511737,0.476535,0.547810,0.700082,0.569584,150,,,,,,
profil croise,agents enquete,5661,2459,892,844,723,0.513825,0.484139,0.544334,0.705978,0.565624,150,,,,,,
profil croise,agents demographiques (v6),5655,3062,877,1494,691,0.369886,0.344967,0.395781,0.774331,0.458532,150,,,,,,
profil croise,agents v7,5658,3184,953,1527,704,0.384274,0.356665,0.412368,0.778894,0.437257,150,,,,,,
profil croise,agents v8,5667,3074,1311,918,845,0.588156,0.552231,0.623925,0.725114,0.457561,150,,,,,,
profil croise,C2,5671,3292,1301,1028,963,0.558609,0.538688,0.579416,0.707473,0.419503,150,,,,,,
profil croise,C3,5671,2788,779,1031,978,0.430387,0.404007,0.457097,0.649211,0.508376,150,,,,,,
profil croise,B0 mode,5671,3167,234,2807,126,0.076948,0.069164,0.085649,0.960215,0.441545,150,,,,,,
profil croise,B0 tirage,5671,3559,994,1543,1022,0.391801,0.371159,0.413427,0.712841,0.372421,150,,,,,,
profil croise,B1 argmax,5671,2732,1107,1181,444,0.483829,0.453938,0.514533,0.837482,0.518251,150,,,,,,
profil croise,B2 argmax,5671,2420,766,1299,355,0.370944,0.341125,0.404256,0.853306,0.573268,150,,,,,,
profil croise,B3 foret,5671,2655,933,1463,259,0.389399,0.357387,0.423330,0.902448,0.531829,150,,,,,,
profil croise,humains vague 2,5671,1453,526,493,434,0.516192,0.480768,0.551849,0.701308,0.743784,150,,,,,,
political_ideology,agents composite,23889,9413,3930,3183,2300,0.552509,0.538504,0.566766,0.755657,0.605969,1052,0.521415,0.506488,0.536407,0.000200,,
political_ideology,agents entretien (v3),23853,10245,4494,2967,2784,0.602332,0.586818,0.617461,0.728258,0.570494,1052,0.571238,0.555000,0.587199,0.000200,,
political_ideology,agents enquete,23872,10196,3931,3480,2785,0.530428,0.516779,0.543357,0.726854,0.572889,1052,0.499333,0.484891,0.513216,0.000200,,
political_ideology,agents demographiques (v6),23853,13834,3257,7681,2896,0.297769,0.284634,0.312117,0.790661,0.420031,1052,0.266675,0.254210,0.280440,0.000200,,
political_ideology,agents v7,23882,14288,3269,7932,3087,0.291849,0.276368,0.307951,0.783945,0.401725,1052,0.260755,0.245899,0.276244,0.000200,,
