condition,rho_spearman,r_pearson,ic_bas,ic_haut,temoin_permutation,temoin_p975,personnes,taux_rares_reelles_moyen,taux_rares_predites_moyen,perimetre,seuil
agents composite,0.523093,0.579537,0.393891,0.640362,-0.006044,0.151689,150,0.033423,0.033289,150,0.100000
agents entretien (v3),0.353137,0.420935,0.209442,0.482971,-0.000086,0.152387,150,0.033423,0.036644,150,0.100000
agents enquete,0.447207,0.565429,0.298462,0.570393,-0.000035,0.139762,150,0.033423,0.035705,150,0.100000
agents demographiques (v6),0.334027,0.322132,0.188544,0.465488,-0.005562,0.174422,150,0.033423,0.016286,150,0.100000
agents v7,0.097471,0.126198,-0.058571,0.258364,0.000449,0.163494,150,0.033423,0.020537,150,0.100000
agents v8,0.132104,0.172362,-0.033761,0.296658,0.000606,0.159606,150,0.033423,0.040045,150,0.100000
C2,0.193833,0.233977,0.047329,0.347832,0.002397,0.176510,150,0.033423,0.043221,150,0.100000
C3,0.409800,0.599335,0.260215,0.541209,-0.003570,0.141288,150,0.033423,0.055794,150,0.100000
B0 mode,,,,,,,150,0.033423,0.000000,150,0.100000
B0 tirage,0.103968,0.112917,-0.057319,0.265332,0.003369,0.142571,150,0.033423,0.037136,150,0.100000
B1 argmax,0.158684,0.164170,-0.005686,0.311108,-0.005826,0.145061,150,0.033423,0.009620,150,0.100000
B2 argmax,0.244242,0.390461,0.082037,0.393508,0.004462,0.165291,150,0.033423,0.001969,150,0.100000
B3 foret,0.042794,0.021980,-0.120508,0.213246,0.000525,0.142426,150,0.033423,0.001298,150,0.100000
humains vague 2,0.654149,0.707338,0.529168,0.761597,0.004103,0.198182,150,0.033423,0.035347,150,0.100000
agents composite,0.761216,0.731177,0.688589,0.822297,,,150,0.108009,0.095347,150,0.200000
agents entretien (v3),0.533789,0.565488,0.399508,0.647636,,,150,0.108009,0.106398,150,0.200000
agents enquete,0.654231,0.652561,0.559368,0.735028,,,150,0.108009,0.094676,150,0.200000
agents demographiques (v6),0.485644,0.441804,0.344817,0.606189,,,150,0.108009,0.065369,150,0.200000
agents v7,0.271518,0.201602,0.105313,0.426125,,,150,0.108009,0.065190,150,0.200000
agents v8,0.280665,0.277142,0.141715,0.411652,,,150,0.108009,0.108904,150,0.200000
C2,0.161469,0.249760,0.013200,0.307648,,,150,0.108009,0.123311,150,0.200000
C3,0.686823,0.750983,0.579575,0.771154,,,150,0.108009,0.130649,150,0.200000
B0 mode,,,,,,,150,0.108009,0.000000,150,0.200000
B0 tirage,0.064423,0.037359,-0.090985,0.232267,,,150,0.108009,0.111007,150,0.200000
B1 argmax,0.293182,0.298743,0.135548,0.445712,,,150,0.108009,0.047338,150,0.200000
B2 argmax,0.558062,0.594752,0.428170,0.663642,,,150,0.108009,0.021163,150,0.200000
B3 foret,0.126322,0.123460,-0.026742,0.282268,,,150,0.108009,0.014497,150,0.200000
humains vague 2,0.828735,0.827542,0.763867,0.881605,,,150,0.108009,0.106756,150,0.200000
agents composite,0.531310,0.579745,0.484457,0.575332,-0.002121,0.059378,1052,0.036422,0.034578,1052,0.100000
agents entretien (v3),0.390828,0.440466,0.334636,0.445473,0.000580,0.061590,1052,0.036422,0.037053,1052,0.100000
agents enquete,0.504113,0.598504,0.455279,0.551594,-0.001662,0.053037,1052,0.036422,0.035981,1052,0.100000
agents demographiques (v6),0.335535,0.343557,0.280467,0.387172,0.000116,0.066177,1052,0.036422,0.016466,1052,0.100000
agents v7,0.087242,0.116055,0.023334,0.146354,0.003098,0.057674,1052,0.036422,0.018750,1052,0.100000
agents v8,0.212985,0.274365,0.153551,0.273635,-0.002608,0.056320,1052,0.036422,0.042163,1052,0.100000
B0 mode,,,,,,,1052,0.036422,0.000000,1052,0.100000
B0 tirage,-0.019146,0.017941,-0.078353,0.040945,-0.000136,0.051402,1052,0.036422,0.036358,1052,0.100000
B1 argmax,0.219842,0.233759,0.161678,0.278831,0.002297,0.060733,1052,0.036422,0.009544,1052,0.100000
B2 argmax,0.300306,0.423019,0.243195,0.354745,0.001504,0.049796,1052,0.036422,0.002660,1052,0.100000
B3 foret,0.105009,0.085329,0.050513,0.161732,0.002984,0.067905,1052,0.036422,0.001321,1052,0.100000
humains vague 2,0.731985,0.726378,0.696121,0.763174,-0.000372,0.059464,1052,0.036422,0.037634,1052,0.100000
agents composite,0.645818,0.671413,0.605760,0.681033,,,1052,0.117456,0.102381,1052,0.200000
agents entretien (v3),0.528759,0.557451,0.481629,0.574109,,,1052,0.117456,0.114292,1052,0.200000
agents enquete,0.609862,0.659523,0.566123,0.646715,,,1052,0.117456,0.108997,1052,0.200000
agents demographiques (v6),0.427772,0.424746,0.377951,0.478726,,,1052,0.117456,0.072543,1052,0.200000
agents v7,0.127018,0.139309,0.065068,0.187805,,,1052,0.117456,0.075389,1052,0.200000
agents v8,0.292345,0.369246,0.234172,0.346159,,,1052,0.117456,0.129916,1052,0.200000
B0 mode,,,,,,,1052,0.117456,0.000000,1052,0.200000
B0 tirage,0.011580,0.011841,-0.048706,0.070776,,,1052,0.117456,0.118011,1052,0.200000
B1 argmax,0.310407,0.352254,0.256624,0.368878,,,1052,0.117456,0.050782,1052,0.200000
B2 argmax,0.471492,0.562932,0.418130,0.520679,,,1052,0.117456,0.023139,1052,0.200000
B3 foret,0.155349,0.193645,0.096085,0.214213,,,1052,0.117456,0.014712,1052,0.200000
humains vague 2,0.818103,0.819483,0.792971,0.839894,,,1052,0.117456,0.118139,1052,0.200000
