condition,perimetre,seuil,items,rho_masse_item,r_masse_item,rapport_masse_moyen,items_masse_predite_nulle,items_a_minorite
B0 mode,150,0.100000,149,,,0.000000,149,69
B0 tirage,150,0.100000,149,0.961150,0.946993,1.111111,82,69
B1 argmax,150,0.100000,149,0.858274,0.823952,0.287818,99,69
B2 argmax,150,0.100000,149,0.500272,0.287619,0.058902,131,69
B3 foret,150,0.100000,149,0.376019,0.535768,0.038822,141,69
C2,150,0.100000,149,0.712000,0.578894,1.293173,106,69
C3,150,0.100000,149,0.754923,0.513603,1.669344,94,69
agents composite,150,0.100000,149,0.873154,0.708265,0.995984,86,69
agents demographiques (v6),150,0.100000,149,0.628353,0.760602,0.487282,112,69
agents enquete,150,0.100000,149,0.871625,0.665109,1.068273,85,69
agents entretien (v3),150,0.100000,149,0.885364,0.692568,1.096386,86,69
agents v7,150,0.100000,149,0.830708,0.570537,0.614458,87,69
agents v8,150,0.100000,149,0.746577,0.532664,1.198126,99,69
humains vague 2,150,0.100000,149,0.981162,0.969698,1.057564,80,69
B0 mode,150,0.200000,149,,,0.000000,149,98
B0 tirage,150,0.200000,149,0.971701,0.975031,1.027755,53,98
B1 argmax,150,0.200000,149,0.930905,0.875537,0.438277,63,98
B2 argmax,150,0.200000,149,0.721897,0.717561,0.195940,95,98
B3 foret,150,0.200000,149,0.613799,0.625285,0.134217,115,98
C2,150,0.200000,149,0.730491,0.695677,1.141674,76,98
C3,150,0.200000,149,0.752985,0.560190,1.209611,63,98
agents composite,150,0.200000,149,0.837649,0.801959,0.882767,57,98
agents demographiques (v6),150,0.200000,149,0.763592,0.708620,0.605220,84,98
agents enquete,150,0.200000,149,0.814232,0.710597,0.876553,54,98
agents entretien (v3),150,0.200000,149,0.829470,0.735293,0.985087,56,98
agents v7,150,0.200000,149,0.789558,0.620138,0.603563,62,98
agents v8,150,0.200000,149,0.749008,0.655281,1.008285,63,98
humains vague 2,150,0.200000,149,0.986171,0.985529,0.988401,51,98
B0 mode,1052,0.100000,149,,,0.000000,149,70
B0 tirage,1052,0.100000,149,0.996612,0.996209,0.998248,79,70
B1 argmax,1052,0.100000,149,0.954279,0.874434,0.262042,85,70
B2 argmax,1052,0.100000,149,0.579502,0.532250,0.073043,124,70
B3 foret,1052,0.100000,149,0.411931,0.481242,0.036259,137,70
agents composite,1052,0.100000,149,0.910641,0.747877,0.949378,80,70
agents demographiques (v6),1052,0.100000,149,0.772632,0.777836,0.452093,98,70
agents enquete,1052,0.100000,149,0.880428,0.637610,0.987914,82,70
agents entretien (v3),1052,0.100000,149,0.924063,0.710013,1.017341,80,70
agents v7,1052,0.100000,149,0.874730,0.551107,0.514801,83,70
agents v8,1052,0.100000,149,0.808869,0.496950,1.157646,91,70
humains vague 2,1052,0.100000,149,0.995099,0.993231,1.033281,79,70
B0 mode,1052,0.200000,149,,,0.000000,149,101
B0 tirage,1052,0.200000,149,0.998114,0.998175,1.004725,48,101
B1 argmax,1052,0.200000,149,0.958906,0.914582,0.432350,53,101
B2 argmax,1052,0.200000,149,0.829514,0.745139,0.197002,77,101
B3 foret,1052,0.200000,149,0.682311,0.661412,0.125251,105,101
agents composite,1052,0.200000,149,0.865484,0.829542,0.871653,49,101
agents demographiques (v6),1052,0.200000,149,0.788695,0.745510,0.617620,70,101
agents enquete,1052,0.200000,149,0.819588,0.735749,0.927978,50,101
agents entretien (v3),1052,0.200000,149,0.873978,0.772897,0.973060,49,101
agents v7,1052,0.200000,149,0.841622,0.671242,0.641845,53,101
agents v8,1052,0.200000,149,0.789587,0.694920,1.106078,54,101
humains vague 2,1052,0.200000,149,0.995599,0.996515,1.005812,48,101
