condition,cellules,cellules_minoritaires,cellules_predites_minoritaires,minorites_justes,minorites_a_personne_majoritaire,minorites_mauvaise_modalite,taux_refus,rappel,precision,f1,taux_fausses_minorites,taux_mauvaise_minorite,masse_predite,masse_humaine,rappel_ic_bas,rappel_ic_haut,precision_ic_bas,precision_ic_haut,f1_ic_bas,f1_ic_haut,taux_fausses_minorites_ic_bas,taux_fausses_minorites_ic_haut,taux_mauvaise_minorite_ic_bas,taux_mauvaise_minorite_ic_haut,masse_predite_ic_bas,masse_predite_ic_haut,perimetre,seuil
agents composite,22350,747,744,190,514,40,0.000000,0.254351,0.255376,0.254863,0.690860,0.053763,0.033289,0.033423,0.210863,0.299270,0.212651,0.296410,0.213752,0.293938,0.650133,0.732337,0.037241,0.070362,0.029217,0.037406,150,0.100000
agents entretien (v3),22350,747,819,191,588,40,0.001298,0.255689,0.233211,0.243934,0.717949,0.048840,0.036644,0.033423,0.210901,0.300423,0.195495,0.271456,0.205328,0.281932,0.678876,0.756186,0.033650,0.064691,0.032215,0.040985,150,0.100000
agents enquete,22350,747,798,143,592,63,0.000895,0.191432,0.179198,0.185113,0.741855,0.078947,0.035705,0.033423,0.146893,0.236248,0.140411,0.216383,0.143762,0.224024,0.705145,0.782666,0.061436,0.098422,0.031453,0.040089,150,0.100000
agents demographiques (v6),22350,747,364,102,239,23,0.001879,0.136546,0.280220,0.183618,0.656593,0.063187,0.016286,0.033423,0.114357,0.160119,0.238633,0.321741,0.156422,0.210066,0.611276,0.699469,0.041293,0.087212,0.014541,0.017942,150,0.100000
agents v7,22350,747,459,44,391,24,0.000984,0.058902,0.095861,0.072968,0.851852,0.052288,0.020537,0.033423,0.037889,0.085414,0.063953,0.131639,0.048082,0.100968,0.813155,0.886941,0.034721,0.072142,0.017002,0.024698,150,0.100000
agents v8,22350,747,895,106,771,18,0.000358,0.141901,0.118436,0.129111,0.861453,0.020112,0.040045,0.033423,0.105588,0.179295,0.087757,0.151208,0.097358,0.161273,0.827620,0.892928,0.010710,0.030656,0.033826,0.046398,150,0.100000
C2,22350,747,966,96,808,62,0.000000,0.128514,0.099379,0.112084,0.836439,0.064182,0.043221,0.033423,0.098176,0.159370,0.075098,0.124598,0.086385,0.136627,0.805374,0.864726,0.049894,0.080475,0.037314,0.049353,150,0.100000
C3,22350,747,1247,164,1004,79,0.000000,0.219545,0.131516,0.164493,0.805132,0.063352,0.055794,0.033423,0.179309,0.257763,0.105487,0.157234,0.133826,0.193949,0.776411,0.833337,0.050207,0.076286,0.051902,0.059733,150,0.100000
B0 mode,22350,747,0,0,0,0,0.000000,0.000000,,0.000000,,,0.000000,0.033423,0.000000,0.000000,,,0.000000,0.000000,,,,,0.000000,0.000000,150,0.100000
B0 tirage,22350,747,830,61,726,43,0.000000,0.081660,0.073494,0.077362,0.874699,0.051807,0.037136,0.033423,0.062404,0.102673,0.054215,0.094250,0.057760,0.096980,0.849821,0.897561,0.036816,0.066921,0.034944,0.039508,150,0.100000
B1 argmax,22350,747,215,34,160,21,0.000000,0.045515,0.158140,0.070686,0.744186,0.097674,0.009620,0.033423,0.029239,0.064851,0.103765,0.219049,0.046029,0.099018,0.678214,0.806604,0.062238,0.132702,0.007964,0.011365,150,0.100000
B2 argmax,22350,747,44,20,22,2,0.000000,0.026774,0.454545,0.050569,0.500000,0.045455,0.001969,0.033423,0.014142,0.041279,0.318182,0.589744,0.027159,0.076375,0.349971,0.657143,0.000000,0.108696,0.001208,0.002954,150,0.100000
B3 foret,22350,747,29,6,18,5,0.000000,0.008032,0.206897,0.015464,0.620690,0.172414,0.001298,0.033423,0.002646,0.014686,0.068966,0.384677,0.005128,0.028210,0.444444,0.791667,0.047565,0.310345,0.000850,0.001790,150,0.100000
humains vague 2,22350,747,790,354,389,47,0.000000,0.473896,0.448101,0.460638,0.492405,0.059494,0.035347,0.033423,0.434971,0.516043,0.402221,0.491040,0.422732,0.498682,0.449688,0.537390,0.043240,0.075216,0.031141,0.039777,150,0.100000
agents composite,22350,2414,2131,850,964,317,0.000000,0.352113,0.398874,0.374037,0.452370,0.148756,0.095347,0.108009,0.323285,0.380728,0.371824,0.425825,0.347668,0.399487,0.426789,0.477367,0.131789,0.166173,0.087516,0.102775,150,0.200000
agents entretien (v3),22350,2414,2378,833,1236,309,0.001298,0.345070,0.350294,0.347663,0.519765,0.129941,0.106398,0.108009,0.315812,0.373601,0.326235,0.376652,0.323261,0.371971,0.493092,0.545004,0.115815,0.145521,0.097629,0.114858,150,0.200000
agents enquete,22350,2414,2116,626,1111,379,0.000895,0.259321,0.295841,0.276380,0.525047,0.179112,0.094676,0.108009,0.227910,0.288605,0.266207,0.323926,0.246137,0.303843,0.498320,0.550859,0.161448,0.198989,0.086443,0.102774,150,0.200000
