perimetre,axe,condition,niveaux,rho_profil,r_profil,amplitude_reelle,amplitude_predite,niveau_le_plus_rare_reel,niveau_le_plus_rare_predit
150,gender,agents composite,2,,,1.276139,1.321544,male,male
150,gender,agents entretien (v3),2,,,1.276139,1.101677,male,male
150,gender,agents enquete,2,,,1.276139,1.133994,male,male
150,gender,agents demographiques (v6),2,,,1.276139,1.214286,male,female
150,gender,agents v7,2,,,1.276139,1.045455,male,male
150,gender,agents v8,2,,,1.276139,1.100379,male,male
150,gender,C2,2,,,1.276139,1.137968,male,male
150,gender,C3,2,,,1.276139,1.082007,male,male
150,gender,B0 mode,2,,,1.276139,,male,female
150,gender,B0 tirage,2,,,1.276139,1.035914,male,female
150,gender,B1 argmax,2,,,1.276139,1.333333,male,male
150,gender,B2 argmax,2,,,1.276139,2.460606,male,male
150,gender,B3 foret,2,,,1.276139,1.034091,male,male
150,gender,humains vague 2,2,,,1.276139,1.272727,male,male
150,race,agents composite,3,,,1.180378,1.232598,other,other
150,race,agents entretien (v3),3,,,1.180378,1.421915,other,white
150,race,agents enquete,3,,,1.180378,1.329935,other,white
150,race,agents demographiques (v6),3,,,1.180378,1.089783,other,other
150,race,agents v7,3,,,1.180378,1.309697,other,other
150,race,agents v8,3,,,1.180378,1.313831,other,white
150,race,C2,3,,,1.180378,1.168536,other,white
150,race,C3,3,,,1.180378,1.078849,other,white
150,race,B0 mode,3,,,1.180378,,other,black
150,race,B0 tirage,3,,,1.180378,1.025649,other,black
150,race,B1 argmax,3,,,1.180378,1.354532,other,other
150,race,B2 argmax,3,,,1.180378,3.935780,other,white
150,race,B3 foret,3,,,1.180378,5.045872,other,white
150,race,humains vague 2,3,,,1.180378,1.441692,other,other
150,political_ideology,agents composite,7,0.857143,0.905413,1.914267,3.937500,extremely conservative,extremely conservative
150,political_ideology,agents entretien (v3),7,0.750000,0.840426,1.914267,3.909574,extremely conservative,extremely conservative
150,political_ideology,agents enquete,7,0.892857,0.909701,1.914267,2.946043,extremely conservative,extremely conservative
150,political_ideology,agents demographiques (v6),7,0.750000,0.605020,1.914267,1.953125,extremely conservative,extremely conservative
150,political_ideology,agents v7,7,0.500000,0.629703,1.914267,2.000000,extremely conservative,slightly liberal
150,political_ideology,agents v8,7,0.785714,0.855276,1.914267,18.632812,extremely conservative,extremely conservative
150,political_ideology,C2,7,0.785714,0.879066,1.914267,7.761628,extremely conservative,extremely conservative
150,political_ideology,C3,7,0.785714,0.917784,1.914267,1.820611,extremely conservative,extremely conservative
150,political_ideology,B0 mode,7,,,1.914267,,extremely conservative,conservative
150,political_ideology,B0 tirage,7,0.750000,0.810565,1.914267,1.238095,extremely conservative,extremely conservative
150,political_ideology,B1 argmax,7,0.642857,0.814130,1.914267,5.113636,extremely conservative,extremely conservative
150,political_ideology,B2 argmax,7,0.535714,0.765704,1.914267,,extremely conservative,extremely conservative
150,political_ideology,B3 foret,7,0.504525,0.763663,1.914267,,extremely conservative,extremely conservative
150,political_ideology,humains vague 2,7,0.678571,0.927033,1.914267,1.883844,extremely conservative,extremely conservative
150,age,agents composite,7,0.857143,0.864730,1.780800,2.193623,25 - 34,25 - 34
150,age,agents entretien (v3),7,0.464286,0.432157,1.780800,2.161404,25 - 34,65 - 74
150,age,agents enquete,7,0.785714,0.791044,1.780800,1.757605,25 - 34,65 - 74
150,age,agents demographiques (v6),7,0.142857,0.132584,1.780800,1.710526,25 - 34,65 - 74
150,age,agents v7,7,0.464286,0.394184,1.780800,2.038033,25 - 34,25 - 34
150,age,agents v8,7,-0.142857,0.002919,1.780800,2.104348,25 - 34,75 or more
150,age,C2,7,0.392857,0.297626,1.780800,1.469358,25 - 34,25 - 34
150,age,C3,7,0.571429,0.491588,1.780800,1.587097,25 - 34,25 - 34
150,age,B0 mode,7,,,1.780800,,25 - 34,18 - 24
150,age,B0 tirage,7,0.071429,0.095316,1.780800,1.350355,25 - 34,75 or more
150,age,B1 argmax,7,0.250000,0.256146,1.780800,1.584000,25 - 34,75 or more
150,age,B2 argmax,7,0.571429,0.382638,1.780800,11.200000,25 - 34,75 or more
150,age,B3 foret,7,-0.071429,0.037896,1.780800,6.052632,25 - 34,65 - 74
150,age,humains vague 2,7,0.892857,0.912470,1.780800,1.848221,25 - 34,35 - 44
150,education,agents composite,5,0.974679,0.869031,1.318681,1.714286,less than high school,less than high school
150,education,agents entretien (v3),5,0.820783,0.824440,1.318681,2.864407,less than high school,less than high school
150,education,agents enquete,5,0.461690,0.056364,1.318681,1.298325,less than high school,associate/junior college
150,education,agents demographiques (v6),5,0.359092,0.795175,1.318681,2.181818,less than high school,less than high school
150,education,agents v7,5,-0.974679,-0.920064,1.318681,3.400000,less than high school,high school
150,education,agents v8,5,-0.051299,-0.369493,1.318681,4.500000,less than high school,associate/junior college
150,education,C2,5,-0.051299,-0.146498,1.318681,2.552083,less than high school,associate/junior college
150,education,C3,5,0.359092,0.113293,1.318681,1.131078,less than high school,associate/junior college
150,education,B0 mode,5,,,1.318681,,less than high school,associate/junior college
150,education,B0 tirage,5,0.359092,0.663068,1.318681,1.435897,less than high school,less than high school
150,education,B1 argmax,5,-0.205196,-0.119652,1.318681,2.000000,less than high school,graduate
150,education,B2 argmax,5,-0.205196,-0.538916,1.318681,,less than high school,associate/junior college
150,education,B3 foret,5,0.974679,0.819950,1.318681,6.000000,less than high school,less than high school
150,education,humains vague 2,5,0.666886,0.819355,1.318681,1.504132,less than high school,less than high school
150,profil croise,agents composite,18,0.751678,0.772106,5.000000,5.250000,female|other|gauche,male|black|droite
150,profil croise,agents entretien (v3),18,0.735917,0.751060,5.000000,,female|other|gauche,male|white|droite
150,profil croise,agents enquete,18,0.501292,0.509913,5.000000,3.333333,female|other|gauche,male|white|droite
150,profil croise,agents demographiques (v6),18,0.485760,0.645657,5.000000,,female|other|gauche,female|other|gauche
