perimetre,condition,rho_avec_fidelite,rho_avec_taux_reel
150,"reel, vague 1",-0.379589,1.000000
150,agents composite,-0.250375,0.523093
150,agents entretien (v3),-0.057842,0.353137
150,agents enquete,-0.109396,0.447207
150,agents demographiques (v6),-0.264766,0.334027
150,agents v7,-0.035446,0.097471
150,agents v8,-0.067995,0.132104
150,C2,-0.086271,0.193833
150,C3,0.025573,0.409800
150,B0 mode,,
150,B0 tirage,-0.076441,0.103968
150,B1 argmax,0.023625,0.158684
150,B2 argmax,0.059352,0.244242
150,B3 foret,0.028958,0.042794
150,humains vague 2,-0.471096,0.654149
1052,"reel, vague 1",-0.321200,1.000000
1052,agents composite,-0.103355,0.531310
1052,agents entretien (v3),-0.038497,0.390828
1052,agents enquete,-0.102439,0.504113
1052,agents demographiques (v6),-0.161796,0.335535
1052,agents v7,-0.024646,0.087242
1052,agents v8,0.046637,0.212985
1052,B0 mode,,
1052,B0 tirage,0.023579,-0.019146
1052,B1 argmax,-0.026608,0.219842
1052,B2 argmax,0.040494,0.300306
1052,B3 foret,0.002016,0.105009
1052,humains vague 2,-0.348419,0.731985
