perimetre,axe,niveau,condition,personnes,taux_rares,ic_bas,ic_haut
150,gender,female,"reel, vague 1",84,0.029802,0.025130,0.034881
150,gender,male,"reel, vague 1",66,0.038031,0.031669,0.044548
150,gender,female,agents composite,84,0.029163,0.024697,0.033925
150,gender,male,agents composite,66,0.038540,0.031115,0.046501
150,gender,female,agents entretien (v3),84,0.035075,0.030244,0.039845
150,gender,male,agents entretien (v3),66,0.038641,0.031117,0.046439
150,gender,female,agents enquete,84,0.033717,0.028923,0.038680
150,gender,male,agents enquete,66,0.038235,0.031135,0.045892
150,gender,female,agents demographiques (v6),84,0.017657,0.015482,0.019736
150,gender,male,agents demographiques (v6),66,0.014541,0.011838,0.017230
150,gender,female,agents v7,84,0.020134,0.015514,0.026548
150,gender,male,agents v7,66,0.021049,0.015660,0.027544
150,gender,female,agents v8,84,0.038351,0.030788,0.046309
150,gender,male,agents v8,66,0.042201,0.032088,0.053011
150,gender,female,C2,84,0.040748,0.033834,0.048051
150,gender,male,C2,66,0.046370,0.036853,0.057002
150,gender,female,C3,84,0.053851,0.049317,0.058438
150,gender,male,C3,66,0.058267,0.051931,0.065215
150,gender,female,B0 mode,84,0.000000,0.000000,0.000000
150,gender,male,B0 mode,66,0.000000,0.000000,0.000000
150,gender,female,B0 tirage,84,0.037712,0.034731,0.040559
150,gender,male,B0 tirage,66,0.036404,0.032627,0.040367
150,gender,female,B1 argmax,84,0.008389,0.006629,0.010181
150,gender,male,B1 argmax,66,0.011186,0.008290,0.014400
150,gender,female,B2 argmax,84,0.001198,0.000546,0.002031
150,gender,male,B2 argmax,66,0.002949,0.001424,0.004952
150,gender,female,B3 foret,84,0.001278,0.000657,0.002013
150,gender,male,B3 foret,66,0.001322,0.000660,0.002043
150,gender,female,humains vague 2,84,0.031560,0.026767,0.036630
150,gender,male,humains vague 2,66,0.040167,0.033662,0.047614
150,race,black,"reel, vague 1",22,0.031422,0.022091,0.041528
150,race,other,"reel, vague 1",19,0.037089,0.025727,0.049664
150,race,white,"reel, vague 1",109,0.033188,0.028831,0.037915
150,race,black,agents composite,22,0.028371,0.018967,0.040268
150,race,other,agents composite,19,0.034970,0.025015,0.046183
150,race,white,agents composite,109,0.033988,0.028951,0.039335
150,race,black,agents entretien (v3),22,0.027151,0.019345,0.036185
150,race,other,agents entretien (v3),19,0.036383,0.027130,0.045455
150,race,white,agents entretien (v3),109,0.038606,0.033064,0.044258
150,race,black,agents enquete,22,0.030201,0.023264,0.038256
150,race,other,agents enquete,19,0.028612,0.021996,0.035794
150,race,white,agents enquete,109,0.038052,0.032702,0.043716
150,race,black,agents demographiques (v6),22,0.015558,0.012010,0.019175
150,race,other,agents demographiques (v6),19,0.016955,0.012943,0.020805
150,race,white,agents demographiques (v6),109,0.016317,0.014175,0.018410
150,race,black,agents v7,22,0.023490,0.017338,0.029799
150,race,other,agents v7,19,0.025079,0.017371,0.033877
150,race,white,agents v7,109,0.019149,0.014444,0.024766
150,race,black,agents v8,22,0.032337,0.021332,0.044752
150,race,other,agents v8,19,0.034970,0.020527,0.052952
150,race,white,agents v8,109,0.042485,0.034727,0.050610
150,race,black,C2,22,0.040879,0.028888,0.054388
