perimetre,quintile,personnes,taux_rares_reel,fidelite_test_retest,agents composite,agents entretien (v3),agents enquete,agents demographiques (v6),agents v7,agents v8,C2,C3,B0 mode,B0 tirage,B1 argmax,B2 argmax,B3 foret,humains vague 2
150,1,16,0.005453,0.775587,0.015101,0.022232,0.016359,0.011326,0.016359,0.030621,0.028104,0.041527,0.000000,0.036074,0.009228,0.000419,0.001678,0.018876
150,2,24,0.013423,0.859340,0.022092,0.025727,0.029922,0.013423,0.013982,0.033557,0.037192,0.044183,0.000000,0.036353,0.007550,0.000280,0.001398,0.019016
150,3,40,0.023322,0.821644,0.025671,0.032215,0.029530,0.014933,0.018289,0.039597,0.042785,0.051007,0.000000,0.034732,0.006376,0.001174,0.001174,0.029530
150,4,35,0.036433,0.783893,0.034516,0.040652,0.031448,0.016491,0.023778,0.039885,0.042570,0.056951,0.000000,0.040268,0.012656,0.001534,0.000959,0.032215
150,5,35,0.068456,0.725407,0.056759,0.051774,0.059827,0.021860,0.026270,0.049473,0.055417,0.074593,0.000000,0.037776,0.011889,0.005177,0.001534,0.063854
1052,1,193,0.010085,0.825399,0.017213,0.024064,0.019161,0.010710,0.016066,0.030254,,,0.000000,0.037069,0.006364,0.000765,0.000800,0.017144
1052,2,158,0.020134,0.819174,0.023405,0.026293,0.025741,0.013720,0.017373,0.030244,,,0.000000,0.035638,0.007051,0.001104,0.000892,0.025189
1052,3,266,0.029798,0.812636,0.030479,0.033305,0.030454,0.014659,0.017056,0.039562,,,0.000000,0.036736,0.009159,0.002018,0.001388,0.030958
1052,4,209,0.043351,0.774766,0.037314,0.041071,0.038278,0.019717,0.021740,0.048618,,,0.000000,0.035516,0.011239,0.002216,0.001734,0.042902
1052,5,226,0.071687,0.750104,0.059512,0.056364,0.061888,0.022421,0.021233,0.057760,,,0.000000,0.036586,0.012888,0.006533,0.001604,0.066817
