perimetre,condition,difference,ic_items_bas,ic_items_haut,p_bootstrap_items
1052,agents composite,-0.021393,-0.234150,0.197821,0.804000
1052,agents entretien (v3),-0.037369,-0.286976,0.195630,0.690000
1052,agents enquete,-0.101360,-0.246641,0.049214,0.149000
1052,agents demographiques (v6),0.018728,-0.099634,0.094589,0.809000
1052,agents v7,0.005710,-0.077423,0.116642,0.943000
1052,agents v8,0.012595,-0.167607,0.254050,0.938000
1052,B0 mode,0.000000,0.000000,0.000000,1.000000
1052,B0 tirage,0.003583,-0.015998,0.026844,0.715000
1052,B1 argmax,0.053453,-0.039717,0.207931,0.491000
1052,B2 argmax,0.049407,-0.036031,0.108082,0.368000
1052,B3 foret,0.049675,-0.012632,0.205940,0.702000
1052,humains vague 2,-0.009019,-0.130375,0.069207,0.748000
150,agents composite,-0.122564,-0.282480,0.066813,0.182000
150,agents entretien (v3),-0.207752,-0.351957,-0.076219,0.001000
150,agents enquete,-0.079933,-0.221782,0.063219,0.236000
150,agents demographiques (v6),0.016899,-0.095246,0.088481,0.921000
150,agents v7,-0.062669,-0.132907,-0.004345,0.034000
150,agents v8,-0.088693,-0.218187,0.036955,0.136000
150,C2,-0.031681,-0.156602,0.183173,0.701000
150,C3,-0.070553,-0.221915,0.172295,0.551000
150,B0 mode,0.000000,0.000000,0.000000,1.000000
150,B0 tirage,-0.049201,-0.103736,-0.009331,0.016000
150,B1 argmax,-0.012227,-0.050851,0.015490,0.403000
150,B2 argmax,-0.039163,-0.086958,0.006537,0.105000
150,B3 foret,-0.007519,-0.025482,0.000000,0.711000
150,humains vague 2,-0.024892,-0.156596,0.066283,0.549000
