perimetre,condition,famille,n_items,gs_gauche,gs_centre,gs_droite,ratio_droite_gauche
1052 personnes,humains vague 1,avortement (ab*),7,0.160240,0.332250,0.395698,2.469407
1052 personnes,humains vague 1,confiance dans les institutions (con*),13,0.543859,0.575623,0.570552,1.049080
1052 personnes,humains vague 1,depenses publiques (nat*),17,0.463438,0.520335,0.567797,1.225184
1052 personnes,humains vague 1,fin de vie (suicide/letdie),5,0.378007,0.389588,0.352299,0.931990
1052 personnes,humains vague 1,libertes civiles (spk/col/lib),11,0.275427,0.369434,0.394462,1.432181
1052 personnes,humains vague 1,residu : economique,15,0.628849,0.621010,0.612627,0.974203
1052 personnes,humains vague 1,residu : hors axe,35,0.421535,0.445356,0.452432,1.073298
1052 personnes,humains vague 1,residu : social,41,0.481879,0.549025,0.526391,1.092371
1052 personnes,humains vague 1,roles de genre (fe*),5,0.535229,0.601683,0.668474,1.248951
1052 personnes,agents composite,avortement (ab*),7,0.130949,0.336665,0.406225,3.102158
1052 personnes,agents composite,confiance dans les institutions (con*),13,0.417049,0.439765,0.407007,0.975920
1052 personnes,agents composite,depenses publiques (nat*),17,0.354306,0.529687,0.549367,1.550542
1052 personnes,agents composite,fin de vie (suicide/letdie),5,0.279197,0.340096,0.343588,1.230632
1052 personnes,agents composite,libertes civiles (spk/col/lib),11,0.235725,0.384841,0.430078,1.824495
1052 personnes,agents composite,residu : economique,15,0.561448,0.573269,0.543903,0.968751
1052 personnes,agents composite,residu : hors axe,35,0.366122,0.366131,0.363192,0.991998
1052 personnes,agents composite,residu : social,41,0.373162,0.463892,0.445050,1.192646
1052 personnes,agents composite,roles de genre (fe*),5,0.447948,0.512613,0.592717,1.323182
1052 personnes,agents entretien (v3),avortement (ab*),7,0.048172,0.239803,0.361896,7.512500
1052 personnes,agents entretien (v3),confiance dans les institutions (con*),13,0.408279,0.470451,0.378532,0.927141
1052 personnes,agents entretien (v3),depenses publiques (nat*),17,0.311422,0.504166,0.450339,1.446074
1052 personnes,agents entretien (v3),fin de vie (suicide/letdie),5,0.129635,0.157061,0.196673,1.517131
1052 personnes,agents entretien (v3),libertes civiles (spk/col/lib),11,0.088763,0.210810,0.389313,4.385959
1052 personnes,agents entretien (v3),residu : economique,15,0.561506,0.578970,0.557286,0.992486
1052 personnes,agents entretien (v3),residu : hors axe,35,0.355065,0.364118,0.365470,1.029305
1052 personnes,agents entretien (v3),residu : social,41,0.320777,0.436059,0.402026,1.253286
1052 personnes,agents entretien (v3),roles de genre (fe*),5,0.331938,0.485669,0.582484,1.754795
1052 personnes,agents enquete,avortement (ab*),7,0.114248,0.349641,0.451337,3.950494
1052 personnes,agents enquete,confiance dans les institutions (con*),13,0.379597,0.433626,0.409318,1.078295
1052 personnes,agents enquete,depenses publiques (nat*),17,0.268566,0.439025,0.574652,2.139704
1052 personnes,agents enquete,fin de vie (suicide/letdie),5,0.294152,0.324910,0.301587,1.025275
1052 personnes,agents enquete,libertes civiles (spk/col/lib),11,0.206687,0.347121,0.435323,2.106196
1052 personnes,agents enquete,residu : economique,15,0.522481,0.544732,0.537157,1.028089
1052 personnes,agents enquete,residu : hors axe,35,0.342259,0.368041,0.361530,1.056305
1052 personnes,agents enquete,residu : social,41,0.329040,0.441185,0.434569,1.320720
1052 personnes,agents enquete,roles de genre (fe*),5,0.334568,0.507534,0.593106,1.772749
1052 personnes,agents demographiques (v6),avortement (ab*),7,0.141437,0.183145,0.296420,2.095769
1052 personnes,agents demographiques (v6),confiance dans les institutions (con*),13,0.237091,0.251761,0.241164,1.017178
1052 personnes,agents demographiques (v6),depenses publiques (nat*),17,0.359512,0.370023,0.416362,1.158131
1052 personnes,agents demographiques (v6),fin de vie (suicide/letdie),5,0.270923,0.275943,0.277272,1.023432
1052 personnes,agents demographiques (v6),libertes civiles (spk/col/lib),11,0.138513,0.165185,0.257505,1.859066
1052 personnes,agents demographiques (v6),residu : economique,15,0.458794,0.478332,0.470000,1.024425
1052 personnes,agents demographiques (v6),residu : hors axe,35,0.266242,0.284817,0.291329,1.094226
1052 personnes,agents demographiques (v6),residu : social,41,0.307153,0.336137,0.368748,1.200532
1052 personnes,agents demographiques (v6),roles de genre (fe*),5,0.366142,0.412864,0.435142,1.188452
1052 personnes,agents v7,avortement (ab*),7,0.065555,0.079882,0.220487,3.363371
1052 personnes,agents v7,confiance dans les institutions (con*),13,0.318210,0.300000,0.299265,0.940465
1052 personnes,agents v7,depenses publiques (nat*),17,0.336851,0.382001,0.428056,1.270757
1052 personnes,agents v7,fin de vie (suicide/letdie),5,0.133582,0.122746,0.178004,1.332540
1052 personnes,agents v7,libertes civiles (spk/col/lib),11,0.115196,0.131427,0.191221,1.659961
1052 personnes,agents v7,residu : economique,15,0.389376,0.394788,0.372029,0.955447
1052 personnes,agents v7,residu : hors axe,35,0.331234,0.338845,0.337311,1.018347
1052 personnes,agents v7,residu : social,41,0.310609,0.326671,0.355422,1.144274
1052 personnes,agents v7,roles de genre (fe*),5,0.406996,0.382712,0.434723,1.068128
1052 personnes,agents v8,avortement (ab*),7,0.008818,0.172004,0.228583,25.921616
1052 personnes,agents v8,confiance dans les institutions (con*),13,0.350104,0.188805,0.274180,0.783138
1052 personnes,agents v8,depenses publiques (nat*),17,0.149945,0.473907,0.298866,1.993171
1052 personnes,agents v8,fin de vie (suicide/letdie),5,0.153081,0.064477,0.142247,0.929226
1052 personnes,agents v8,libertes civiles (spk/col/lib),11,0.036240,0.105357,0.326196,9.001108
1052 personnes,agents v8,residu : economique,15,0.303986,0.233625,0.334477,1.100304
1052 personnes,agents v8,residu : hors axe,35,0.273580,0.251712,0.219622,0.802770
1052 personnes,agents v8,residu : social,41,0.229949,0.273317,0.292027,1.269966
1052 personnes,agents v8,roles de genre (fe*),5,0.278976,0.310130,0.522116,1.871546
1052 personnes,B0 mode,avortement (ab*),7,0.000000,0.000000,0.000000,
1052 personnes,B0 mode,confiance dans les institutions (con*),13,0.023450,0.024819,0.025943,1.106287
1052 personnes,B0 mode,depenses publiques (nat*),17,0.034779,0.037724,0.041049,1.180278
1052 personnes,B0 mode,fin de vie (suicide/letdie),5,0.000000,0.000000,0.000000,
