condition,n_items,gs_gauche,gs_centre,gs_droite,ratio_droite_gauche,ic_bas,ic_haut,p_permutation,ecrasement_gauche,ecrasement_centre,ecrasement_droite,ecrasement_droite_moins_gauche,p_holm
humains vague 1,149,0.453756,0.503942,0.509323,1.122459,1.100099,1.146304,0.000500,1.000000,1.000000,1.000000,0.000000,0.006497
agents composite,149,0.369972,0.443008,0.442977,1.197327,1.161513,1.236091,0.000500,0.815354,0.879087,0.869737,0.054384,0.006497
agents entretien (v3),149,0.323658,0.410772,0.408872,1.263286,1.208075,1.311909,0.000500,0.713285,0.815118,0.802776,0.089491,0.006497
agents enquete,149,0.329021,0.420601,0.443220,1.347087,1.298495,1.389576,0.000500,0.725106,0.834623,0.870215,0.145109,0.006497
agents demographiques (v6),149,0.293199,0.315648,0.342604,1.168505,1.127315,1.210409,0.000500,0.646159,0.626359,0.672666,0.026507,0.006497
agents v7,149,0.298396,0.309403,0.334473,1.120905,1.057587,1.185766,0.000500,0.657612,0.613966,0.656701,-0.000911,0.006497
agents v8,149,0.223383,0.256827,0.280753,1.256822,1.181961,1.327219,0.000500,0.492297,0.509636,0.551227,0.058930,0.006497
B0 mode,149,0.018649,0.019421,0.020140,1.079936,0.995352,1.171856,0.061469,0.041099,0.038539,0.039542,-0.001557,0.122939
B0 tirage,149,0.507367,0.505429,0.507712,1.000679,0.992962,1.008012,0.847576,1.118150,1.002952,0.996837,-0.121313,0.847576
B1 argmax,149,0.296478,0.332836,0.343887,1.159908,1.122942,1.196783,0.000500,0.653386,0.660465,0.675185,0.021799,0.006497
B2 argmax,149,0.222935,0.281371,0.302099,1.355103,1.298286,1.416647,0.000500,0.491309,0.558341,0.593139,0.101830,0.006497
B3 foret,149,0.189502,0.203051,0.222334,1.173252,1.131598,1.214732,0.000500,0.417631,0.402925,0.436529,0.018898,0.006497
humains vague 2,149,0.455873,0.508103,0.507053,1.112270,1.086490,1.137295,0.000500,1.004664,1.008258,0.995544,-0.009120,0.006497
