condition,n_items,gs_gauche,gs_centre,gs_droite,ratio_droite_gauche,ic_bas,ic_haut,p_permutation,ecrasement_gauche,ecrasement_centre,ecrasement_droite,ecrasement_droite_moins_gauche,ratio_attitudes,ratio_heuristiques_biais,ratio_prix,p_holm
humains vague 4,108,0.532856,0.559915,0.569165,1.068140,1.056354,1.077973,0.000500,1.000000,1.000000,1.000000,0.000000,1.293715,1.053922,1.024740,0.007996
gpt41mini_defaut,108,0.285942,0.312119,0.326509,1.141871,1.117562,1.162827,0.000500,0.536621,0.557440,0.573663,0.037041,1.884850,1.172485,0.988966,0.007996
gpt41mini_demo_seules,108,0.278695,0.295332,0.310880,1.115482,1.088213,1.140298,0.000500,0.523022,0.527458,0.546203,0.023181,3.513803,0.859500,1.098572,0.007996
gpt41mini_demo_seules_spec,108,0.278695,0.295332,0.310880,1.115482,1.089484,1.139746,0.000500,0.523022,0.527458,0.546203,0.023181,3.513803,0.859500,1.098572,0.007996
gpt41mini_texte,108,0.285942,0.312119,0.326509,1.141871,1.119264,1.164063,0.000500,0.536621,0.557440,0.573663,0.037041,1.884850,1.172485,0.988966,0.007996
gpt41mini_texte_temp_defaut,108,0.321345,0.346650,0.360109,1.120633,1.102264,1.136487,0.000500,0.603061,0.619111,0.632698,0.029637,2.023148,1.097597,0.983064,0.007996
gpt41mini_texte_raisonnement,108,0.353632,0.375900,0.388563,1.098780,1.082517,1.112826,0.000500,0.663654,0.671352,0.682691,0.019037,2.218638,1.047043,1.000052,0.007996
gpt41mini_texte_repetition,108,0.334413,0.360354,0.363313,1.086418,1.066399,1.104284,0.000500,0.627587,0.643587,0.638326,0.010739,1.754717,1.081336,0.980158,0.007996
gpt41mini_json,108,0.340240,0.357640,0.363859,1.069416,1.039138,1.098979,0.000500,0.638523,0.638741,0.639285,0.000763,1.847826,1.031527,0.974930,0.007996
gpt41mini_json_predout,108,0.228770,0.274579,0.283489,1.239190,1.206108,1.268800,0.000500,0.429328,0.490393,0.498079,0.068752,2.184135,1.365201,1.046779,0.007996
gpt41mini_resume,108,0.314540,0.342424,0.359680,1.143509,1.120682,1.165504,0.000500,0.590292,0.611565,0.631943,0.041651,3.649863,0.921641,1.051848,0.007996
gpt41mini_resume_json,108,0.283039,0.318345,0.356790,1.260568,1.214662,1.304178,0.000500,0.531174,0.568560,0.626867,0.095692,2.409886,1.243080,1.045182,0.007996
gpt41mini_finetune500,108,0.301508,0.321434,0.388143,1.287340,1.224002,1.347284,0.000500,0.565834,0.574077,0.681952,0.116118,1.947747,1.541276,1.049720,0.007996
gpt41_json,108,0.349403,0.350804,0.367424,1.051576,1.033938,1.066801,0.000500,0.655717,0.626532,0.645549,-0.010168,1.155340,1.092529,1.000228,0.007996
gpt41_json_predout,108,0.333194,0.323974,0.332442,0.997744,0.978322,1.016284,0.767616,0.625299,0.578614,0.584088,-0.041210,0.929916,1.007035,1.005920,0.767616
gemini_flash25_texte,108,0.368582,0.436933,0.418520,1.135488,1.120063,1.147855,0.000500,0.691710,0.780357,0.735324,0.043614,3.165589,1.141154,0.979912,0.007996
