condition,partage_des_noeuds,densite_droite,densite_gauche,ratio_droite_gauche,noeuds_droite,noeuds_gauche,modalites_employees,ratio_effectifs_egaux,ic_bas,ic_haut,densite_droite_effectifs_egaux,densite_gauche_effectifs_egaux,taille_par_camp,tirages
humains vagues 1 a 3,brut,0.081745,0.141007,0.579726,33,17,50,0.539825,0.531009,0.549394,0.079169,0.146672,540,200
humains vagues 1 a 3,egalise,0.136345,0.141007,0.966942,17,17,50,0.894187,0.873734,0.914210,0.131135,0.146672,540,200
humains vagues 1 a 3,sans neutre,0.107340,0.173861,0.617390,25,15,50,0.579755,0.566974,0.592742,0.104707,0.180632,540,200
humains vague 4,brut,0.086957,0.141549,0.614325,33,17,50,0.567372,0.555505,0.577680,0.084281,0.148563,540,200
humains vague 4,egalise,0.145009,0.141549,1.024444,17,17,50,0.935376,0.911577,0.955203,0.138943,0.148563,540,200
humains vague 4,sans neutre,0.113180,0.174410,0.648932,25,15,50,0.603563,0.587867,0.620260,0.109998,0.182280,540,200
gpt41mini_defaut,brut,0.157843,0.268982,0.586817,33,17,49,0.523246,0.518594,0.528180,0.147059,0.281057,540,200
gpt41mini_defaut,egalise,0.246001,0.268982,0.914564,17,17,49,0.807547,0.800161,0.815318,0.226962,0.281057,540,200
gpt41mini_defaut,sans neutre,0.188486,0.341607,0.551764,25,15,49,0.493445,0.489361,0.498493,0.176128,0.356943,540,200
gpt41mini_demo_seules,brut,0.052923,0.247991,0.213406,33,17,38,0.209881,0.207327,0.212630,0.051212,0.244016,540,200
gpt41mini_demo_seules,egalise,0.062305,0.247991,0.251240,17,17,38,0.251154,0.247737,0.254704,0.061283,0.244016,540,200
gpt41mini_demo_seules,sans neutre,0.067486,0.306746,0.220004,25,15,38,0.217964,0.215520,0.220554,0.065682,0.301355,540,200
gpt41mini_demo_seules_spec,brut,0.052923,0.247991,0.213406,33,17,38,0.210182,0.206372,0.213355,0.051210,0.243664,540,200
gpt41mini_demo_seules_spec,egalise,0.062305,0.247991,0.251240,17,17,38,0.251526,0.246872,0.255500,0.061283,0.243664,540,200
gpt41mini_demo_seules_spec,sans neutre,0.067486,0.306746,0.220004,25,15,38,0.218243,0.214399,0.221436,0.065671,0.300929,540,200
gpt41mini_texte,brut,0.157843,0.268982,0.586817,33,17,49,0.523108,0.517973,0.528308,0.147026,0.281068,540,200
gpt41mini_texte,egalise,0.246001,0.268982,0.914564,17,17,49,0.807452,0.800687,0.815713,0.226944,0.281068,540,200
gpt41mini_texte,sans neutre,0.188486,0.341607,0.551764,25,15,49,0.493345,0.488875,0.498412,0.176099,0.356956,540,200
gpt41mini_texte_temp_defaut,brut,0.149106,0.258540,0.576723,33,17,50,0.501551,0.497684,0.505603,0.135943,0.271049,540,200
gpt41mini_texte_temp_defaut,egalise,0.245488,0.258540,0.949514,17,17,50,0.824112,0.816227,0.832011,0.223370,0.271049,540,200
gpt41mini_texte_temp_defaut,sans neutre,0.178907,0.327523,0.546243,25,15,50,0.478499,0.474276,0.483033,0.164333,0.343441,540,200
