jeu,camp,patrons,jeu_de_donnees
0,gauche,556,Twin-2K-500
0,centre,559,Twin-2K-500
0,droite,563,Twin-2K-500
1,gauche,490,Twin-2K-500
1,centre,503,Twin-2K-500
1,droite,512,Twin-2K-500
2,gauche,563,Twin-2K-500
2,centre,561,Twin-2K-500
2,droite,566,Twin-2K-500
3,gauche,520,Twin-2K-500
3,centre,528,Twin-2K-500
3,droite,542,Twin-2K-500
4,gauche,510,Twin-2K-500
4,centre,552,Twin-2K-500
4,droite,553,Twin-2K-500
5,gauche,502,Twin-2K-500
5,centre,519,Twin-2K-500
5,droite,544,Twin-2K-500
6,gauche,506,Twin-2K-500
6,centre,538,Twin-2K-500
6,droite,545,Twin-2K-500
7,gauche,393,Twin-2K-500
7,centre,423,Twin-2K-500
7,droite,395,Twin-2K-500
8,gauche,529,Twin-2K-500
8,centre,534,Twin-2K-500
8,droite,521,Twin-2K-500
9,gauche,413,Twin-2K-500
9,centre,417,Twin-2K-500
9,droite,404,Twin-2K-500
10,gauche,532,Twin-2K-500
10,centre,552,Twin-2K-500
10,droite,554,Twin-2K-500
11,gauche,536,Twin-2K-500
11,centre,541,Twin-2K-500
11,droite,531,Twin-2K-500
12,gauche,488,Twin-2K-500
12,centre,522,Twin-2K-500
12,droite,523,Twin-2K-500
13,gauche,532,Twin-2K-500
13,centre,536,Twin-2K-500
13,droite,537,Twin-2K-500
14,gauche,431,Twin-2K-500
14,centre,471,Twin-2K-500
14,droite,459,Twin-2K-500
15,gauche,411,Twin-2K-500
15,centre,418,Twin-2K-500
15,droite,413,Twin-2K-500
16,gauche,564,Twin-2K-500
16,centre,566,Twin-2K-500
16,droite,563,Twin-2K-500
17,gauche,566,Twin-2K-500
17,centre,566,Twin-2K-500
17,droite,566,Twin-2K-500
18,gauche,548,Twin-2K-500
18,centre,544,Twin-2K-500
18,droite,547,Twin-2K-500
19,gauche,518,Twin-2K-500
19,centre,509,Twin-2K-500
19,droite,520,Twin-2K-500
20,gauche,526,Twin-2K-500
20,centre,519,Twin-2K-500
20,droite,527,Twin-2K-500
