jeu,camp,patrons
0,gauche,289
0,centre,296
0,droite,282
1,gauche,229
1,centre,251
1,droite,267
2,gauche,256
2,centre,264
2,droite,275
3,gauche,228
3,centre,266
3,droite,273
4,gauche,274
4,centre,296
4,droite,288
5,gauche,278
5,centre,279
5,droite,277
6,gauche,276
6,centre,279
6,droite,251
7,gauche,220
7,centre,266
7,droite,257
8,gauche,249
8,centre,294
8,droite,286
9,gauche,275
9,centre,297
9,droite,296
10,gauche,177
10,centre,228
10,droite,261
11,gauche,237
11,centre,262
11,droite,274
12,gauche,294
12,centre,301
12,droite,303
13,gauche,183
13,centre,215
13,droite,209
14,gauche,258
14,centre,267
14,droite,252
15,gauche,224
15,centre,247
15,droite,228
16,gauche,219
16,centre,257
16,droite,259
17,gauche,260
17,centre,287
17,droite,294
18,gauche,237
18,centre,260
18,droite,274
19,gauche,254
19,centre,292
19,droite,296
20,gauche,287
20,centre,294
20,droite,302
21,gauche,179
21,centre,246
21,droite,250
22,gauche,244
22,centre,264
22,droite,263
23,gauche,286
23,centre,291
23,droite,276
24,gauche,253
24,centre,266
24,droite,274
25,gauche,281
25,centre,278
25,droite,275
26,gauche,286
26,centre,298
26,droite,297
27,gauche,224
27,centre,273
27,droite,286
28,gauche,277
28,centre,282
28,droite,283
29,gauche,136
29,centre,177
29,droite,214
30,gauche,277
30,centre,286
30,droite,281
31,gauche,234
31,centre,272
31,droite,281
32,gauche,235
32,centre,255
32,droite,248
33,gauche,272
33,centre,292
33,droite,267
34,gauche,231
34,centre,265
34,droite,266
35,gauche,270
35,centre,286
35,droite,289
36,gauche,259
36,centre,273
36,droite,258
37,gauche,149
37,centre,216
37,droite,247
38,gauche,237
38,centre,272
38,droite,280
39,gauche,223
39,centre,265
39,droite,239
40,gauche,297
40,centre,293
40,droite,278
41,gauche,197
41,centre,274
41,droite,247
42,gauche,264
42,centre,275
42,droite,266
43,gauche,157
43,centre,252
43,droite,257
44,gauche,184
44,centre,219
44,droite,245
45,gauche,202
45,centre,280
45,droite,281
46,gauche,263
46,centre,268
46,droite,268
47,gauche,260
47,centre,269
47,droite,292
48,gauche,290
48,centre,296
48,droite,296
49,gauche,277
49,centre,279
49,droite,284
50,gauche,251
50,centre,284
50,droite,263
51,gauche,289
51,centre,288
51,droite,284
52,gauche,124
52,centre,175
52,droite,207
53,gauche,293
53,centre,284
53,droite,279
54,gauche,241
54,centre,254
54,droite,273
55,gauche,243
55,centre,278
55,droite,272
56,gauche,280
56,centre,289
56,droite,285
57,gauche,274
57,centre,287
57,droite,299
58,gauche,261
58,centre,287
58,droite,290
59,gauche,229
59,centre,250
59,droite,250
60,gauche,280
60,centre,293
60,droite,287
61,gauche,274
