item,domaine,bloc,retenu,n_gauche,n_droite,gs_gauche,gs_centre,gs_droite,ratio_droite_gauche,ic_bas,ic_haut,p_permutation,p_holm,p_bh
QID25_1,personnalite,Personality,True,909.000000,567.000000,0.778388,0.768180,0.775921,0.996830,0.978371,1.012628,0.718914,1.000000,0.809277
QID25_2,personnalite,Personality,True,909.000000,567.000000,0.760808,0.765643,0.766516,1.007503,0.987514,1.024585,0.445278,1.000000,0.609380
QID25_3,personnalite,Personality,True,909.000000,567.000000,0.597857,0.580679,0.544244,0.910326,0.852102,0.964344,0.000700,0.333883,0.003181
QID25_4,personnalite,Personality,True,909.000000,567.000000,0.770988,0.730102,0.702781,0.911533,0.877828,0.943737,0.000050,0.030448,0.000350
QID25_5,personnalite,Personality,True,909.000000,567.000000,0.700048,0.708152,0.685799,0.979646,0.937882,1.019040,0.298535,1.000000,0.455659
QID25_6,personnalite,Personality,True,909.000000,567.000000,0.757014,0.717829,0.728133,0.961849,0.929328,0.992862,0.006450,1.000000,0.021582
QID25_7,personnalite,Personality,True,909.000000,567.000000,0.630903,0.653418,0.621092,0.984448,0.941110,1.026793,0.465677,1.000000,0.626916
QID25_8,personnalite,Personality,True,909.000000,567.000000,0.757457,0.758350,0.716941,0.946510,0.921050,0.970733,0.000050,0.030448,0.000350
QID25_9,personnalite,Personality,True,909.000000,567.000000,0.778490,0.760639,0.725983,0.932553,0.903638,0.958102,0.000050,0.030448,0.000350
QID25_10,personnalite,Personality,True,909.000000,567.000000,0.523795,0.583631,0.629237,1.201303,1.134732,1.276335,0.000050,0.030448,0.000350
QID25_11,personnalite,Personality,True,909.000000,567.000000,0.774514,0.760373,0.755118,0.974958,0.951871,0.994756,0.013549,1.000000,0.039862
QID25_12,personnalite,Personality,True,909.000000,567.000000,0.545415,0.545765,0.528571,0.969117,0.885661,1.054705,0.472126,1.000000,0.630537
QID25_13,personnalite,Personality,True,909.000000,567.000000,0.562665,0.517102,0.483039,0.858485,0.789736,0.925744,0.000050,0.030448,0.000350
