famille,hypothese,comparaison,condition,perimetre,difference,ic_bas,ic_haut,p_bootstrap,p_holm,p_bh
primaire,H1a deplacement dans la famille,contre les humains vague 2,agents composite,1052,0.069134,0.022437,0.116437,0.003500,0.136500,0.011813
primaire,H2a rarete modale du segment,contre les humains vague 2,agents composite,1052,-0.025057,-0.071510,0.022831,0.290000,1.000000,0.455143
primaire,H3 position extreme,contre les vraies raretes humaines,agents composite,1052,0.006864,-0.014990,0.028402,0.542000,1.000000,0.723073
primaire,H5 rarete du contexte,fausses raretes contre raretes justes,agents composite,1052,-0.005579,-0.007913,-0.003288,0.000250,0.013500,0.000964
secondaire,H1b exces de rarete de la personne,contre le temoin aveugle a la personne,agents composite,1052,0.007623,0.006209,0.009171,0.000250,0.006500,0.000433
secondaire,H2b exces de rarete du segment,contre le temoin aveugle a la personne,agents composite,1052,0.032943,0.028748,0.037166,0.000250,0.006500,0.000433
primaire,H1a deplacement dans la famille,contre les humains vague 2,agents entretien (v3),1052,0.016735,-0.033651,0.067280,0.507000,1.000000,0.702000
primaire,H2a rarete modale du segment,contre les humains vague 2,agents entretien (v3),1052,-0.002755,-0.047617,0.042712,0.908500,1.000000,1.000000
primaire,H3 position extreme,contre les vraies raretes humaines,agents entretien (v3),1052,0.006443,-0.014961,0.027794,0.549000,1.000000,0.723073
primaire,H5 rarete du contexte,fausses raretes contre raretes justes,agents entretien (v3),1052,-0.008155,-0.010527,-0.005800,0.000250,0.013500,0.000964
secondaire,H1b exces de rarete de la personne,contre le temoin aveugle a la personne,agents entretien (v3),1052,0.003832,0.002629,0.005145,0.000250,0.006500,0.000433
secondaire,H2b exces de rarete du segment,contre le temoin aveugle a la personne,agents entretien (v3),1052,0.035707,0.031593,0.039783,0.000250,0.006500,0.000433
primaire,H1a deplacement dans la famille,contre les humains vague 2,agents enquete,1052,0.047652,-0.004494,0.097363,0.076500,1.000000,0.147536
primaire,H2a rarete modale du segment,contre les humains vague 2,agents enquete,1052,-0.038349,-0.082518,0.003257,0.071000,1.000000,0.142000
primaire,H3 position extreme,contre les vraies raretes humaines,agents enquete,1052,-0.020778,-0.051416,0.009885,0.180000,1.000000,0.294545
primaire,H5 rarete du contexte,fausses raretes contre raretes justes,agents enquete,1052,-0.010853,-0.013858,-0.007959,0.000250,0.013500,0.000964
secondaire,H1b exces de rarete de la personne,contre le temoin aveugle a la personne,agents enquete,1052,0.007175,0.005956,0.008459,0.000250,0.006500,0.000433
secondaire,H2b exces de rarete du segment,contre le temoin aveugle a la personne,agents enquete,1052,0.032320,0.028065,0.036675,0.000250,0.006500,0.000433
primaire,H1a deplacement dans la famille,contre les humains vague 2,agents demographiques (v6),1052,-0.182498,-0.252970,-0.109539,0.000250,0.013500,0.000964
primaire,H2a rarete modale du segment,contre les humains vague 2,agents demographiques (v6),1052,0.051837,0.003689,0.098227,0.036500,1.000000,0.082125
primaire,H3 position extreme,contre les vraies raretes humaines,agents demographiques (v6),1052,-0.045457,-0.082925,-0.009016,0.013000,0.429000,0.031909
primaire,H5 rarete du contexte,fausses raretes contre raretes justes,agents demographiques (v6),1052,-0.003214,-0.005537,-0.000858,0.005000,0.185000,0.015000
secondaire,H1b exces de rarete de la personne,contre le temoin aveugle a la personne,agents demographiques (v6),1052,0.002182,0.000882,0.003455,0.001500,0.016500,0.002294
secondaire,H2b exces de rarete du segment,contre le temoin aveugle a la personne,agents demographiques (v6),1052,0.007499,0.002984,0.012180,0.001500,0.016500,0.002294
primaire,H1a deplacement dans la famille,contre les humains vague 2,agents v7,1052,-0.085505,-0.150547,-0.021168,0.009500,0.332500,0.025650
primaire,H2a rarete modale du segment,contre les humains vague 2,agents v7,1052,0.064169,0.017261,0.109920,0.006000,0.216000,0.017053
primaire,H3 position extreme,contre les vraies raretes humaines,agents v7,1052,-0.036122,-0.076773,0.002973,0.064000,1.000000,0.132923
primaire,H5 rarete du contexte,fausses raretes contre raretes justes,agents v7,1052,-0.008771,-0.013946,-0.003710,0.000250,0.013500,0.000964
