perimetre,condition,quintile,raretes_osees,taux_fausses_raretes,rarete_contexte_moyenne
1052,agents composite,1,653,0.615620,0.009723
1052,agents composite,2,678,0.657817,0.019888
1052,agents composite,3,748,0.636364,0.027990
1052,agents composite,4,1295,0.653282,0.039851
1052,agents composite,5,2046,0.570381,0.075276
1052,agents entretien (v3),1,868,0.728111,0.009233
1052,agents entretien (v3),2,757,0.694848,0.020075
1052,agents entretien (v3),3,846,0.677305,0.028244
1052,agents entretien (v3),4,1393,0.667624,0.039841
1052,agents entretien (v3),5,1944,0.578189,0.073418
1052,agents enquete,1,607,0.733114,0.008817
1052,agents enquete,2,670,0.767164,0.019240
1052,agents enquete,3,831,0.760529,0.027419
1052,agents enquete,4,1315,0.715589,0.039330
1052,agents enquete,5,2217,0.645467,0.075178
1052,agents demographiques (v6),1,409,0.515892,0.009193
1052,agents demographiques (v6),2,332,0.620482,0.019497
1052,agents demographiques (v6),3,400,0.575000,0.027505
1052,agents demographiques (v6),4,635,0.622047,0.039615
1052,agents demographiques (v6),5,805,0.551553,0.071537
1052,agents v7,1,418,0.811005,0.008529
1052,agents v7,2,428,0.871495,0.018338
1052,agents v7,3,467,0.839400,0.026845
1052,agents v7,4,773,0.842173,0.038361
1052,agents v7,5,853,0.746776,0.070486
1052,agents v8,1,841,0.879905,0.008919
1052,agents v8,2,941,0.875664,0.019697
1052,agents v8,3,955,0.853403,0.027796
1052,agents v8,4,1694,0.853601,0.039102
1052,agents v8,5,2178,0.753903,0.073252
1052,B0 tirage,1,1023,0.883675,0.008599
1052,B0 tirage,2,880,0.920455,0.018836
1052,B0 tirage,3,900,0.906667,0.027115
1052,B0 tirage,4,1428,0.894258,0.038763
1052,B0 tirage,5,1468,0.841962,0.069964
1052,B1 argmax,1,207,0.652174,0.009563
1052,B1 argmax,2,201,0.701493,0.019416
1052,B1 argmax,3,241,0.701245,0.027772
1052,B1 argmax,4,381,0.706037,0.039071
1052,B1 argmax,5,466,0.658798,0.072533
1052,B2 argmax,1,28,0.357143,0.008083
1052,B2 argmax,2,35,0.428571,0.018445
1052,B2 argmax,3,43,0.348837,0.025588
1052,B2 argmax,4,88,0.352273,0.037881
1052,B2 argmax,5,223,0.363229,0.081929
1052,B3 foret,1,43,0.441860,0.011250
1052,B3 foret,2,37,0.405405,0.023007
1052,B3 foret,3,30,0.333333,0.031167
1052,B3 foret,4,50,0.540000,0.041654
1052,B3 foret,5,47,0.510638,0.073716
1052,humains vague 2,1,707,0.394625,0.008893
1052,humains vague 2,2,705,0.422695,0.018899
1052,humains vague 2,3,834,0.438849,0.027070
1052,humains vague 2,4,1381,0.403331,0.039286
1052,humains vague 2,5,2272,0.414613,0.074296
150,agents composite,1,80,0.650000,0.006182
150,agents composite,2,115,0.782609,0.016764
150,agents composite,3,126,0.714286,0.026650
150,agents composite,4,183,0.693989,0.039272
150,agents composite,5,240,0.645833,0.082118
