perimetre,condition,lift_personne,lift_segment,rapport_segment_sur_personne
1052,B0 mode,,,
1052,B0 tirage,-0.020636,-0.019270,
1052,B1 argmax,0.095299,0.503242,5.280655
1052,B2 argmax,0.549378,0.613533,1.116778
1052,B3 foret,0.099164,0.811055,8.178912
1052,agents composite,0.211647,0.343271,1.621902
1052,agents demographiques (v6),0.060768,0.066306,1.091128
1052,agents enquete,0.198810,0.378088,1.901756
1052,agents entretien (v3),0.106314,0.388166,3.651130
1052,agents v7,0.022258,0.063898,2.870811
1052,agents v8,0.100792,0.742779,7.369400
1052,humains vague 2,0.240825,0.135148,0.561188
150,C2,0.071751,0.319024,4.446269
150,C3,0.105291,0.045933,0.436247
150,humains vague 2,0.282579,0.112382,0.397702
