condition,seuil_p_max,raretes_osees,raretes_justes,rappel,precision,taux_fausses_raretes,masse_predite,f1
C2,0.000000,966,96,0.128514,0.099379,0.836439,0.043221,0.112084
C2,0.500000,947,96,0.128514,0.101373,0.837381,0.042371,0.113341
C2,0.800000,793,82,0.109772,0.103405,0.833544,0.035481,0.106494
C2,0.900000,735,79,0.105756,0.107483,0.831293,0.032886,0.106613
C2,0.950000,677,75,0.100402,0.110783,0.827179,0.030291,0.105337
C2,0.990000,548,69,0.092369,0.125912,0.821168,0.024519,0.106564
C2,0.999000,382,48,0.064257,0.125654,0.853403,0.017092,0.085031
C3,0.000000,1247,164,0.219545,0.131516,0.805132,0.055794,0.164493
C3,0.500000,1190,163,0.218206,0.136975,0.812605,0.053244,0.168301
C3,0.800000,971,145,0.194110,0.149331,0.811535,0.043445,0.168801
C3,0.900000,861,137,0.183400,0.159117,0.809524,0.038523,0.170398
C3,0.950000,783,124,0.165997,0.158365,0.816092,0.035034,0.162092
C3,0.990000,607,109,0.145917,0.179572,0.807249,0.027159,0.161004
C3,0.999000,441,91,0.121821,0.206349,0.791383,0.019732,0.153199
