perimetre,seuil,condition,raretes_osees,fausses_raretes,raretes_justes,mauvaise_modalite_rare,mecanisme,cellules,valeur,ic_bas,ic_haut,temoin,exces,valeur_raretes_justes,cellules_justes,hors_nomenclature
150,0.100000,agents composite,744,514,190,40,H1a deplacement dans la famille,215,0.502326,0.386358,0.612753,0.281891,0.220434,0.808219,73,
150,0.100000,agents composite,744,514,190,40,H2a rarete modale du segment,144,0.541667,0.455114,0.622517,0.295611,0.246056,0.408163,49,
150,0.100000,agents composite,744,514,190,40,H3 position extreme,514,0.677043,0.632478,0.718167,0.679487,-0.002444,0.652632,190,12.000000
150,0.100000,agents composite,744,514,190,40,H5 rarete du contexte,514,0.041880,0.035152,0.049298,0.033075,0.008805,0.051099,190,
150,0.100000,agents composite,744,514,190,40,H1b exces de rarete de la personne,514,0.041434,0.034654,0.048644,0.033011,0.008424,0.050213,190,
150,0.100000,agents composite,744,514,190,40,H2b exces de rarete du segment,514,0.112518,0.102488,0.122646,0.094423,0.018095,0.093721,190,
150,0.100000,agents entretien (v3),819,588,191,40,H1a deplacement dans la famille,262,0.427481,0.318772,0.534884,0.295369,0.132112,0.650000,80,
150,0.100000,agents entretien (v3),819,588,191,40,H2a rarete modale du segment,173,0.526012,0.455554,0.595967,0.305908,0.220103,0.383333,60,
150,0.100000,agents entretien (v3),819,588,191,40,H3 position extreme,588,0.702381,0.656357,0.742269,0.698451,0.003930,0.623037,191,56.000000
150,0.100000,agents entretien (v3),819,588,191,40,H5 rarete du contexte,588,0.036333,0.030976,0.042386,0.033173,0.003161,0.049381,191,
150,0.100000,agents entretien (v3),819,588,191,40,H1b exces de rarete de la personne,588,0.036565,0.031114,0.042583,0.032994,0.003570,0.048642,191,
150,0.100000,agents entretien (v3),819,588,191,40,H2b exces de rarete du segment,588,0.121719,0.111210,0.132343,0.096837,0.024883,0.116006,191,
150,0.100000,agents enquete,798,592,143,63,H1a deplacement dans la famille,180,0.444444,0.341764,0.535003,0.253037,0.191407,0.788732,71,
150,0.100000,agents enquete,798,592,143,63,H2a rarete modale du segment,184,0.494565,0.431691,0.557294,0.249560,0.245006,0.388889,36,
150,0.100000,agents enquete,798,592,143,63,H3 position extreme,592,0.599662,0.552290,0.643082,0.610405,-0.010742,0.748252,143,33.000000
150,0.100000,agents enquete,798,592,143,63,H5 rarete du contexte,592,0.039707,0.033890,0.045879,0.033457,0.006250,0.056987,143,
150,0.100000,agents enquete,798,592,143,63,H1b exces de rarete de la personne,592,0.039388,0.033603,0.045423,0.033055,0.006333,0.056795,143,
150,0.100000,agents enquete,798,592,143,63,H2b exces de rarete du segment,592,0.112697,0.100865,0.125491,0.087838,0.024860,0.112610,143,
150,0.100000,agents demographiques (v6),364,239,102,23,H1a deplacement dans la famille,58,0.310345,0.179478,0.454579,0.235402,0.074943,0.600000,5,
150,0.100000,agents demographiques (v6),364,239,102,23,H2a rarete modale du segment,124,0.588710,0.492060,0.680684,0.278783,0.309927,0.192308,78,
