item,famille_index,taille_famille,cousins_total,cousins_dans_le_bloc_secret,cousins_vus_par_C3,cousins_vus_par_C3F,items_contexte_C3,items_contexte_C3F
natspac/y,0,17,16,5,11,0,120,132
natenvir/y,0,17,16,2,14,0,119,132
natheal/y,0,17,16,2,14,0,119,132
natcity/y,0,17,16,1,15,0,119,132
natdrug/y,0,17,16,2,14,0,119,132
nateduc/y,0,17,16,2,14,0,119,132
natrace/y,0,17,16,5,11,0,120,132
natarms/y,0,17,16,2,14,0,119,132
nataid/y,0,17,16,2,14,0,119,132
natfare/y,0,17,16,5,11,0,120,132
natroad,0,17,16,2,14,0,119,132
natsoc,0,17,16,2,14,0,119,132
natmass,0,17,16,1,15,0,119,132
natpark,0,17,16,5,11,0,120,132
natchld,0,17,16,5,11,0,120,132
natsci,0,17,16,5,11,0,120,132
natenrgy,0,17,16,2,14,0,119,132
fehire,5,5,4,1,3,0,119,144
fechld,5,5,4,0,4,0,119,144
fepresch,5,5,4,1,3,0,119,144
fefam,5,5,4,0,4,0,120,144
fepol,5,5,4,0,4,0,119,144
conarmy,1,13,12,2,10,0,119,136
conbus,1,13,12,1,11,0,119,136
conclerg,1,13,12,2,10,0,119,136
coneduc,1,13,12,1,11,0,119,136
confed,1,13,12,4,8,0,119,136
confinan,1,13,12,1,11,0,119,136
conjudge,1,13,12,1,11,0,119,136
conlabor,1,13,12,4,8,0,119,136
conlegis,1,13,12,4,8,0,119,136
conmedic,1,13,12,2,10,0,119,136
conpress,1,13,12,4,8,0,119,136
consci,1,13,12,0,12,0,120,136
contv,1,13,12,4,8,0,119,136
spkath/y,3,11,10,3,7,0,119,138
colath,3,11,10,1,9,0,119,138
spkrac/y,3,11,10,3,7,0,119,138
colrac,3,11,10,3,7,0,119,138
librac/y,3,11,10,3,7,0,119,138
spkcom/y,3,11,10,0,10,0,119,138
colcom/y,3,11,10,2,8,0,120,138
libcom/y,3,11,10,0,10,0,119,138
spkhomo/y,3,11,10,1,9,0,119,138
colhomo,3,11,10,2,8,0,120,138
libhomo/y,3,11,10,2,8,0,120,138
abdefect,2,7,6,2,4,0,119,142
abnomore,2,7,6,2,4,0,119,142
abhlth,2,7,6,0,6,0,119,142
abpoor,2,7,6,2,4,0,119,142
abrape,2,7,6,0,6,0,120,142
absingle,2,7,6,1,5,0,119,142
abany,2,7,6,1,5,0,119,142
letdie1,4,5,4,1,3,0,119,144
suicide1,4,5,4,1,3,0,119,144
suicide2,4,5,4,1,3,0,119,144
suicide3,4,5,4,0,4,0,119,144
suicide4,4,5,4,1,3,0,119,144
