condition,cellules,cellules_predites,refus,exactitude,exactitude_ic_bas,exactitude_ic_haut,cellules_minoritaires_reelles,raretes_osees,raretes_justes,fausses_raretes,mauvaise_modalite_rare,rappel,rappel_ic_bas,rappel_ic_haut,precision,precision_ic_bas,precision_ic_haut,f1,taux_fausses_raretes,tfr_ic_bas,tfr_ic_haut,masse_predite,masse_humaine,part_diversite_humaine,accord_par_paires,h_personne_valeur,h_personne_ic_bas,h_personne_ic_haut,h_personne_temoin,h_personne_lift,h_personne_lift_ic_bas,h_personne_lift_ic_haut,h_segment_valeur,h_segment_ic_bas,h_segment_ic_haut,h_segment_temoin,h_segment_lift,h_segment_lift_ic_bas,h_segment_lift_ic_haut,rapport_groupe_sur_personne,rapport_ic_bas,rapport_ic_haut,h2a_cellules,h2a_valeur,h2a_ic_bas,h2a_ic_haut,p_max_moyen_fausses_raretes
C3F,3480,3480,0,0.557184,0.531609,0.582191,93,143,19,124,0,0.204301,0.119400,0.283333,0.132867,0.067227,0.208863,0.161017,0.867133,0.791137,0.932773,0.041092,0.026724,0.589760,0.711913,0.038742,0.030314,0.047738,0.035715,0.084779,-0.041004,0.210014,0.057987,0.045325,0.072739,0.052768,0.098908,-0.043117,0.242036,1.166663,-9.171378,10.784660,0,,,,0.902208
C3,3480,3480,0,0.619540,0.589648,0.647701,93,115,20,95,0,0.215054,0.093750,0.330579,0.173913,0.071429,0.284554,0.192308,0.826087,0.715446,0.928571,0.033046,0.026724,0.658235,0.692256,0.041394,0.031228,0.052134,0.035680,0.160133,0.013227,0.287920,0.071449,0.057785,0.087720,0.059746,0.195888,0.059760,0.328388,1.223284,0.217001,8.304916,0,,,,0.931690
C2,3480,3480,0,0.565517,0.537356,0.593103,93,104,17,87,0,0.182796,0.076087,0.287234,0.163462,0.079206,0.287237,0.172589,0.836538,0.712763,0.920794,0.029885,0.026724,0.725542,0.666959,0.043336,0.026013,0.063426,0.035689,0.214275,-0.208019,0.696433,0.168141,0.111182,0.205953,0.064823,1.593861,0.949278,2.102262,7.438379,-63.420797,78.017980,0,,,,0.918211
agents composite,3480,3480,0,0.672701,0.642241,0.701437,93,95,24,71,0,0.258065,0.101449,0.400000,0.252632,0.107131,0.383346,0.255319,0.747368,0.616654,0.892869,0.027299,0.026724,0.910455,0.566063,0.050723,0.033486,0.069103,0.035670,0.422029,0.065053,0.749215,0.126810,0.093678,0.159067,0.072051,0.759994,0.419402,1.101950,1.800812,0.665408,8.921263,0,,,,
agents enquete,3480,3480,0,0.667816,0.641092,0.693391,93,99,28,71,0,0.301075,0.121611,0.448837,0.282828,0.121611,0.405675,0.291667,0.717172,0.594325,0.878389,0.028448,0.026724,0.859663,0.596805,0.045299,0.029097,0.064084,0.035700,0.268882,-0.080822,0.631600,0.119445,0.082714,0.157895,0.063659,0.876334,0.416729,1.321832,3.259173,-31.691473,39.836330,0,,,,
agents entretien (v3),3480,3478,2,0.649799,0.621979,0.676724,93,126,30,96,0,0.322581,0.138882,0.489136,0.238095,0.106187,0.377560,0.273973,0.761905,0.622440,0.893813,0.036207,0.026724,0.868106,0.598571,0.043145,0.029216,0.059329,0.035637,0.210665,-0.073379,0.503720,0.130817,0.096794,0.166672,0.076765,0.704112,0.366319,1.085892,3.342334,-21.986399,32.190841,0,,,,
agents demographiques (v6),3480,3480,0,0.609195,0.581322,0.636789,93,16,2,14,0,0.021505,0.000000,0.054795,0.125000,0.000000,0.333333,0.036697,0.875000,0.666667,1.000000,0.004598,0.026724,0.610255,0.715108,0.033301,0.019231,0.058402,0.035690,-0.066937,-0.430055,0.571770,0.116050,0.056311,0.159400,0.070600,0.643778,-0.165179,1.178913,,-31.204543,31.856497,0,,,,
agents v7,3480,3480,0,0.608908,0.579310,0.637069,93,44,3,41,0,0.032258,0.000000,0.073171,0.068182,0.000000,0.166667,0.043796,0.931818,0.833333,1.000000,0.012644,0.026724,0.575553,0.744078,0.042024,0.021520,0.062537,0.035679,0.177829,-0.370559,0.683850,0.071535,0.056212,0.088400,0.064577,0.107743,-0.129461,0.356221,0.605877,-2.956895,3.604006,0,,,,
agents v8,3480,3476,4,0.597238,0.562356,0.631912,93,186,29,157,0,0.311828,0.157292,0.460526,0.155914,0.083333,0.257812,0.207885,0.844086,0.742188,0.916667,0.053448,0.026724,0.957585,0.551540,0.036495,0.023457,0.052553,0.035655,0.023557,-0.285467,0.390281,0.156830,0.123685,0.185156,0.069403,1.259713,0.937517,1.601051,53.474852,-102.971537,119.019807,0,,,,
B0 mode,3480,3480,0,0.637644,0.610632,0.662644,93,0,0,0,0,0.000000,0.000000,0.000000,,,,0.000000,,,,0.000000,0.026724,0.015859,0.991233,,,,,,,,,,,,,,,,,,0,,,,
B0 tirage,3480,3480,0,0.521552,0.501149,0.540805,93,92,5,87,0,0.053763,0.014085,0.098765,0.054348,0.012195,0.104174,0.054054,0.945652,0.895826,0.987805,0.026437,0.026724,1.001765,0.527411,0.036036,0.025425,0.049114,0.035622,0.011628,-0.202802,0.234542,0.070757,0.056594,0.086462,0.073318,-0.034930,-0.186848,0.112893,-3.003993,-8.189352,9.600954,0,,,,
B1 argmax,3480,3480,0,0.648563,0.619828,0.676149,93,20,3,17,0,0.032258,0.000000,0.086538,0.150000,0.000000,0.450000,0.053097,0.850000,0.550000,1.000000,0.005747,0.026724,0.711499,0.666959,0.023847,0.010668,0.042133,0.035519,-0.328609,-0.696214,0.155473,0.193430,0.145213,0.251550,0.078597,1.461052,0.928897,2.108653,,-43.374550,42.640460,0,,,,
B2 argmax,3480,3480,0,0.708621,0.678736,0.736501,93,9,4,5,0,0.043011,0.000000,0.089561,0.444444,0.000000,0.666667,0.078431,0.555556,0.333333,1.000000,0.002586,0.026724,0.622569,0.704880,0.062162,0.013514,0.155405,0.035631,0.744627,-0.557418,2.770359,0.132493,0.019868,0.187500,0.075324,0.758969,-0.689937,1.622008,1.019260,-11.332703,13.523559,0,,,,
B2 famille retiree,3480,3480,0,0.682184,0.654878,0.709195,93,4,1,3,0,0.010753,0.000000,0.028846,0.250000,0.000000,1.000000,0.020619,0.750000,0.000000,1.000000,0.001149,0.026724,0.617042,0.707471,0.029279,0.013514,0.040541,0.035623,-0.178082,-0.633028,0.235698,0.175179,0.150538,0.210227,0.076400,1.292912,0.696373,2.262592,,-76.764013,68.362919,0,,,,
B3 foret,3480,3480,0,0.662356,0.634476,0.689368,93,4,1,3,0,0.010753,0.000000,0.037500,0.250000,0.000000,1.000000,0.020619,0.750000,0.000000,1.000000,0.001149,0.026724,0.480807,0.766180,0.024775,0.013514,0.047297,0.035586,-0.303797,-0.662921,0.498216,0.405556,0.400000,0.408333,0.074295,4.458753,3.082655,6.114728,,-56.968980,39.628240,0,,,,
humains vague 2,3480,3480,0,0.777299,0.747126,0.804885,93,60,30,30,0,0.322581,0.224987,0.409524,0.500000,0.346939,0.636364,0.392157,0.500000,0.363636,0.653061,0.017241,0.026724,0.977101,0.537103,0.055180,0.036317,0.072074,0.035627,0.548836,0.167340,0.882221,0.103318,0.075382,0.135326,0.070247,0.470781,0.135539,0.828461,0.857781,0.220528,2.742695,0,,,,
