perimetre,condition,partition,tercile,fausses_raretes,valeur_personne,temoin_personne,lift_personne,valeur_groupe,temoin_groupe,lift_groupe,rapport_groupe_sur_personne
1052,agents composite,D_seg segment,T1 non deductible,903,0.044312,0.036018,0.230268,0.101013,0.096147,0.050611,0.219792
1052,agents composite,D_seg segment,T2 intermediaire,946,0.038176,0.035979,0.061075,0.111576,0.101919,0.094755,1.551444
1052,agents composite,D_seg segment,T3 deductible,1052,0.045159,0.036039,0.253058,0.150301,0.093086,0.614644,2.428868
1052,agents composite,D_seg segment,ensemble,3337,0.043643,0.036019,0.211647,0.128910,0.095967,0.343271,1.621902
1052,agents composite,D_logit regression,T1 non deductible,964,0.042195,0.035966,0.173175,0.104221,0.103805,0.004001,0.023101
1052,agents composite,D_logit regression,T2 intermediaire,1190,0.042766,0.036044,0.186507,0.115945,0.092312,0.256006,1.372636
1052,agents composite,D_logit regression,T3 deductible,1183,0.045704,0.036037,0.268229,0.162071,0.093257,0.737898,2.751004
1052,agents composite,D_logit regression,ensemble,3337,0.043643,0.036019,0.211647,0.128910,0.095967,0.343271,1.621902
1052,agents entretien (v3),D_seg segment,T1 non deductible,1051,0.039589,0.036049,0.098204,0.096040,0.091566,0.048864,0.497578
1052,agents entretien (v3),D_seg segment,T2 intermediaire,1036,0.035636,0.036032,-0.010998,0.103659,0.094025,0.102467,
1052,agents entretien (v3),D_seg segment,T3 deductible,1254,0.040212,0.036042,0.115710,0.157270,0.092664,0.697212,6.025510
1052,agents entretien (v3),D_seg segment,ensemble,3785,0.039878,0.036046,0.106314,0.127697,0.091990,0.388166,3.651130
1052,agents entretien (v3),D_logit regression,T1 non deductible,1107,0.037501,0.036061,0.039918,0.090055,0.089717,0.003772,0.094484
1052,agents entretien (v3),D_logit regression,T2 intermediaire,1266,0.040023,0.036047,0.110287,0.116057,0.091805,0.264162,2.395232
1052,agents entretien (v3),D_logit regression,T3 deductible,1412,0.041612,0.036033,0.154846,0.167645,0.093937,0.784647,5.067281
1052,agents entretien (v3),D_logit regression,ensemble,3785,0.039878,0.036046,0.106314,0.127697,0.091990,0.388166,3.651130
1052,agents enquete,D_seg segment,T1 non deductible,1469,0.042371,0.036243,0.169072,0.068335,0.062779,0.088502,0.523457
1052,agents enquete,D_seg segment,T2 intermediaire,975,0.039716,0.035966,0.104256,0.115100,0.103809,0.108763,1.043235
1052,agents enquete,D_seg segment,T3 deductible,1042,0.044373,0.036007,0.232324,0.161450,0.097707,0.652388,2.808090
1052,agents enquete,D_seg segment,ensemble,3963,0.043265,0.036090,0.198810,0.117804,0.085483,0.378088,1.901756
1052,agents enquete,D_logit regression,T1 non deductible,1681,0.041067,0.036197,0.134558,0.072633,0.069717,0.041828,0.310856
1052,agents enquete,D_logit regression,T2 intermediaire,1176,0.044005,0.036004,0.222218,0.126993,0.098169,0.293615,1.321294
1052,agents enquete,D_logit regression,T3 deductible,1106,0.045819,0.036019,0.272067,0.176688,0.095959,0.841289,3.092215
1052,agents enquete,D_logit regression,ensemble,3963,0.043265,0.036090,0.198810,0.117804,0.085483,0.378088,1.901756
1052,agents demographiques (v6),D_seg segment,T1 non deductible,525,0.037207,0.035924,0.035716,0.100280,0.110031,-0.088616,-2.481161
1052,agents demographiques (v6),D_seg segment,T2 intermediaire,406,0.037146,0.035951,0.033240,0.104411,0.106127,-0.016171,-0.486485
1052,agents demographiques (v6),D_seg segment,T3 deductible,422,0.038747,0.035816,0.081828,0.161140,0.125964,0.279255,3.412719
1052,agents demographiques (v6),D_seg segment,ensemble,1486,0.038085,0.035903,0.060768,0.120600,0.113101,0.066306,1.091128
1052,agents demographiques (v6),D_logit regression,T1 non deductible,549,0.038128,0.036033,0.058138,0.084754,0.093866,-0.097076,-1.669741
1052,agents demographiques (v6),D_logit regression,T2 intermediaire,521,0.037636,0.035879,0.048951,0.119851,0.116685,0.027133,0.554292
1052,agents demographiques (v6),D_logit regression,T3 deductible,416,0.038591,0.035762,0.079113,0.168847,0.133998,0.260066,3.287261
1052,agents demographiques (v6),D_logit regression,ensemble,1486,0.038085,0.035903,0.060768,0.120600,0.113101,0.066306,1.091128
1052,agents v7,D_seg segment,T1 non deductible,922,0.037272,0.036101,0.032446,0.076648,0.083895,-0.086376,-2.662118
1052,agents v7,D_seg segment,T2 intermediaire,642,0.033826,0.035981,-0.059905,0.099165,0.101569,-0.023671,
1052,agents v7,D_seg segment,T3 deductible,585,0.036024,0.035927,0.002701,0.144115,0.109543,0.315598,116.853025
1052,agents v7,D_seg segment,ensemble,2392,0.036820,0.036019,0.022258,0.102179,0.096042,0.063898,2.870811
1052,agents v7,D_logit regression,T1 non deductible,1132,0.037950,0.036105,0.051096,0.074964,0.083231,-0.099333,-1.944059
1052,agents v7,D_logit regression,T2 intermediaire,728,0.035529,0.035959,-0.011967,0.109023,0.104875,0.039549,
1052,agents v7,D_logit regression,T3 deductible,532,0.036184,0.035916,0.007463,0.150722,0.111213,0.355253,47.601925
1052,agents v7,D_logit regression,ensemble,2392,0.036820,0.036019,0.022258,0.102179,0.096042,0.063898,2.870811
1052,agents v8,D_seg segment,T1 non deductible,1086,0.038780,0.036146,0.072862,0.110368,0.077180,0.430003,5.901609
