perimetre,seuil,partition,tercile,borne_basse,borne_haute,cellules_minoritaires,score_moyen,plancher_segment,plancher_item,items_distincts
1052,0.100000,D_seg segment,T1 non deductible,0.000000,0.107143,1866,0.000000,0.000000,0.051687,70
1052,0.100000,D_seg segment,T2 intermediaire,0.000000,0.107143,1562,0.065695,0.065695,0.062409,67
1052,0.100000,D_seg segment,T3 deductible,0.000000,0.107143,1686,0.220358,0.220358,0.073437,60
1052,0.100000,D_seg segment,ensemble,0.000000,0.107143,5709,0.092714,0.092714,0.062262,70
1052,0.100000,D_logit regression,T1 non deductible,0.031744,0.104648,1903,0.014196,0.038846,0.049497,70
1052,0.100000,D_logit regression,T2 intermediaire,0.031744,0.104648,1903,0.062074,0.075884,0.064260,68
1052,0.100000,D_logit regression,T3 deductible,0.031744,0.104648,1903,0.250741,0.166992,0.073029,65
1052,0.100000,D_logit regression,ensemble,0.031744,0.104648,5709,0.109004,0.092714,0.062262,70
1052,0.200000,D_seg segment,T1 non deductible,0.081081,0.200000,5518,0.025439,0.025439,0.096124,101
1052,0.200000,D_seg segment,T2 intermediaire,0.081081,0.200000,5939,0.142424,0.142424,0.132788,94
1052,0.200000,D_seg segment,T3 deductible,0.081081,0.200000,5080,0.334445,0.334445,0.152986,87
1052,0.200000,D_seg segment,ensemble,0.081081,0.200000,18411,0.162376,0.162376,0.126562,101
1052,0.200000,D_logit regression,T1 non deductible,0.084770,0.212014,6137,0.039983,0.081391,0.095269,101
1052,0.200000,D_logit regression,T2 intermediaire,0.084770,0.212014,6137,0.141615,0.159325,0.136034,98
1052,0.200000,D_logit regression,T3 deductible,0.084770,0.212014,6137,0.377105,0.250066,0.148384,93
1052,0.200000,D_logit regression,ensemble,0.084770,0.212014,18411,0.186234,0.162376,0.126562,101
150,0.100000,D_seg segment,T1 non deductible,0.000000,0.090909,272,0.000000,0.000000,0.052426,66
150,0.100000,D_seg segment,T2 intermediaire,0.000000,0.090909,168,0.060854,0.060854,0.064304,57
150,0.100000,D_seg segment,T3 deductible,0.000000,0.090909,211,0.202519,0.202519,0.079338,51
150,0.100000,D_seg segment,ensemble,0.000000,0.090909,747,0.081344,0.081344,0.064179,69
150,0.100000,D_logit regression,T1 non deductible,0.028457,0.101176,249,0.012460,0.031699,0.046974,65
150,0.100000,D_logit regression,T2 intermediaire,0.028457,0.101176,249,0.059416,0.064680,0.066301,59
150,0.100000,D_logit regression,T3 deductible,0.028457,0.101176,249,0.234209,0.146896,0.079263,54
150,0.100000,D_logit regression,ensemble,0.028457,0.101176,747,0.102028,0.081344,0.064179,69
150,0.200000,D_seg segment,T1 non deductible,0.076923,0.192308,741,0.023444,0.023444,0.092343,98
150,0.200000,D_seg segment,T2 intermediaire,0.076923,0.192308,691,0.134594,0.134594,0.129836,87
150,0.200000,D_seg segment,T3 deductible,0.076923,0.192308,712,0.333206,0.333206,0.150234,80
150,0.200000,D_seg segment,ensemble,0.076923,0.192308,2414,0.162136,0.162136,0.123149,98
150,0.200000,D_logit regression,T1 non deductible,0.078107,0.207040,805,0.036375,0.072715,0.091031,98
150,0.200000,D_logit regression,T2 intermediaire,0.078107,0.207040,804,0.135232,0.153099,0.130554,90
150,0.200000,D_logit regression,T3 deductible,0.078107,0.207040,805,0.384230,0.261111,0.147872,84
150,0.200000,D_logit regression,ensemble,0.078107,0.207040,2414,0.185300,0.162136,0.123149,98
