perimetre,methode,famille,regime,conditionnement,exactitude,ic_bas,ic_haut,exactitude_normalisee,part_diversite_humaine,accord_par_paires,rappel_minoritaire,precision_minoritaire,f1_minoritaire,masse_predite,rapport_groupe_sur_personne,ratio_intra_ideologie,ratio_inter_ideologie,ratio_total_ideologie,n_items_dispersion_ideologie,ratio_intra_profil,ratio_inter_profil,ratio_total_profil,n_items_dispersion_profil
1052,humains vague 2,humains,humains,la personne elle meme,0.795002,0.789764,0.800107,1.000000,1.004264,0.490917,0.548257,0.530598,0.539283,0.037634,0.561188,1.002538,1.019257,1.003371,149,1.002115,1.025305,1.003371,149
1052,agents composite,modele de langage,modele de langage,entretien et questionnaire,0.683932,0.679919,0.688073,0.860290,0.895931,0.538555,0.306884,0.323247,0.314853,0.034578,1.621902,0.843243,2.156335,0.908683,149,0.846651,1.991986,0.908683,149
1052,agents entretien (v3),modele de langage,modele de langage,entretien,0.656493,0.652735,0.660347,0.825775,0.871007,0.559103,0.295323,0.290289,0.292785,0.037053,3.651130,0.764094,2.826088,0.866857,149,0.766666,2.616549,0.866857,149
1052,agents enquete,modele de langage,modele de langage,questionnaire,0.650988,0.647210,0.654841,0.818850,0.861045,0.553984,0.230513,0.233333,0.231915,0.035981,1.901756,0.792242,2.518529,0.878275,149,0.804134,2.173034,0.878275,149
1052,agents demographiques (v6),modele de langage,modele de langage,etiquette demographique,0.581787,0.577606,0.586050,0.731806,0.638504,0.677219,0.162375,0.359163,0.223643,0.016466,1.091128,0.651945,0.312117,0.635009,149,0.635660,0.623645,0.635009,149
1052,agents v7,modele de langage,modele de langage,persona,0.564014,0.559082,0.568939,0.709449,0.642055,0.683042,0.067262,0.130657,0.088807,0.018750,2.870811,0.647595,0.163403,0.623464,149,0.644131,0.262560,0.623464,149
1052,agents v8,modele de langage,modele de langage,etiquette demographique,0.559146,0.553895,0.563950,0.703326,0.806108,0.580152,0.171659,0.148283,0.159117,0.042163,7.369400,0.442486,8.130032,0.825609,149,0.498520,6.537736,0.825609,149
1052,E1 regression contexte argmax,regression sur contexte,esperance,119 items et 11 demographies,0.705872,0.702057,0.709631,0.887887,0.814325,0.576694,0.115782,0.453050,0.184431,0.009308,1.117093,0.796657,1.552152,0.834309,149,0.794900,1.522525,0.834309,149
1052,B2 argmax,hot deck,esperance,119 items,0.671709,0.667760,0.675754,0.844914,0.585272,0.694434,0.035733,0.489209,0.066601,0.002660,1.116778,0.537865,1.829804,0.602251,149,0.546108,1.582709,0.602251,149
1052,IM m=10 mode des m,imputation multiple,esperance,119 items et 11 demographies,0.687607,0.683930,0.691333,0.864912,0.849421,0.560678,0.127168,0.356057,0.187403,0.013008,1.099934,0.839340,1.371795,0.865876,149,0.839565,1.325343,0.865876,149
1052,B3 foret,foret sur demographies,esperance,11 demographies,0.633979,0.629941,0.638197,0.797456,0.494186,0.739776,0.014363,0.396135,0.027721,0.001321,8.178912,0.393913,2.781137,0.512885,149,0.388363,2.687478,0.512885,149
1052,B1 argmax,regression sur demographies,esperance,11 demographies,0.620856,0.616729,0.625118,0.780949,0.740354,0.624827,0.057979,0.221257,0.091881,0.009544,5.280655,0.638007,2.673368,0.739443,149,0.632783,2.602095,0.739443,149
1052,B0 mode,marginale,esperance,rien,0.593386,0.589054,0.597737,0.746395,0.033488,0.980670,0.000000,,0.000000,0.000000,,0.040114,-0.000335,0.038098,149,0.040242,0.000659,0.038098,149
1052,E2 regression contexte tirage,regression sur contexte,tirage,119 items et 11 demographies,0.620365,0.616837,0.623760,0.780331,0.992874,0.495228,0.160448,0.169379,0.164793,0.034501,1.491801,1.000266,0.892068,0.994874,149,1.003957,0.836246,0.994874,149
1052,PMM k=5,appariement sur moyenne predite,tirage,119 items et 11 demographies,0.667441,0.663798,0.671122,0.839546,0.965154,0.504115,0.213698,0.292706,0.247039,0.026590,1.253390,0.958128,1.343967,0.977357,149,0.958948,1.298851,0.977357,149
1052,PMM k=10,appariement sur moyenne predite,tirage,119 items et 11 demographies,0.668404,0.664531,0.672174,0.840758,0.962541,0.505471,0.212647,0.294589,0.246999,0.026291,1.249190,0.954786,1.354061,0.974685,149,0.955672,1.306711,0.974685,149
1052,hot deck k=5 tirage,hot deck,tirage,119 items,0.594081,0.590310,0.597801,0.747270,0.952882,0.516946,0.132072,0.155560,0.142857,0.030922,2.845566,0.957385,0.850721,0.952069,149,0.963554,0.751504,0.952069,149
1052,hot deck k=10 tirage,hot deck,tirage,119 items,0.585711,0.582144,0.589360,0.736741,0.955434,0.515437,0.117709,0.141206,0.128391,0.030361,4.322474,0.963210,0.799345,0.955043,149,0.968683,0.716851,0.955043,149
1052,B2 tirage,hot deck,tirage,119 items,0.575235,0.571669,0.578898,0.723565,0.954030,0.517211,0.109301,0.128633,0.118182,0.030948,4.329396,0.964761,0.699616,0.951547,149,0.971043,0.611069,0.951547,149
1052,B1 tirage,regression sur demographies,tirage,11 demographies,0.542584,0.539050,0.545998,0.682494,1.000304,0.492103,0.111753,0.110976,0.111363,0.036677,,1.001034,1.001020,1.001034,149,1.000406,1.011996,1.001034,149
1052,B0 tirage,marginale,tirage,rien,0.491828,0.489097,0.494553,0.618649,0.998971,0.493208,0.061657,0.061765,0.061711,0.036358,,1.051692,-0.008503,0.998855,149,1.056077,-0.000440,0.998855,149
150,humains vague 2,humains,humains,la personne elle meme,0.791499,0.776286,0.806265,1.000000,0.999071,0.492732,0.473896,0.448101,0.460638,0.035347,0.397702,0.998819,0.998456,0.998802,149,1.002281,0.936768,0.998802,149
150,agents composite,modele de langage,modele de langage,entretien et questionnaire,0.682461,0.670558,0.694364,0.862239,0.892295,0.539254,0.254351,0.255376,0.254863,0.033289,0.750984,0.854178,1.999604,0.906231,149,0.865569,1.631409,0.906231,149
150,agents entretien (v3),modele de langage,modele de langage,entretien,0.654228,0.643488,0.665772,0.826569,0.866593,0.561159,0.255689,0.233211,0.243934,0.036644,2.374618,0.777732,2.630508,0.861930,149,0.793472,2.082820,0.861930,149
150,agents enquete,modele de langage,modele de langage,questionnaire,0.645817,0.634273,0.657320,0.815941,0.856321,0.555142,0.191432,0.179198,0.185113,0.035705,1.477295,0.809313,2.251178,0.874838,149,0.817305,1.900890,0.874838,149
150,agents demographiques (v6),modele de langage,modele de langage,etiquette demographique,0.588680,0.577315,0.600537,0.743754,0.631003,0.679036,0.136546,0.280220,0.183618,0.016286,0.874935,0.650513,0.216523,0.630791,149,0.627360,0.691973,0.630791,149
150,agents v7,modele de langage,modele de langage,persona,0.568054,0.554315,0.581568,0.717694,0.640659,0.683945,0.058902,0.095861,0.072968,0.020537,1.104575,0.640088,0.217796,0.620897,149,0.633154,0.402312,0.620897,149
150,agents v8,modele de langage,modele de langage,etiquette demographique,0.565056,0.551766,0.578613,0.713906,0.788530,0.592159,0.141901,0.118436,0.129111,0.040045,13.065373,0.467099,7.808230,0.800712,149,0.513661,5.920007,0.800712,149
150,C2,modele de langage,modele de langage,etiquette demographique,0.526309,0.515793,0.536600,0.664952,0.653726,0.664118,0.128514,0.099379,0.112084,0.043221,4.446269,0.364637,6.893673,0.661345,149,0.430675,4.775149,0.661345,149
150,C3,modele de langage,modele de langage,"119 items, sans etiquette",0.581700,0.571766,0.591276,0.734935,0.674164,0.653254,0.219545,0.131516,0.164493,0.055794,0.436247,0.680760,0.724272,0.682737,149,0.692616,0.506560,0.682737,149
