perimetre,condition,item,derive_propre,derive_humaine,gs_gauche,gs_droite,log_ratio
1052 personnes,humains vague 1,natspac/y,0.041350,0.041350,0.605861,0.614039,0.013408
1052 personnes,humains vague 1,natenvir/y,-0.273289,-0.273289,0.251234,0.664780,0.973073
1052 personnes,humains vague 1,natheal/y,-0.328422,-0.328422,0.297593,0.548411,0.611300
1052 personnes,humains vague 1,natcity/y,0.032795,0.032795,0.578537,0.589251,0.018350
1052 personnes,humains vague 1,natdrug/y,-0.250000,-0.250000,0.466957,0.609544,0.266473
1052 personnes,humains vague 1,nateduc/y,-0.309411,-0.309411,0.329436,0.570324,0.548820
1052 personnes,humains vague 1,natrace/y,-0.068916,-0.068916,0.518435,0.592345,0.133274
1052 personnes,humains vague 1,natarms/y,-0.075095,-0.075095,0.536040,0.632166,0.164943
1052 personnes,humains vague 1,nataid/y,0.317966,0.317966,0.572726,0.249463,-0.831097
1052 personnes,humains vague 1,natfare/y,-0.308460,-0.308460,0.285764,0.619790,0.774216
1052 personnes,humains vague 1,natroad,-0.219582,-0.219582,0.554464,0.545718,-0.015900
1052 personnes,humains vague 1,natsoc,-0.320342,-0.320342,0.426282,0.492684,0.144766
1052 personnes,humains vague 1,natmass,-0.157795,-0.157795,0.508751,0.571780,0.116796
1052 personnes,humains vague 1,natpark,-0.104563,-0.104563,0.508670,0.500837,-0.015518
1052 personnes,humains vague 1,natchld,-0.232890,-0.232890,0.430202,0.626069,0.375206
1052 personnes,humains vague 1,natsci,-0.118821,-0.118821,0.541805,0.564117,0.040356
1052 personnes,humains vague 1,natenrgy,-0.179658,-0.179658,0.465689,0.661231,0.350585
1052 personnes,humains vague 1,prayer,-0.185361,-0.185361,0.229547,0.501511,0.781516
1052 personnes,humains vague 1,courts,0.153992,0.153992,0.660510,0.429149,-0.431209
1052 personnes,humains vague 1,discaffw,-0.065272,-0.065272,0.633047,0.724948,0.135555
1052 personnes,humains vague 1,discaffm,-0.140368,-0.140368,0.621218,0.720016,0.147591
1052 personnes,humains vague 1,fehire,-0.081749,-0.081749,0.706846,0.780566,0.099207
1052 personnes,humains vague 1,fechld,-0.226869,-0.226869,0.584152,0.667055,0.132711
1052 personnes,humains vague 1,fepresch,-0.155577,-0.155577,0.611038,0.691752,0.124068
1052 personnes,humains vague 1,fefam,-0.140684,-0.140684,0.615973,0.714756,0.148739
1052 personnes,humains vague 1,fepol,-0.264259,-0.264259,0.158135,0.488243,1.127364
1052 personnes,humains vague 1,conarmy,0.174905,0.174905,0.614266,0.552379,-0.106195
1052 personnes,humains vague 1,conbus,-0.097433,-0.097433,0.583379,0.525898,-0.103730
1052 personnes,humains vague 1,conclerg,-0.182034,-0.182034,0.521433,0.633440,0.194585
1052 personnes,humains vague 1,coneduc,-0.043726,-0.043726,0.519669,0.601700,0.146567
1052 personnes,humains vague 1,confed,0.143061,0.143061,0.591335,0.538183,-0.094183
1052 personnes,humains vague 1,confinan,-0.038498,-0.038498,0.597560,0.566174,-0.053954
1052 personnes,humains vague 1,conjudge,-0.099810,-0.099810,0.536513,0.629254,0.159444
1052 personnes,humains vague 1,conlabor,-0.004278,-0.004278,0.561151,0.583191,0.038524
1052 personnes,humains vague 1,conmedic,-0.166350,-0.166350,0.516072,0.619372,0.182460
1052 personnes,humains vague 1,conpress,0.174905,0.174905,0.551282,0.455811,-0.190168
1052 personnes,humains vague 1,consci,-0.199144,-0.199144,0.388939,0.625723,0.475486
1052 personnes,humains vague 1,spkath/y,-0.312738,-0.312738,0.225996,0.344101,0.420419
1052 personnes,humains vague 1,colath,-0.248099,-0.248099,0.289522,0.446456,0.433110
1052 personnes,humains vague 1,spkcom/y,-0.190114,-0.190114,0.362963,0.467859,0.253865
1052 personnes,humains vague 1,colcom/y,-0.185361,-0.185361,0.362963,0.470917,0.260379
1052 personnes,humains vague 1,libcom/y,-0.242395,-0.242395,0.304856,0.440287,0.367586
1052 personnes,humains vague 1,spkhomo/y,-0.438213,-0.438213,0.046924,0.164889,1.256744
1052 personnes,humains vague 1,colhomo,-0.433460,-0.433460,0.056032,0.184399,1.191178
1052 personnes,humains vague 1,libhomo/y,-0.364068,-0.364068,0.082803,0.366906,1.488640
1052 personnes,humains vague 1,cappun,0.121673,0.121673,0.486672,0.308430,-0.456096
1052 personnes,humains vague 1,polhitok/y,0.156844,0.156844,0.478371,0.350799,-0.310174
1052 personnes,humains vague 1,polabuse/y,-0.438213,-0.438213,0.073972,0.164889,0.801593
1052 personnes,humains vague 1,polattak/y,0.169202,0.169202,0.451739,0.412332,-0.091275
1052 personnes,humains vague 1,grass,-0.258555,-0.258555,0.240062,0.456011,0.641621
1052 personnes,humains vague 1,gunlaw,-0.177757,-0.177757,0.280045,0.501219,0.582093
1052 personnes,humains vague 1,racdif1,-0.027567,-0.027567,0.307854,0.330270,0.070285
1052 personnes,humains vague 1,racdif2,-0.433460,-0.433460,0.108744,0.134532,0.212808
1052 personnes,humains vague 1,racdif3,0.011407,0.011407,0.404676,0.387926,-0.042272
1052 personnes,humains vague 1,racdif4,-0.211027,-0.211027,0.211562,0.500855,0.861802
1052 personnes,humains vague 1,letin1a,0.124762,0.124762,0.729282,0.574164,-0.239146
1052 personnes,humains vague 1,getahead,0.180608,0.180608,0.542497,0.484676,-0.112702
1052 personnes,humains vague 1,spanking,-0.027567,-0.027567,0.688676,0.710898,0.031758
1052 personnes,humains vague 1,divlaw,-0.104563,-0.104563,0.559802,0.628690,0.116055
1052 personnes,humains vague 1,sexeduc,-0.349810,-0.349810,0.087184,0.419812,1.571786
1052 personnes,humains vague 1,pillok,-0.129278,-0.129278,0.602068,0.735650,0.200383
1052 personnes,humains vague 1,xmarsex,0.264259,0.264259,0.684537,0.448968,-0.421791
1052 personnes,humains vague 1,homosex,-0.185361,-0.185361,0.370054,0.656972,0.573993
1052 personnes,humains vague 1,marhomo,-0.219582,-0.219582,0.387555,0.776872,0.695417
1052 personnes,humains vague 1,discaff,-0.189163,-0.189163,0.450367,0.648073,0.363941
1052 personnes,humains vague 1,abdefect,-0.326996,-0.326996,0.112987,0.446456,1.374074
1052 personnes,humains vague 1,abnomore,-0.150190,-0.150190,0.222422,0.446456,0.696765
1052 personnes,humains vague 1,abhlth,-0.428707,-0.428707,0.069521,0.207968,1.095750
1052 personnes,humains vague 1,abpoor,-0.167300,-0.167300,0.189218,0.454173,0.875580
1052 personnes,humains vague 1,abrape,-0.384030,-0.384030,0.065048,0.366906,1.729980
1052 personnes,humains vague 1,absingle,-0.134981,-0.134981,0.222422,0.438157,0.678002
1052 personnes,humains vague 1,abany,-0.113118,-0.113118,0.240062,0.409766,0.534690
1052 personnes,humains vague 1,letdie1,-0.258555,-0.258555,0.240062,0.472391,0.676911
1052 personnes,humains vague 1,suicide1,-0.266160,-0.266160,0.250369,0.459579,0.607374
1052 personnes,humains vague 1,suicide2,0.245247,0.245247,0.456166,0.230626,-0.682057
1052 personnes,humains vague 1,suicide3,0.247148,0.247148,0.442262,0.248098,-0.578077
1052 personnes,humains vague 1,suicide4,0.124525,0.124525,0.501176,0.350799,-0.356744
1052 personnes,humains vague 1,pornlaw,0.085551,0.085551,0.397021,0.500928,0.232474
1052 personnes,humains vague 1,tax,0.284221,0.284221,0.532328,0.412532,-0.254945
1052 personnes,agents v8,natspac/y,0.128095,0.041350,0.587672,0.647345,0.096709
1052 personnes,agents v8,natenvir/y,-0.115238,-0.273289,0.023933,0.240436,2.307179
1052 personnes,agents v8,natheal/y,-0.153810,-0.328422,0.047331,0.450169,2.252451
1052 personnes,agents v8,natcity/y,-0.041429,0.032795,0.184518,0.131202,-0.341011
1052 personnes,agents v8,natdrug/y,-0.138915,-0.250000,0.033158,0.316438,2.255841
1052 personnes,agents v8,nateduc/y,-0.198382,-0.309411,0.023750,0.514614,3.075825
1052 personnes,agents v8,natrace/y,-0.105614,-0.068916,0.047166,0.208077,1.484233
1052 personnes,agents v8,natarms/y,-0.098478,-0.075095,0.056263,0.310650,1.708637
1052 personnes,agents v8,nataid/y,0.074762,0.317966,0.421417,0.023949,-2.867677
1052 personnes,agents v8,natfare/y,-0.074762,-0.308460,0.069821,0.167628,0.875811
1052 personnes,agents v8,natroad,-0.197143,-0.219582,0.426490,0.410070,-0.039259
1052 personnes,agents v8,natsoc,-0.121429,-0.320342,0.295725,0.519839,0.564089
1052 personnes,agents v8,natmass,-0.107992,-0.157795,0.037804,0.179218,1.556179
1052 personnes,agents v8,natpark,-0.066127,-0.104563,0.162101,0.299844,0.615044
1052 personnes,agents v8,natchld,-0.099429,-0.232890,0.047028,0.194525,1.419824
1052 personnes,agents v8,natsci,-0.100856,-0.118821,0.047028,0.283329,1.795870
1052 personnes,agents v8,natenrgy,-0.096575,-0.179658,0.037862,0.183393,1.577682
1052 personnes,agents v8,prayer,-0.184110,-0.185361,0.004796,0.170283,3.569648
1052 personnes,agents v8,courts,-0.007136,0.153992,0.227760,0.081260,-1.030642
1052 personnes,agents v8,discaffw,-0.075008,-0.065272,0.451842,0.567024,0.227068
1052 personnes,agents v8,discaffm,-0.097526,-0.140368,0.478348,0.533443,0.109014
1052 personnes,agents v8,fehire,-0.067555,-0.081749,0.492064,0.505442,0.026823
1052 personnes,agents v8,fechld,-0.188551,-0.226869,0.274143,0.578623,0.747002
1052 personnes,agents v8,fepresch,-0.153346,-0.155577,0.359581,0.498944,0.327556
1052 personnes,agents v8,fefam,-0.120362,-0.140684,0.269092,0.526226,0.670678
1052 personnes,agents v8,fepol,-0.331749,-0.264259,0.000000,0.501347,
1052 personnes,agents v8,conarmy,0.121198,0.174905,0.422408,0.118862,-1.268008
1052 personnes,agents v8,conbus,-0.086027,-0.097433,0.483213,0.360572,-0.292766
1052 personnes,agents v8,conclerg,-0.064163,-0.182034,0.304856,0.454173,0.398639
1052 personnes,agents v8,coneduc,0.101236,-0.043726,0.069683,0.485131,1.940466
1052 personnes,agents v8,confed,0.129278,0.143061,0.532328,0.571416,0.070857
1052 personnes,agents v8,confinan,-0.140209,-0.038498,0.453237,0.125432,-1.284650
1052 personnes,agents v8,conjudge,-0.008080,-0.099810,0.458010,0.361974,-0.235321
1052 personnes,agents v8,conlabor,0.054183,-0.004278,0.505488,0.226168,-0.804248
1052 personnes,agents v8,conmedic,-0.035171,-0.166350,0.276840,0.041514,-1.897421
1052 personnes,agents v8,conpress,0.180608,0.174905,0.074663,0.075474,0.010800
1052 personnes,agents v8,consci,-0.127852,-0.199144,0.267086,0.469406,0.563897
1052 personnes,agents v8,spkath/y,-0.251665,-0.312738,0.000000,0.376893,
1052 personnes,agents v8,colath,-0.173644,-0.248099,0.009569,0.129708,2.606726
