perimetre,condition,pente,pente_ic_bas,pente_ic_haut,ordonnee,ratio_a_derive_nulle,r2,spearman,gs_gauche,gs_droite,n_items,n_items_offerts,n_items_perdus_log,n_items_gauche_unanime,n_items_droite_unanime,pente_difference,r2_difference,ecart_pente_vs_humains,ecart_ic_bas,ecart_ic_haut,p,p_holm
"Twin, 10 items",humains vague 4,-1.964172,-2.136872,-1.806007,-0.024500,0.975797,0.729152,-0.733333,0.577986,0.747749,10,10,0,0,0,-1.209277,0.762222,,,,,
"Twin, 10 items",gpt41mini_defaut,-6.053292,-7.210277,-5.184285,-0.274200,0.760180,0.469709,-0.571431,0.298346,0.562337,10,10,0,0,0,-1.784290,0.678063,-4.089119,-5.232113,-3.199692,0.000500,0.007496
"Twin, 10 items",gpt41mini_demo_seules,-7.144772,-9.712976,-5.384981,-0.883907,0.413165,0.235572,-0.624242,0.149125,0.523996,10,10,0,0,0,-0.682500,0.050849,-5.180600,-7.741843,-3.372579,0.000500,0.007496
"Twin, 10 items",gpt41mini_demo_seules_spec,-7.144772,-9.712976,-5.384981,-0.883907,0.413165,0.235572,-0.624242,0.149125,0.523996,10,10,0,0,0,-0.682500,0.050849,-5.180600,-7.741843,-3.372579,0.000500,0.007496
"Twin, 10 items",gpt41mini_texte,-6.053292,-7.210277,-5.184285,-0.274200,0.760180,0.469709,-0.571431,0.298346,0.562337,10,10,0,0,0,-1.784290,0.678063,-4.089119,-5.232113,-3.199692,0.000500,0.007496
"Twin, 10 items",gpt41mini_texte_temp_defaut,-5.611281,-6.654294,-4.790394,-0.136109,0.872748,0.479517,-0.612121,0.293380,0.593552,10,10,0,0,0,-1.733414,0.708493,-3.647109,-4.702944,-2.779788,0.000500,0.007496
"Twin, 10 items",gpt41mini_texte_raisonnement,-6.114438,-7.400583,-5.115319,-0.365304,0.693985,0.334255,-0.563636,0.247118,0.548265,10,10,0,0,0,-1.622508,0.390761,-4.150265,-5.422347,-3.160442,0.000500,0.007496
"Twin, 10 items",gpt41mini_texte_repetition,-5.020225,-5.772602,-4.401775,-0.302882,0.738686,0.571031,-0.636364,0.303217,0.532060,10,10,0,0,0,-1.610919,0.599115,-3.056053,-3.780327,-2.430592,0.000500,0.007496
"Twin, 10 items",gpt41mini_json,-4.184823,-5.654739,-2.953967,-0.244657,0.782973,0.475009,-0.600000,0.305842,0.565142,10,10,0,0,0,-1.010905,0.293212,-2.220651,-3.686021,-0.996451,0.000500,0.007496
"Twin, 10 items",gpt41mini_json_predout,-9.202357,-10.999412,-7.848086,-0.955912,0.384461,0.602759,-0.866667,0.266274,0.581578,10,10,0,0,0,-1.899927,0.730175,-7.238185,-9.032170,-5.890043,0.000500,0.007496
"Twin, 10 items",gpt41mini_resume,-0.057569,-2.374425,1.938463,2.521793,12.450901,0.000014,-0.115152,0.118925,0.674484,10,10,0,0,0,-0.052954,0.000549,1.906603,-0.442576,3.869349,0.091000,0.091000
"Twin, 10 items",gpt41mini_resume_json,7.981392,6.130856,9.963921,3.880025,48.425418,0.205646,0.563636,0.200239,0.693730,10,10,0,0,0,1.638786,0.133319,9.945564,8.086203,11.994029,0.000500,0.007496
"Twin, 10 items",gpt41mini_finetune500,0.401734,0.149818,0.672928,0.709777,2.033537,0.067400,0.648485,0.258040,0.502596,10,10,0,0,0,0.094400,0.026774,2.365906,2.057907,2.695802,0.000500,0.007496
"Twin, 10 items",gpt41_json,-11.542884,-13.281564,-10.105349,-2.331646,0.097136,0.790854,-0.709091,0.373706,0.431757,10,10,0,0,0,-3.904052,0.790461,-9.578712,-11.303557,-8.121610,0.000500,0.007496
"Twin, 10 items",gpt41_json_predout,-6.077624,-7.111168,-5.107344,-1.284982,0.276655,0.309318,-0.612121,0.404885,0.376509,10,10,0,0,0,-2.197048,0.314873,-4.113451,-5.137014,-3.141945,0.000500,0.007496
"Twin, 10 items",gemini_flash25_texte,-25.508810,-29.772633,-22.447575,-2.415841,0.089292,0.872457,-0.854545,0.142444,0.450920,10,10,0,0,0,-4.430414,0.953896,-23.544638,-27.756106,-20.443054,0.000500,0.007496
