quantite,gauche,droite,rapport,ic_bas,ic_haut,n_items,commentaire
"parametre 1 de Brandt et Sleegers, GSS : derive agregee des items",,,-0.118742,,,79,negatif = les items penchent a gauche ; 60 items sur 79 penchent a gauche
"parametre 2 de Brandt et Sleegers, GSS : derive de l'etiquette",,,-0.035488,,,1052,"positif = l'etiquette penche a droite, ce que le modele suppose ; NEGATIF ICI, le parametre 2 n'est pas verifie"
"parametre 1, Twin : derive agregee des dix items politiques",,,-0.151834,,,10,negatif = les items penchent a gauche
"parametre 2, Twin : derive de l'etiquette QID22",,,-0.066812,,,2058,"NEGATIF ICI aussi, le parametre 2 n'est pas verifie"
"rapport global observe, items orientes retenus",0.411384,0.502081,1.220466,1.182249,1.259727,79,"sous ensemble des items orientes, a comparer au 1,1225 de a30 sur les 149"
rapport global du temoin de position,0.429841,0.520361,1.210588,1.175102,1.244871,79,"dispersion maximale a position donnee, camp par camp et item par item"
ecart observe moins temoin,,,0.009878,-0.001630,0.020114,79,p de bootstrap 0.0720
rapport attendu a derive nulle (ordonnee de H1),,,1.040336,1.004819,1.071865,79,p de bootstrap 0.0260
part de la variance item par item du log rapport expliquee par le temoin de position,,,0.980654,,,79,1 moins variance du residu sur variance du log rapport
part expliquee par la derive agregee seule (R2 de H1),,,0.677036,0.583234,0.713189,79,regression a un seul predicteur
"temoin de position, items binaires",0.250374,0.374970,1.497642,,,33,rapport du temoin 1.4976 ; part de variance expliquee par le temoin 1.0000 ; pente -2.572 ; R2 de la derive 0.709
"temoin de position, items a plus de deux modalites",0.526892,0.593268,1.125978,,,46,rapport du temoin 1.1183 ; part de variance expliquee par le temoin 0.9141 ; pente -1.551 ; R2 de la derive 0.663
