perimetre,sous_ensemble,condition,n_items,ecart_gauche,ecart_droite,difference_droite_moins_gauche,ic_bas,ic_haut,p_permutation,ecart_humain_entre_camps,facteur_amplification
1052,tous les items a pole declare,B0 mode,29,0.012969,0.251030,0.238061,0.181281,0.296571,0.000100,0.236063,-0.008464
1052,tous les items a pole declare,B0 tirage,29,-0.108093,0.129276,0.237369,0.180734,0.294337,0.000100,0.236063,-0.005531
1052,tous les items a pole declare,B1 argmax,29,0.074568,0.025247,-0.049321,-0.089059,-0.012090,0.019098,0.236063,1.208929
1052,tous les items a pole declare,B2 argmax,29,0.085552,0.091816,0.006263,-0.027929,0.040511,0.732327,0.236063,0.973468
1052,tous les items a pole declare,B3 foret,29,0.076801,0.078391,0.001590,-0.050949,0.049278,0.956304,0.236063,0.993263
1052,tous les items a pole declare,agents composite,29,0.057458,-0.138144,-0.195601,-0.232554,-0.158217,0.000100,0.236063,1.828597
1052,tous les items a pole declare,agents demographiques (v6),29,0.014932,0.177835,0.162903,0.117210,0.212031,0.000100,0.236063,0.309916
1052,tous les items a pole declare,agents enquete,29,0.107634,-0.099098,-0.206732,-0.246710,-0.166744,0.000100,0.236063,1.875750
1052,tous les items a pole declare,agents entretien (v3),29,0.051001,-0.200871,-0.251871,-0.300443,-0.199968,0.000100,0.236063,2.066966
1052,tous les items a pole declare,agents v7,29,0.064414,0.237248,0.172834,0.123015,0.226981,0.000100,0.236063,0.267850
1052,tous les items a pole declare,agents v8,29,0.138524,-0.355173,-0.493697,-0.563938,-0.415085,0.000100,0.236063,3.091378
1052,tous les items a pole declare,humains vague 2,29,-0.001737,-0.007660,-0.005923,-0.014944,0.003322,0.218378,0.236063,1.025092
1052,sans les items de depense,B0 mode,14,-0.006709,0.272142,0.278851,0.189561,0.368299,0.000100,0.276936,-0.006914
1052,sans les items de depense,B0 tirage,14,-0.126784,0.146013,0.272797,0.182983,0.366172,0.000400,0.276936,0.014948
1052,sans les items de depense,B1 argmax,14,0.072157,0.005719,-0.066437,-0.134473,-0.003664,0.082192,0.276936,1.239901
1052,sans les items de depense,B2 argmax,14,0.074355,0.081756,0.007401,-0.049861,0.063096,0.815918,0.276936,0.973276
1052,sans les items de depense,B3 foret,14,0.073270,0.044266,-0.029004,-0.117634,0.049082,0.561944,0.276936,1.104730
1052,sans les items de depense,agents composite,14,0.023952,-0.090007,-0.113960,-0.156071,-0.074327,0.000500,0.276936,1.411501
1052,sans les items de depense,agents demographiques (v6),14,0.002350,0.178580,0.176230,0.095029,0.265329,0.000300,0.276936,0.363644
1052,sans les items de depense,agents enquete,14,0.068109,-0.147184,-0.215294,-0.273342,-0.153624,0.000200,0.276936,1.777412
1052,sans les items de depense,agents entretien (v3),14,0.076797,-0.132096,-0.208893,-0.271280,-0.138285,0.000800,0.276936,1.754298
1052,sans les items de depense,agents v7,14,0.058918,0.268214,0.209296,0.127191,0.296493,0.000100,0.276936,0.244244
1052,sans les items de depense,agents v8,14,0.128249,-0.292589,-0.420838,-0.495289,-0.330474,0.000200,0.276936,2.519620
1052,sans les items de depense,humains vague 2,14,-0.012076,-0.017588,-0.005512,-0.016103,0.005384,0.347365,0.276936,1.019903
1052,sans natroad,B0 mode,28,0.004011,0.250905,0.246894,0.192154,0.304721,0.000100,0.244825,-0.008453
1052,sans natroad,B0 tirage,28,-0.111268,0.134431,0.245699,0.189444,0.303035,0.000100,0.244825,-0.003569
1052,sans natroad,B1 argmax,28,0.072478,0.020663,-0.051815,-0.093597,-0.012949,0.018298,0.244825,1.211640
