perimetre,condition,n_items,ecart_gauche,ecart_droite,difference_droite_moins_gauche,ic_bas,ic_haut,p_permutation,ecart_centre,vers_endogroupe_droite,vers_endogroupe_gauche,ecart_humain_entre_camps,ecart_simule_entre_camps,facteur_amplification
1052,B0 mode,29,0.012969,0.251030,0.238061,0.183000,0.295998,0.000050,0.130610,-0.251030,0.012969,0.236063,-0.001998,-0.008464
1052,B0 tirage,29,-0.108093,0.129276,0.237369,0.181390,0.294069,0.000050,0.007321,-0.129276,-0.108093,0.236063,-0.001306,-0.005531
1052,B1 argmax,29,0.074568,0.025247,-0.049321,-0.089783,-0.012585,0.020599,0.062450,-0.025247,0.074568,0.236063,0.285384,1.208929
1052,B2 argmax,29,0.085552,0.091816,0.006263,-0.028291,0.040579,0.731963,0.115037,-0.091816,0.085552,0.236063,0.229800,0.973468
1052,B3 foret,29,0.076801,0.078391,0.001590,-0.050820,0.049133,0.952602,0.099000,-0.078391,0.076801,0.236063,0.234473,0.993263
1052,agents composite,29,0.057458,-0.138144,-0.195601,-0.232907,-0.156206,0.000050,-0.008526,0.138144,0.057458,0.236063,0.431664,1.828597
1052,agents demographiques (v6),29,0.014932,0.177835,0.162903,0.116777,0.212720,0.000050,0.113769,-0.177835,0.014932,0.236063,0.073160,0.309916
1052,agents enquete,29,0.107634,-0.099098,-0.206732,-0.246137,-0.167508,0.000050,0.067077,0.099098,0.107634,0.236063,0.442795,1.875750
1052,agents entretien (v3),29,0.051001,-0.200871,-0.251871,-0.300571,-0.199748,0.000050,-0.023965,0.200871,0.051001,0.236063,0.487934,2.066966
1052,agents v7,29,0.064414,0.237248,0.172834,0.122519,0.226352,0.000050,0.157178,-0.237248,0.064414,0.236063,0.063229,0.267850
1052,agents v8,29,0.138524,-0.355173,-0.493697,-0.565863,-0.414477,0.000050,0.035415,0.355173,0.138524,0.236063,0.729760,3.091378
1052,humains vague 2,29,-0.001737,-0.007660,-0.005923,-0.015035,0.003271,0.218139,-0.000266,0.007660,-0.001737,0.236063,0.241986,1.025092
150,B0 mode,29,0.026774,0.249042,0.222268,0.165274,0.282887,0.000050,0.127075,-0.249042,0.026774,0.221857,-0.000410,-0.001850
150,B0 tirage,29,-0.083333,0.134442,0.217775,0.159686,0.278076,0.000050,-0.000192,-0.134442,-0.083333,0.221857,0.004082,0.018401
150,B1 argmax,29,0.084884,0.032225,-0.052659,-0.095171,-0.009715,0.026449,0.064687,-0.032225,0.084884,0.221857,0.274517,1.237357
150,B2 argmax,29,0.090996,0.088259,-0.002737,-0.036262,0.030402,0.877156,0.100830,-0.088259,0.090996,0.221857,0.224594,1.012336
150,B3 foret,29,0.087484,0.079981,-0.007503,-0.057906,0.040025,0.771311,0.097190,-0.079981,0.087484,0.221857,0.229361,1.033820
150,C2,29,0.024539,-0.112274,-0.136813,-0.244162,-0.012198,0.029799,-0.047446,0.112274,0.024539,0.221857,0.358671,1.616673
150,C3,29,0.076172,0.181992,0.105820,0.039270,0.177819,0.006000,0.129438,-0.181992,0.076172,0.221857,0.116037,0.523027
150,agents composite,29,0.054415,-0.129220,-0.183635,-0.228699,-0.139118,0.000050,-0.023499,0.129220,0.054415,0.221857,0.405493,1.827718
150,agents demographiques (v6),29,0.036535,0.193624,0.157088,0.101962,0.217707,0.000050,0.104926,-0.193624,0.036535,0.221857,0.064769,0.291941
150,agents enquete,29,0.101330,-0.089901,-0.191231,-0.238725,-0.143005,0.000050,0.059706,0.089901,0.101330,0.221857,0.413088,1.861955
150,agents entretien (v3),29,0.054327,-0.186645,-0.240972,-0.295296,-0.187366,0.000050,-0.028544,0.186645,0.054327,0.221857,0.462829,2.086156
150,agents v7,29,0.092765,0.229059,0.136294,0.077761,0.201933,0.000150,0.118199,-0.229059,0.092765,0.221857,0.085564,0.385671
150,agents v8,29,0.143176,-0.337644,-0.480820,-0.548486,-0.408501,0.000050,0.047748,0.337644,0.143176,0.221857,0.702678,3.167248
150,humains vague 2,29,-0.014322,-0.010878,0.003444,-0.020207,0.028211,0.783711,-0.013346,0.010878,-0.014322,0.221857,0.218414,0.984478
