perimetre,condition,contraste_comportement,contraste_attitude,difference,ic_bas,ic_haut,p_permutation,n_sensible_comportement,n_temoin_comportement,n_sensible_attitude,n_temoin_attitude,p_comportement,p_attitude,contraste_auto_evaluation,p_auto_evaluation,n_sensible_auto_evaluation,n_temoin_auto_evaluation
1052,B0 mode,-0.071671,-0.009654,-0.062017,-0.208768,0.084837,0.754962,2,11,10,45,0.733363,0.750662,,,0,9
1052,B0 tirage,-0.008901,-0.002961,-0.005940,-0.013938,0.001952,0.525524,2,11,10,45,0.366382,0.136893,,,0,9
1052,B1 argmax,0.004132,-0.001688,0.005820,-0.057685,0.068103,0.896155,2,11,10,45,0.934703,0.923654,,,0,9
1052,B2 argmax,0.017380,0.002281,0.015099,-0.083518,0.112837,0.839058,2,11,10,45,0.808310,0.914154,,,0,9
1052,B3 foret,0.028360,0.003211,0.025150,-0.067733,0.115040,0.744313,2,11,10,45,0.723914,0.897055,,,0,9
1052,agents composite,-0.020439,0.074346,-0.094786,-0.191068,-0.018451,0.064047,2,11,10,45,0.729614,0.007400,,,0,9
1052,agents demographiques (v6),-0.045035,0.056877,-0.101912,-0.195261,-0.014181,0.207790,2,11,10,45,0.745463,0.088646,,,0,9
1052,agents enquete,-0.011767,0.051976,-0.063743,-0.139122,0.005568,0.252687,2,11,10,45,0.850207,0.019649,,,0,9
1052,agents entretien (v3),-0.006252,0.079605,-0.085857,-0.170592,-0.010337,0.072596,2,11,10,45,0.946903,0.004100,,,0,9
1052,agents v7,0.000933,0.018387,-0.017453,-0.114741,0.074604,0.804310,2,11,10,45,0.986851,0.608120,,,0,9
1052,agents v8,-0.029196,0.073083,-0.102278,-0.258802,0.050559,0.294235,2,11,10,45,0.746413,0.009850,,,0,9
1052,humains vague 2,-0.005179,0.004281,-0.009460,-0.019954,0.000296,0.362332,2,11,10,45,0.628469,0.149443,,,0,9
150,B0 mode,-0.038939,-0.005765,-0.033174,-0.195204,0.122251,0.861957,2,11,10,45,0.846958,0.850107,,,0,9
150,B0 tirage,-0.002386,-0.007988,0.005601,-0.029235,0.039336,0.809660,2,11,10,45,0.922354,0.489726,,,0,9
150,B1 argmax,0.031780,0.006222,0.025558,-0.067392,0.115328,0.642068,2,11,10,45,0.551322,0.737863,,,0,9
150,B2 argmax,0.044811,0.008309,0.036502,-0.106444,0.179615,0.637268,2,11,10,45,0.551622,0.748413,,,0,9
150,B3 foret,0.040303,0.000370,0.039933,-0.065509,0.142304,0.616869,2,11,10,45,0.640268,0.989851,,,0,9
150,C2,0.103978,0.030247,0.073731,-0.244131,0.393112,0.686416,2,11,10,45,0.516974,0.561272,,,0,9
150,C3,0.101856,0.023852,0.078004,-0.292742,0.448457,0.678316,2,11,10,45,0.525324,0.684716,,,0,9
150,agents composite,-0.018447,0.070133,-0.088580,-0.175095,-0.016870,0.126044,2,11,10,45,0.768562,0.004450,,,0,9
150,agents demographiques (v6),-0.030487,0.070972,-0.101460,-0.198764,-0.010909,0.197690,2,11,10,45,0.727964,0.043048,,,0,9
150,agents enquete,-0.003401,0.061786,-0.065188,-0.147177,0.011357,0.262287,2,11,10,45,0.910854,0.012999,,,0,9
150,agents entretien (v3),0.002969,0.084250,-0.081281,-0.178411,0.007745,0.138243,2,11,10,45,0.949553,0.003650,,,0,9
150,agents v7,0.040260,0.037824,0.002436,-0.094174,0.093324,0.972751,2,11,10,45,0.528024,0.272586,,,0,9
150,agents v8,-0.010000,0.093440,-0.103440,-0.267020,0.056409,0.316984,2,11,10,45,0.947503,0.002700,,,0,9
150,humains vague 2,-0.008219,-0.002407,-0.005812,-0.026237,0.013445,0.713164,2,11,10,45,0.584521,0.695665,,,0,9
