hypothese,condition,statistique,p,p_holm_famille_complete,p_bh_famille_complete,p_holm_sous_famille,p_bh_sous_famille
K1 distance,B0 mode,-0.299838,0.183791,1.000000,0.611581,1.000000,0.924254
K2 dispersion,B0 mode,0.099413,0.674766,1.000000,0.906640,1.000000,0.801587
K1 distance,B0 tirage,-0.171448,0.448178,1.000000,0.906640,1.000000,0.924254
K2 dispersion,B0 tirage,0.163690,0.481976,1.000000,0.906640,1.000000,0.801587
K1 distance,B1 argmax,-0.116710,0.611319,1.000000,0.906640,1.000000,0.924254
K2 dispersion,B1 argmax,0.095486,0.678266,1.000000,0.906640,1.000000,0.801587
K1 distance,B2 argmax,-0.089193,0.697415,1.000000,0.906640,1.000000,0.924254
K2 dispersion,B2 argmax,-0.101981,0.658117,1.000000,0.906640,1.000000,0.801587
K1 distance,B3 foret,0.032542,0.890105,1.000000,0.936109,1.000000,0.924254
K2 dispersion,B3 foret,-0.057811,0.803460,1.000000,0.936109,1.000000,0.844358
K1 distance,C2,-0.021442,0.924254,1.000000,0.942376,1.000000,0.924254
K2 dispersion,C2,0.045469,0.844358,1.000000,0.936109,1.000000,0.844358
K1 distance,C3,0.289474,0.199940,1.000000,0.611581,1.000000,0.924254
K2 dispersion,C3,-0.139656,0.539223,1.000000,0.906640,1.000000,0.801587
K1 distance,agents composite,-0.170192,0.460477,1.000000,0.906640,1.000000,0.924254
K2 dispersion,agents composite,0.183826,0.421529,1.000000,0.906640,1.000000,0.801587
K1 distance,agents demographiques (v6),-0.028302,0.900105,1.000000,0.936109,1.000000,0.924254
K2 dispersion,agents demographiques (v6),-0.176031,0.444178,1.000000,0.906640,1.000000,0.801587
K1 distance,agents enquete,0.036074,0.878206,1.000000,0.936109,1.000000,0.924254
K2 dispersion,agents enquete,0.120169,0.602270,1.000000,0.906640,1.000000,0.801587
K1 distance,agents entretien (v3),-0.038788,0.865607,1.000000,0.936109,1.000000,0.924254
K2 dispersion,agents entretien (v3),0.352712,0.118494,1.000000,0.504175,1.000000,0.801587
K1 distance,agents v7,0.138772,0.540673,1.000000,0.906640,1.000000,0.924254
K2 dispersion,agents v7,-0.143553,0.536573,1.000000,0.906640,1.000000,0.801587
K1 distance,agents v8,0.173927,0.443278,1.000000,0.906640,1.000000,0.924254
K2 dispersion,agents v8,0.242286,0.291885,1.000000,0.798844,1.000000,0.801587
K3 comportement,B0 mode,-0.033174,0.861957,1.000000,0.936109,1.000000,0.933787
K3 comportement,B0 tirage,0.005601,0.809660,1.000000,0.936109,1.000000,0.933787
K3 comportement,B1 argmax,0.025558,0.642068,1.000000,0.906640,1.000000,0.892340
K3 comportement,B2 argmax,0.036502,0.637268,1.000000,0.906640,1.000000,0.892340
K3 comportement,B3 foret,0.039933,0.616869,1.000000,0.906640,1.000000,0.892340
K3 comportement,C2,0.073731,0.686416,1.000000,0.906640,1.000000,0.892340
K3 comportement,C3,0.078004,0.678316,1.000000,0.906640,1.000000,0.892340
K3 comportement,agents composite,-0.088580,0.126044,1.000000,0.504175,1.000000,0.824159
K3 comportement,agents demographiques (v6),-0.101460,0.197690,1.000000,0.611581,1.000000,0.824159
K3 comportement,agents enquete,-0.065188,0.262287,1.000000,0.757718,1.000000,0.824159
K3 comportement,agents entretien (v3),-0.081281,0.138243,1.000000,0.513474,1.000000,0.824159
K3 comportement,agents v7,0.002436,0.972751,1.000000,0.972751,1.000000,0.972751
K3 comportement,agents v8,-0.103440,0.316984,1.000000,0.824159,1.000000,0.824159
K4 camp,B0 mode,0.222268,0.000050,0.002600,0.000371,0.000650,0.000093
K4 camp,B0 tirage,0.217775,0.000050,0.002600,0.000371,0.000650,0.000093
K4 camp,B1 argmax,-0.052659,0.026449,1.000000,0.137533,0.105795,0.034383
K4 camp,B2 argmax,-0.002737,0.877156,1.000000,0.936109,1.000000,0.877156
K4 camp,B3 foret,-0.007503,0.771311,1.000000,0.936109,1.000000,0.835587
K4 camp,C2,-0.136813,0.029799,1.000000,0.140866,0.105795,0.035216
K4 camp,C3,0.105820,0.006000,0.263987,0.034665,0.029999,0.008666
K4 camp,agents composite,-0.183635,0.000050,0.002600,0.000371,0.000650,0.000093
K4 camp,agents demographiques (v6),0.157088,0.000050,0.002600,0.000371,0.000650,0.000093
K4 camp,agents enquete,-0.191231,0.000050,0.002600,0.000371,0.000650,0.000093
K4 camp,agents entretien (v3),-0.240972,0.000050,0.002600,0.000371,0.000650,0.000093
K4 camp,agents v7,0.136294,0.000150,0.006750,0.000975,0.000900,0.000244
K4 camp,agents v8,-0.480820,0.000050,0.002600,0.000371,0.000650,0.000093
