condition,item,n_cellules,distance,entropie_humaine,entropie_simulee,ratio_entropie,ecart_desirabilite,perimetre,camp,n_personnes,classe_norc,type,classe_comportement
agents composite,natspac/y,150,0.150000,1.486056,1.428201,0.961068,-0.150000,150,tous,150,mixte,ordinal 3 et plus,attitude
agents entretien (v3),natspac/y,150,0.426667,1.486056,0.512340,0.344765,-0.426667,150,tous,150,mixte,ordinal 3 et plus,attitude
agents enquete,natspac/y,150,0.210000,1.486056,1.407138,0.946894,0.210000,150,tous,150,mixte,ordinal 3 et plus,attitude
agents demographiques (v6),natspac/y,150,0.250000,1.486056,1.256748,0.845693,-0.250000,150,tous,150,mixte,ordinal 3 et plus,attitude
agents v7,natspac/y,150,0.140000,1.486056,1.475397,0.992827,-0.140000,150,tous,150,mixte,ordinal 3 et plus,attitude
agents v8,natspac/y,150,0.076667,1.486056,1.504958,1.012719,-0.076667,150,tous,150,mixte,ordinal 3 et plus,attitude
C2,natspac/y,150,0.173333,1.486056,1.481821,0.997150,0.173333,150,tous,150,mixte,ordinal 3 et plus,attitude
C3,natspac/y,150,0.520000,1.486056,0.000000,0.000000,0.520000,150,tous,150,mixte,ordinal 3 et plus,attitude
B0 mode,natspac/y,150,0.240000,1.486056,0.000000,0.000000,0.020000,150,tous,150,mixte,ordinal 3 et plus,attitude
B0 tirage,natspac/y,150,0.050000,1.486056,1.494544,1.005712,-0.050000,150,tous,150,mixte,ordinal 3 et plus,attitude
B1 argmax,natspac/y,150,0.153333,1.486056,0.836193,0.562693,-0.006667,150,tous,150,mixte,ordinal 3 et plus,attitude
B2 argmax,natspac/y,150,0.210000,1.486056,0.367258,0.247136,-0.003333,150,tous,150,mixte,ordinal 3 et plus,attitude
B3 foret,natspac/y,150,0.233333,1.486056,0.125109,0.084189,0.020000,150,tous,150,mixte,ordinal 3 et plus,attitude
humains vague 2,natspac/y,150,0.056667,1.486056,1.390091,0.935423,-0.056667,150,tous,150,mixte,ordinal 3 et plus,attitude
agents composite,natenvir/y,150,0.136667,1.249527,1.501783,1.201881,-0.136667,150,tous,150,temoin,ordinal 3 et plus,attitude
agents entretien (v3),natenvir/y,150,0.186667,1.249527,1.504239,1.203847,-0.186667,150,tous,150,temoin,ordinal 3 et plus,attitude
agents enquete,natenvir/y,150,0.010000,1.249527,1.275808,1.021033,-0.010000,150,tous,150,temoin,ordinal 3 et plus,attitude
agents demographiques (v6),natenvir/y,150,0.073333,1.249527,1.358685,1.087360,-0.073333,150,tous,150,temoin,ordinal 3 et plus,attitude
