perimetre,condition,controle,hypothese,rho_spearman,ic_items_bas,ic_items_haut,n_items,p_permutation
1052,B0 mode,"conception seule, MR141",K1 distance,0.068670,-0.482504,0.615614,17,0.783322
1052,B0 mode,"conception seule, MR141",K2 dispersion,,,,17,
1052,B0 mode,M1 attitudes seules,K1 distance,-0.073529,-0.573804,0.448089,16,0.782922
1052,B0 mode,M1 attitudes seules,K2 dispersion,0.053688,-0.481427,0.579076,16,0.838716
1052,B0 mode,M1 sans les items de depense,K1 distance,,,,5,
1052,B0 mode,M1 sans les items de depense,K2 dispersion,,,,5,
1052,B0 tirage,"conception seule, MR141",K1 distance,-0.027010,-0.522870,0.550227,17,0.916008
1052,B0 tirage,"conception seule, MR141",K2 dispersion,-0.080882,-0.591644,0.436571,17,0.760124
1052,B0 tirage,M1 attitudes seules,K1 distance,-0.010332,-0.464237,0.512059,16,0.972403
1052,B0 tirage,M1 attitudes seules,K2 dispersion,-0.088235,-0.568222,0.445673,16,0.751125
1052,B0 tirage,M1 sans les items de depense,K1 distance,,,,5,
1052,B0 tirage,M1 sans les items de depense,K2 dispersion,,,,5,
1052,B1 argmax,"conception seule, MR141",K1 distance,-0.056373,-0.540050,0.439705,17,0.826217
1052,B1 argmax,"conception seule, MR141",K2 dispersion,0.139706,-0.359410,0.599125,17,0.591841
1052,B1 argmax,M1 attitudes seules,K1 distance,-0.214706,-0.756398,0.369874,16,0.430457
1052,B1 argmax,M1 attitudes seules,K2 dispersion,0.126471,-0.415860,0.626715,16,0.636636
1052,B1 argmax,M1 sans les items de depense,K1 distance,,,,5,
1052,B1 argmax,M1 sans les items de depense,K2 dispersion,,,,5,
1052,B2 argmax,"conception seule, MR141",K1 distance,-0.237745,-0.710407,0.371649,17,0.346065
1052,B2 argmax,"conception seule, MR141",K2 dispersion,0.204782,-0.300470,0.645685,17,0.426557
1052,B2 argmax,M1 attitudes seules,K1 distance,-0.167647,-0.688087,0.529310,16,0.528547
1052,B2 argmax,M1 attitudes seules,K2 dispersion,0.120588,-0.434547,0.568873,16,0.657934
1052,B2 argmax,M1 sans les items de depense,K1 distance,,,,5,
1052,B2 argmax,M1 sans les items de depense,K2 dispersion,,,,5,
1052,B3 foret,"conception seule, MR141",K1 distance,-0.049020,-0.536737,0.461588,17,0.853515
1052,B3 foret,"conception seule, MR141",K2 dispersion,0.121398,-0.398512,0.583971,17,0.640836
1052,B3 foret,M1 attitudes seules,K1 distance,-0.117647,-0.680132,0.509848,16,0.660634
1052,B3 foret,M1 attitudes seules,K2 dispersion,0.050000,-0.512299,0.551206,16,0.856714
1052,B3 foret,M1 sans les items de depense,K1 distance,,,,5,
1052,B3 foret,M1 sans les items de depense,K2 dispersion,,,,5,
1052,agents composite,"conception seule, MR141",K1 distance,-0.328431,-0.762933,0.242274,17,0.190881
1052,agents composite,"conception seule, MR141",K2 dispersion,0.186275,-0.379845,0.641118,17,0.471253
1052,agents composite,M1 attitudes seules,K1 distance,0.076527,-0.410741,0.528020,16,0.781322
1052,agents composite,M1 attitudes seules,K2 dispersion,0.058824,-0.545878,0.577907,16,0.833217
1052,agents composite,M1 sans les items de depense,K1 distance,,,,5,
1052,agents composite,M1 sans les items de depense,K2 dispersion,,,,5,
1052,agents demographiques (v6),"conception seule, MR141",K1 distance,-0.257353,-0.667925,0.274540,17,0.319868
1052,agents demographiques (v6),"conception seule, MR141",K2 dispersion,0.049020,-0.476629,0.494414,17,0.854315
1052,agents demographiques (v6),M1 attitudes seules,K1 distance,-0.050000,-0.522259,0.503149,16,0.855614
1052,agents demographiques (v6),M1 attitudes seules,K2 dispersion,-0.082353,-0.580238,0.414636,16,0.762524
1052,agents demographiques (v6),M1 sans les items de depense,K1 distance,,,,5,
1052,agents demographiques (v6),M1 sans les items de depense,K2 dispersion,,,,5,
1052,agents enquete,"conception seule, MR141",K1 distance,-0.571078,-0.882658,-0.098183,17,0.020598
1052,agents enquete,"conception seule, MR141",K2 dispersion,0.188725,-0.407523,0.647077,17,0.468553
1052,agents enquete,M1 attitudes seules,K1 distance,0.020588,-0.466589,0.515754,16,0.941906
1052,agents enquete,M1 attitudes seules,K2 dispersion,0.038235,-0.504489,0.566526,16,0.883712
1052,agents enquete,M1 sans les items de depense,K1 distance,,,,5,
1052,agents enquete,M1 sans les items de depense,K2 dispersion,,,,5,
1052,agents entretien (v3),"conception seule, MR141",K1 distance,0.009804,-0.506783,0.516302,17,0.975902
1052,agents entretien (v3),"conception seule, MR141",K2 dispersion,0.151961,-0.262794,0.514185,17,0.554445
1052,agents entretien (v3),M1 attitudes seules,K1 distance,-0.401766,-0.805105,0.175951,16,0.121988
1052,agents entretien (v3),M1 attitudes seules,K2 dispersion,0.282353,-0.307613,0.722806,16,0.286771
1052,agents entretien (v3),M1 sans les items de depense,K1 distance,,,,5,
1052,agents entretien (v3),M1 sans les items de depense,K2 dispersion,,,,5,
1052,agents v7,"conception seule, MR141",K1 distance,-0.071078,-0.560808,0.421118,17,0.792321
1052,agents v7,"conception seule, MR141",K2 dispersion,0.284314,-0.301079,0.693896,17,0.262774
1052,agents v7,M1 attitudes seules,K1 distance,0.202941,-0.340348,0.656216,16,0.458654
1052,agents v7,M1 attitudes seules,K2 dispersion,-0.079412,-0.652426,0.534403,16,0.771423
