perimetre,item,pole_endogroupe_declare,desirabilite_gauche,desirabilite_droite,ecart_humain_gauche_moins_droite,declaration_confirmee
1052,colhomo,droite_bas,0.971223,0.897590,0.073633,True
1052,fechld,droite_bas,0.788969,0.666667,0.122302,True
1052,fefam,droite_bas,0.769784,0.488956,0.280828,True
1052,fepol,droite_bas,0.913669,0.581325,0.332344,True
1052,fepresch,droite_bas,0.726619,0.565261,0.161358,True
1052,homosex,droite_bas,0.876898,0.445783,0.431115,True
1052,letin1a,droite_bas,0.550360,0.173193,0.377167,True
1052,libhomo/y,droite_bas,0.956835,0.759036,0.197799,True
1052,marhomo,droite_bas,0.898082,0.500753,0.397329,True
1052,natchld,droite_bas,0.838129,0.608434,0.229695,True
1052,natcity/y,droite_bas,0.581535,0.301205,0.280330,True
1052,natdrug/y,droite_bas,0.814149,0.671687,0.142462,True
1052,nateduc/y,droite_bas,0.886091,0.709337,0.176754,True
1052,natenrgy,droite_bas,0.816547,0.496988,0.319559,True
1052,natenvir/y,droite_bas,0.919664,0.543675,0.375989,True
1052,natfare/y,droite_bas,0.906475,0.653614,0.252861,True
1052,natheal/y,droite_bas,0.892086,0.740964,0.151122,True
1052,natmass,droite_bas,0.780576,0.546687,0.233889,True
1052,natpark,droite_bas,0.653477,0.561747,0.091730,True
1052,natrace/y,droite_bas,0.773381,0.310241,0.463140,True
1052,natroad,droite_bas,0.736211,0.745482,-0.009271,False
1052,natsci,droite_bas,0.700240,0.515060,0.185180,True
1052,natsoc,droite_bas,0.844125,0.792169,0.051956,True
1052,natspac/y,droite_bas,0.473621,0.450301,0.023320,True
1052,racdif1,droite_bas,0.810552,0.207831,0.602721,True
1052,racdif2,droite_bas,0.942446,0.927711,0.014735,True
1052,racdif3,droite_bas,0.719424,0.262048,0.457376,True
1052,racdif4,droite_bas,0.880096,0.518072,0.362024,True
1052,spkhomo/y,droite_bas,0.976019,0.909639,0.066380,True
150,colhomo,droite_bas,0.968254,0.928571,0.039683,True
150,fechld,droite_bas,0.777778,0.650794,0.126984,True
150,fefam,droite_bas,0.735450,0.507937,0.227513,True
150,fepol,droite_bas,0.857143,0.619048,0.238095,True
150,fepresch,droite_bas,0.698413,0.476190,0.222223,True
150,homosex,droite_bas,0.841270,0.547619,0.293651,True
150,letin1a,droite_bas,0.547619,0.172619,0.375000,True
150,libhomo/y,droite_bas,0.968254,0.738095,0.230159,True
150,marhomo,droite_bas,0.876984,0.541667,0.335317,True
150,natchld,droite_bas,0.801587,0.642857,0.158730,True
150,natcity/y,droite_bas,0.587302,0.345238,0.242064,True
150,natdrug/y,droite_bas,0.809524,0.642857,0.166667,True
150,nateduc/y,droite_bas,0.817460,0.738095,0.079365,True
150,natenrgy,droite_bas,0.801587,0.440476,0.361111,True
150,natenvir/y,droite_bas,0.904762,0.535714,0.369048,True
150,natfare/y,droite_bas,0.888889,0.690476,0.198413,True
150,natheal/y,droite_bas,0.849206,0.714286,0.134920,True
150,natmass,droite_bas,0.817460,0.523810,0.293650,True
150,natpark,droite_bas,0.666667,0.535714,0.130953,True
150,natrace/y,droite_bas,0.730159,0.333333,0.396826,True
150,natroad,droite_bas,0.738095,0.702381,0.035714,True
150,natsci,droite_bas,0.634921,0.523810,0.111111,True
150,natsoc,droite_bas,0.857143,0.750000,0.107143,True
150,natspac/y,droite_bas,0.468254,0.511905,-0.043651,False
150,racdif1,droite_bas,0.841270,0.190476,0.650794,True
150,racdif2,droite_bas,0.920635,0.952381,-0.031746,False
150,racdif3,droite_bas,0.761905,0.190476,0.571429,True
150,racdif4,droite_bas,0.888889,0.547619,0.341270,True
150,spkhomo/y,droite_bas,0.952381,0.880952,0.071429,True
