perimetre,definition,tranche,rang,condition,exactitude
1052,ordinale,bas,1,humains vague 2,0.835553
1052,ordinale,bas,2,agents enquete,0.694014
1052,ordinale,bas,3,agents composite,0.677687
1052,ordinale,bas,4,B2 argmax,0.660270
1052,ordinale,bas,5,agents entretien (v3),0.659757
1052,ordinale,bas,6,B1 argmax,0.637765
1052,ordinale,bas,7,B3 foret,0.623388
1052,ordinale,bas,8,agents v7,0.608875
1052,ordinale,bas,9,agents v8,0.600711
1052,ordinale,bas,10,agents demographiques (v6),0.587373
1052,ordinale,bas,11,B0 mode,0.567393
1052,ordinale,bas,12,B0 tirage,0.541932
1052,ordinale,bas,13,B0 uniforme,0.500898
1052,ordinale,ensemble,1,humains vague 2,0.869164
1052,ordinale,ensemble,2,agents composite,0.791125
1052,ordinale,ensemble,3,B2 argmax,0.790052
1052,ordinale,ensemble,4,agents entretien (v3),0.770299
1052,ordinale,ensemble,5,B3 foret,0.770299
1052,ordinale,ensemble,6,agents enquete,0.767164
1052,ordinale,ensemble,7,B1 argmax,0.759050
1052,ordinale,ensemble,8,B0 mode,0.748229
1052,ordinale,ensemble,9,agents demographiques (v6),0.729835
1052,ordinale,ensemble,10,agents v7,0.719831
1052,ordinale,ensemble,11,agents v8,0.714317
1052,ordinale,ensemble,12,B0 tirage,0.669521
1052,ordinale,ensemble,13,B0 uniforme,0.584326
1052,ordinale,haut,1,humains vague 2,0.827006
1052,ordinale,haut,2,agents entretien (v3),0.747282
1052,ordinale,haut,3,agents composite,0.744285
1052,ordinale,haut,4,agents enquete,0.676059
1052,ordinale,haut,5,agents v8,0.644269
1052,ordinale,haut,6,B2 argmax,0.603882
1052,ordinale,haut,7,B1 argmax,0.577302
1052,ordinale,haut,8,B3 foret,0.555709
1052,ordinale,haut,9,agents demographiques (v6),0.530895
1052,ordinale,haut,10,B0 uniforme,0.516321
1052,ordinale,haut,11,agents v7,0.507291
1052,ordinale,haut,12,B0 tirage,0.481577
1052,ordinale,haut,13,B0 mode,0.465298
1052,ordinale,milieu,1,humains vague 2,0.873409
1052,ordinale,milieu,2,B2 argmax,0.807753
1052,ordinale,milieu,3,agents composite,0.800105
1052,ordinale,milieu,4,B3 foret,0.790552
1052,ordinale,milieu,5,agents entretien (v3),0.777782
1052,ordinale,milieu,6,agents enquete,0.776367
1052,ordinale,milieu,7,B1 argmax,0.776028
1052,ordinale,milieu,8,B0 mode,0.774211
1052,ordinale,milieu,9,agents demographiques (v6),0.748962
1052,ordinale,milieu,10,agents v7,0.737955
1052,ordinale,milieu,11,agents v8,0.724606
1052,ordinale,milieu,12,B0 tirage,0.687199
1052,ordinale,milieu,13,B0 uniforme,0.592811
1052,ordinale extremes,bas,1,humains vague 2,0.871393
1052,ordinale extremes,bas,2,B2 argmax,0.778537
1052,ordinale extremes,bas,3,agents enquete,0.756514
1052,ordinale extremes,bas,4,B3 foret,0.754413
1052,ordinale extremes,bas,5,agents composite,0.749173
1052,ordinale extremes,bas,6,B1 argmax,0.747394
1052,ordinale extremes,bas,7,agents entretien (v3),0.725467
1052,ordinale extremes,bas,8,B0 mode,0.718179
1052,ordinale extremes,bas,9,agents v7,0.703275
1052,ordinale extremes,bas,10,agents demographiques (v6),0.669216
1052,ordinale extremes,bas,11,agents v8,0.654565
1052,ordinale extremes,bas,12,B0 tirage,0.630927
1052,ordinale extremes,bas,13,B0 uniforme,0.498426
1052,ordinale extremes,ensemble,1,humains vague 2,0.869164
1052,ordinale extremes,ensemble,2,agents composite,0.791125
1052,ordinale extremes,ensemble,3,B2 argmax,0.790052
1052,ordinale extremes,ensemble,4,agents entretien (v3),0.770299
1052,ordinale extremes,ensemble,5,B3 foret,0.770299
1052,ordinale extremes,ensemble,6,agents enquete,0.767164
1052,ordinale extremes,ensemble,7,B1 argmax,0.759050
1052,ordinale extremes,ensemble,8,B0 mode,0.748229
1052,ordinale extremes,ensemble,9,agents demographiques (v6),0.729835
1052,ordinale extremes,ensemble,10,agents v7,0.719831
1052,ordinale extremes,ensemble,11,agents v8,0.714317
1052,ordinale extremes,ensemble,12,B0 tirage,0.669521
1052,ordinale extremes,ensemble,13,B0 uniforme,0.584326
1052,ordinale extremes,haut,1,humains vague 2,0.857496
1052,ordinale extremes,haut,2,agents composite,0.799039
1052,ordinale extremes,haut,3,agents entretien (v3),0.797542
1052,ordinale extremes,haut,4,B2 argmax,0.727103
1052,ordinale extremes,haut,5,agents enquete,0.726494
1052,ordinale extremes,haut,6,B3 foret,0.694297
1052,ordinale extremes,haut,7,B1 argmax,0.693118
